smile	binding.affinity
[H]N(C1=C([H])C([H])=NC2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C1=C2C(=NC3=C([H])C([H])=C([H])C([H])=C13)C([H])([H])C([H])([H])C([H])([H])C2([H])[H]	10.1
[H]N(C1=C2C(=NC3=C([H])C([H])=C([H])C([H])=C13)C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C1=C2C(=NC3=C([H])C([H])=C([H])C([H])=C13)C([H])([H])C([H])([H])C([H])([H])C2([H])[H]	3.6
[H]N(C1=C2C(=NC3=C1C([H])=C([H])C(F)=C3[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C1=C2C(=NC3=C1C([H])=C([H])C(F)=C3[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H]	0.9
[H]N(C1=C2C(=NC3=C1C([H])=C([H])C(F)=C3[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C1=C2C(=NC3=C1C([H])=C([H])C(F)=C3[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H]	0.65
[H]N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C1=C2C(=NC3=C([H])C([H])=C([H])C([H])=C13)C([H])([H])C([H])([H])C([H])([H])C2([H])[H]	139
[H]N(C1=C2C(=NC3=C([H])C([H])=C([H])C([H])=C13)C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]	52
[H]N(C1=C([H])C([H])=NC([H])=C1[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C1=C2C(=NC3=C([H])C([H])=C([H])C([H])=C13)C([H])([H])C([H])([H])C([H])([H])C2([H])[H]	83.6
[H]O[C@]1([H])C2=C(N([H])[H])C3=C(N=C2C([H])([H])C([H])([H])C1([H])[H])C([H])=C([H])C([H])=C3[H]	3640
[H]O[C@]1([H])C2=C(N([H])[H])C3=C(N=C2C([H])([H])C([H])([H])C1([H])[H])C([H])=C(Cl)C([H])=C3[H]	11.7
[H]O[C@]1([H])C2=C(N([H])[H])C3=C(N=C2C([H])([H])C([H])([H])C1([H])[H])C([H])=C(OC([H])([H])[H])C([H])=C3[H]	2000
[H]O[C@]1([H])C2=C(N([H])[H])C3=C(N=C2C([H])([H])C([H])([H])C1([H])[H])C([H])=C(C([H])=C3[H])C(F)(F)F	1770
[H]O[C@]1([H])C2=C(N([H])[H])C3=C(N=C2C([H])([H])C([H])([H])C1([H])[H])C([H])=C(F)C([H])=C3[H]	292
[H]O[C@@]1([H])C2=C(N([H])[H])C3=C(N=C2C([H])([H])C1([H])[H])C([H])=C([H])C([H])=C3[H]	5970
[H]O[C@]1([H])C2=C(N([H])C([H])([H])[H])C3=C(N=C2C([H])([H])C([H])([H])C1([H])[H])C([H])=C([H])C([H])=C3[H]	1760
[H]O[C@]1([H])C2=C(N([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C3=C(N=C2C([H])([H])C([H])([H])C1([H])[H])C([H])=C([H])C([H])=C3[H]	7680
[H]O[C@]1([H])C2=C(N([H])C([H])([H])C([H])([H])C3=C([H])C([H])=C([H])C([H])=C3[H])C3=C(N=C2C([H])([H])C([H])([H])C1([H])[H])C([H])=C([H])C([H])=C3[H]	3390
