smile	binding.affinity
[H]\C(=C(\[H])C1=C([H])C([H])=C([H])C([H])=C1[H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1[H]	4245
[H]OC([H])([H])C([H])([H])N1C2=C([H])C([H])=C([H])C([H])=C2C(C([H])([H])[H])(C([H])([H])[H])[C@]11OC2=C(C([H])=C1[H])C([H])=C(OC([H])([H])[H])C([H])=C2[H]	6970
[H]SC([H])([H])[C@]([H])(N([H])[H])C(=O)OC([H])([H])[H]	4641
[H]C1=C([H])C2=C(C([H])=C1[H])C(=O)C(=C([H])C2=O)C([H])([H])[H]	9468
[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C1=C([H])C([H])=C([H])C(=N1)C(\[H])=C(/[H])[C@@]([H])(O[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]	5283
[H]\C(SC1=C([H])C([H])=C([H])C([H])=C1[H])=C(\[H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1[H]	3906
[H]OC1=C(C(=O)C(\[H])=C(/[H])C2=C(O[H])C(OC([H])([H])[H])=C([H])C([H])=C2[H])C(=O)C([H])=C(O1)C([H])([H])[H]	9956
[H]C1=C([H])C2=C(C([H])=C1[H])C1=C([H])C([H])=C([H])C([H])=C1C(=O)C2=O	6443
[H]OC1=C(C(=O)C(\[H])=C(\[H])C2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C([H])=C2[H])C2=C(C([H])=C1[H])C(=C([H])C(=O)O2)C([H])([H])[H]	8908
[H]N(C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[C@]([H])(C(=O)OC1=C([H])C2=C(C([H])=C1[H])C(=O)C(=C([H])O2)C1=C([H])C2=C(OC([H])([H])C([H])([H])O2)C([H])=C1[H])C([H])([H])C([H])([H])SC([H])([H])[H]	3942
[H]OC1=C(C([H])=C(OC([H])([H])[H])C([H])=C1[H])C(=O)C(\[H])=C(/[H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2O1	4850
[H]\C(=C(\[H])C1=C([H])C([H])=C([H])C([H])=C1[H])C(=O)C(\[H])=C(/[H])C1=C([H])C([H])=C([H])C([H])=C1[H]	1484
[H]\C(=C1/C(=O)/C(=C(\[H])C2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C([H])=C2[H])C([H])([H])C1([H])[H])C1=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C([H])=C1[H]	5240
[H]N1C(=NC(=O)C2=C([H])C([H])=C([H])C([H])=C12)C(\[H])=C1/C(=O)N(C2=C([H])C([H])=C([H])C([H])=C12)C([H])(C([H])([H])[H])C([H])([H])[H]	7587
[H]OC(=O)C1=C([H])C([H])=C([H])C([H])=C1N([H])C(=O)C1=C([H])C(Cl)=C(OC([H])([H])[H])C([H])=C1[H]	3573
[H]\C(=C1\OC2=C(C([H])=C([H])C(OC(=O)C3=C([H])C([H])=C([H])C([H])=C3OC([H])([H])[H])=C2[H])C1=O)C1=C([H])C([H])=NC([H])=C1[H]	8122
[H]C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C([H])([H])N1C(=O)C2=C(C3=C([H])C(=O)C([H])=C([H])C3=O)C([H])([H])C([H])([H])C([H])([H])N2C(=O)C1([H])[H]	5718
[H]N1C(=O)N(C(=O)\C(=C(/[H])C2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C([H])=C2[N+]([O-])=O)C1=O)C1=C([H])C([H])=C(OC([H])([H])C([H])([H])[H])C([H])=C1[H]	2798
[H]OC1=C([H])C([H])=C([H])C([H])=C1C(=O)N([H])\N=C1/C(=O)N(C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C(=O)N([H])C1=C([H])C([H])=C([H])C([H])=C1C([H])([H])[H]	8697
[H]N1C(=O)N(C(=O)\C(=C(/[H])C2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C([H])=C2[N+]([O-])=O)C1=O)C1=C([H])C([H])=C([H])C([H])=C1[H]	3408
[H]\C(\C(\[H])=C1/C(=O)ON=C1C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[H])=C(\[H])C1=C([H])C([H])=C([H])C([H])=C1[H]	1123
[H]\C(=C1\C(=O)N(C(=C1C(=O)OC([H])([H])[H])C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])O1)C1=C([H])C([H])=C(C([H])=C1[H])[N+]([O-])=O	2269
[H]N1OC(=O)C(C([H])=C2C([H])=C([H])C(=O)C([H])=C2[H])=C1C1=C([H])C([H])=C(Cl)C([H])=C1[H]	3103
[H]\C(=C(\[H])C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H])C(=O)C1=C([H])C2=C(OC1=O)C(OC([H])([H])[H])=C([H])C([H])=C2[H]	3300
[H]OC(=O)C1=C([H])C(\C([H])=C(/[H])C(=O)C2=C(O[H])C([H])=C(OC([H])([H])[H])C([H])=C2[H])=C2OC([H])([H])OC([H])([H])C2=C1[H]	6238
[H]\C(=C(\[H])C1=C([H])C2=C(OC([H])([H])O2)C([H])=C1[H])C(=O)C1=C([H])C([H])=C([H])C([H])=N1	6958
[H]N(C(=O)O[C@]1([H])C2=NC3=C([H])C([H])=C([H])C([H])=C3C([H])([H])N2C([H])([H])C1([H])[H])C1=C([H])C([H])=C(OC2=C(F)C(F)=C(F)C(F)=C2F)C([H])=C1[H]	9841
[H]C([H])([H])C([H])([H])N(C(=S)SSC(=S)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]	1622
[H]C1=C([H])C([H])=C(C([H])=C1[H])N1[Se]C2=C([H])C([H])=C([H])C([H])=C2C1=O	1101
[H]O\C(OC([H])([H])[H])=C1\C(=NC(=C(C(=O)OC([H])([H])[H])[C@@]1([H])C1=C(C([H])=C([H])C([H])=C1[H])[N+]([O-])=O)C([H])([H])[H])C([H])([H])[H]	7133
[H]N([C@]([H])(C(=O)C([H])([H])Cl)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])S(=O)(=O)C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[H]	1901
[H]OC(=O)C([H])([H])OC1=C(Cl)C(Cl)=C(C([H])=C1[H])C(=O)C(=C([H])[H])C([H])([H])C([H])([H])[H]	4832
[H]OC(=O)C(\[H])=C(/[H])C(=O)N([H])C1=C(C(=O)OC([H])([H])C([H])([H])[H])C(=C(S1)C([H])([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]	6737
[H]N(C(=O)[C@@]([H])(N1C(=O)C(=NC2=C([H])C([H])=C([H])C([H])=C12)C1=C([H])C([H])=C([H])O1)C1([H])C([H])([H])C1([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	2385
[H]OC(=O)C1=C([H])C([H])=C([H])C([H])=C1C1=C([H])C([H])=C([H])C([H])=C1C(=O)N([H])C1=C([H])C([H])=C(\C([H])=C(/[H])C(=O)C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H]	7144
[H]C1=C([H])C([H])=C2C(=O)C(SC3=C([H])C([H])=C(C([H])=C3[H])C([H])([H])[H])=C(SC3=C([H])C([H])=C(C([H])=C3[H])C([H])([H])[H])C(=O)C2=C1[H]	1001
[H]C1=C([H])C([H])=C2C(=C1[H])C([H])([H])C([H])([H])C1=C(N=C(O1)C([H])([H])[H])[C@@]2([H])N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H]	8829
[H]O\C([H])=C1\C(=O)C([H])=C2C(=C([H])[C@]3([H])[C@]4([H])C([H])([H])[C@@]([H])(C([H])([H])[H])[C@@]5(OC([H])([H])O[C@@]55OC([H])([H])OC5([H])[H])[C@]4(C([H])([H])[H])C([H])([H])[C@]([H])(O[H])[C@@]3([H])[C@]2(C([H])([H])[H])C1([H])[H])C([H])([H])[H]	3265
[H]O[C@@]([H])(C([H])([H])[H])C([H])([H])C(=O)OC([H])([H])[C@@]12O[C@]([H])(C3=C([H])C(=O)O[C@]3([H])O[H])C([H])([H])[C@@]1([H])[C@]1(C([H])([H])[H])C([H])([H])C([H])([H])[C@@]3([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])[C@@]1([H])C([H])([H])C2([H])[H]	857.11
[H]\C(=C1/C(=O)[C@@]([H])(C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C1([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]	1941
[H]N(C(=O)[C@@]([H])(N1C(=O)C(=NC2=C([H])C([H])=C([H])C([H])=C12)C1=C([H])C([H])=C([H])O1)C1=C([H])C([H])=C(C([H])=C1[H])C(F)(F)F)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]	1822
[H]N(C(=O)[C@@]([H])(N1C(=O)C(=NC2=C([H])C([H])=C([H])C([H])=C12)C1=C([H])C([H])=C([H])O1)C1=C([H])C([H])=C(C#N)C([H])=C1[H])C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H]	8622
[H]C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	2655
[H]N(C(=O)[C@]([H])(N1C(=O)C(=NC2=C([H])C([H])=C([H])C([H])=C12)C1=C([H])C([H])=C([H])O1)C1=C([H])C([H])=C(C([H])=C1[H])C1=C([H])C([H])=C([H])C([H])=C1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]	1286
[H]OC1=C(C2=C(OC(=C2C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])[H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])N1C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])O[H])C([H])([H])C1([H])[H]	1809
[H]N(C(=O)[C@@]([H])(N1C(=O)C(=NC2=C([H])C([H])=C([H])C([H])=C12)C1=C([H])C([H])=C([H])O1)C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	2219
[H]O[C@]12C([H])([H])N(C([H])([H])[C@@]1([H])N1N(C(=O)C([H])=C([H])C1=O)C([H])([H])[C@]2([H])OC(=O)N([H])C1=C([H])C([H])=C([H])S1)S(=O)(=O)C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[H]	7935
[H]C([H])=C([H])C(=O)N1C2=C([H])C([H])=C([H])C([H])=C2SC2=C1C([H])=C(N([H])C(=O)OC([H])([H])C([H])([H])[H])C([H])=C2[H]	6055
[H]N(C(=O)[C@]([H])(N1C(=O)C(=NC2=C([H])C([H])=C([H])C([H])=C12)C1=C([H])C([H])=C([H])O1)C1=C([H])C([H])=C(C#N)C([H])=C1[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	1876
