smile	binding.affinity
[H]OC1=C([H])C2=C(C([H])=C1[H])C(O[H])=C([H])C(=N2)C1=C([H])C([H])=C([H])C([H])=C1[H]	3400
[H]OC1=C([H])C(=NC2=C1C([H])=C([H])C(OC([H])([H])[H])=C2[H])C1=C([H])C([H])=C([H])C([H])=C1[H]	4800
[H]OC1=C([H])C(=NC2=C([H])C([H])=C(F)C([H])=C12)C1=C([H])C([H])=C([H])C([H])=C1[H]	3300
[H]OC1=C([H])C(=NC2=C([H])C([H])=C(Cl)C([H])=C12)C1=C([H])C([H])=C([H])C([H])=C1[H]	3200
[H]O[C@@]1([H])C2=C([H])C3=C(OC([H])([H])O3)C([H])=C2[C@@]([H])(C2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])[C@@]2([H])C(=O)OC([H])([H])[C@]12[H]	460
[H]OC1=C([H])C(=NC2=C([H])C([H])=C(OC([H])([H])[H])C([H])=C12)C1=C([H])C([H])=C([H])C([H])=C1[H]	1655
[H]OC1=C([H])C(=NC2=C1C([H])=C([H])C(F)=C2[H])C1=C([H])C([H])=C([H])C([H])=C1[H]	3700
[H]OC1=C(I)C([H])=C2C(=C1[H])C([H])([H])C([H])([H])[C@@]1([H])[C@]3([H])C([H])([H])C([H])([H])[C@]([H])(O[H])[C@@]3(C([H])([H])[H])C([H])([H])C([H])([H])[C@]21[H]	4800
[H]OC1=C(N([H])C([H])([H])C([H])([H])[H])C([H])=C2C(=C1[H])C([H])([H])C([H])([H])[C@@]1([H])[C@]3([H])C([H])([H])C([H])([H])[C@]([H])(O[H])[C@@]3(C([H])([H])[H])C([H])([H])C([H])([H])[C@]21[H]	3000
[H]OC1=C(C([H])=C([H])[H])C([H])=C2C(=C1[H])C([H])([H])C([H])([H])[C@@]1([H])[C@]3([H])C([H])([H])C([H])([H])[C@]([H])(O[H])[C@@]3(C([H])([H])[H])C([H])([H])C([H])([H])[C@]21[H]	2400
[H]OC1=C(OC([H])([H])C([H])([H])C([H])([H])[H])C([H])=C2C(=C1[H])C([H])([H])C([H])([H])[C@@]1([H])[C@]3([H])C([H])([H])C([H])([H])[C@]([H])(O[H])[C@@]3(C([H])([H])[H])C([H])([H])C([H])([H])[C@]21[H]	4200
[H]OC1=C([H])C2=C(C([H])=C1OC([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])[C@@]([H])(O[H])C([H])([H])C([H])([H])[C@@]3([H])[C@]1([H])C([H])([H])C2([H])[H]	5300
[H]OC1=C(\C([H])=C(/[H])C([H])([H])C([H])([H])[H])C([H])=C2C(=C1[H])C([H])([H])C([H])([H])[C@@]1([H])[C@]3([H])C([H])([H])C([H])([H])[C@]([H])(O[H])[C@@]3(C([H])([H])[H])C([H])([H])C([H])([H])[C@]21[H]	8600
[H]OC1=C(OC([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C2C(=C1[H])C([H])([H])C([H])([H])[C@@]1([H])[C@]3([H])C([H])([H])C([H])([H])[C@]([H])(O[H])[C@@]3(C([H])([H])[H])C([H])([H])C([H])([H])[C@]21[H]	2855
[H]OC1=C(\C([H])=C(/[H])C([H])([H])[H])C([H])=C2C(=C1[H])C([H])([H])C([H])([H])[C@@]1([H])[C@]3([H])C([H])([H])C([H])([H])[C@]([H])(O[H])[C@@]3(C([H])([H])[H])C([H])([H])C([H])([H])[C@]21[H]	7700
[H]OC1=C(C([H])=C(C([H])([H])[H])C([H])([H])[H])C([H])=C2C(=C1[H])C([H])([H])C([H])([H])[C@@]1([H])[C@]3([H])C([H])([H])C([H])([H])[C@]([H])(O[H])[C@@]3(C([H])([H])[H])C([H])([H])C([H])([H])[C@]21[H]	9400
[H]OC1=C([H])C(=NC2=C([H])C([H])=C(OC([H])([H])[H])C([H])=C12)C1=C([H])C(OC([H])([H])[H])=C([H])C([H])=C1[H]	740
[H]OC1=C([H])C(=NC2=C([H])C3=C(OC([H])([H])O3)C([H])=C12)C1=C(Cl)C([H])=C([H])C([H])=C1[H]	890
[H]OC1=C([H])C(=NC2=C([H])C3=C(OC([H])([H])O3)C([H])=C12)C1=C([H])N([H])C2=C1C([H])=C([H])C([H])=C2[H]	1300
[H]OC1=C([H])C(\C([H])=C(\[H])C2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])=C([H])C([H])=C1OC([H])([H])[H]	522.5
[H]OC1=C2C([H])=C3OC([H])([H])OC3=C([H])C2=NC(=C1[H])C1=C([H])C([H])=C([H])C([H])=C1[H]	630
[H]OC1=C([H])C(=NC2=C([H])C3=C(OC([H])([H])O3)C([H])=C12)C1=C(OC([H])([H])[H])C([H])=C([H])C(OC([H])([H])[H])=C1[H]	5500
[H]OC1=C([H])C(=NC2=C([H])C([H])=C([H])C([H])=C12)C1=C([H])C(OC([H])([H])[H])=C([H])C([H])=C1[H]	1400
[H]OC1=C2C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C([H])C2=NC(=C1[H])C1=C([H])C(OC([H])([H])[H])=C([H])C([H])=C1[H]	4300
[H]N(C(=O)C([H])([H])[H])[C@]1([H])C2=C([H])C(=O)C(OC([H])([H])[H])=C([H])C([H])=C2C2=C(C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2OC([H])([H])[H])C([H])([H])C1([H])[H]	1250
[H]OC1=C2C([H])=C3OC([H])([H])OC3=C([H])C2=NC(=C1[H])C1=C([H])C(OC([H])([H])[H])=C([H])C([H])=C1[H]	570
[H]OC1=C2C([H])=C3OC([H])([H])OC3=C([H])C2=NC(=C1[H])C1=C([H])C([H])=C([H])S1	2200
[H]OC1=C([H])C(=NC2=C([H])C3=C(OC([H])([H])O3)C([H])=C12)C1=C(F)C([H])=C([H])C([H])=C1[H]	850
[H]OC1=C2C([H])=C3OC([H])([H])OC3=C([H])C2=NC(=C1[H])C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[H]	1000
[H]OC1=C(OC([H])([H])[H])C([H])=C([H])C(=C1[H])C([H])([H])C([H])([H])C1=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C1[H]	630
[H]OC1=C([H])C(=NC2=C([H])C([H])=C(OC([H])([H])[H])C([H])=C12)C1=C([H])C(=C([H])C([H])=C1[H])N(C([H])([H])[H])C([H])([H])[H]	840
[H]OC1=C2C([H])=C3OC([H])([H])OC3=C([H])C2=NC(=C1[H])C1=C([H])C(OC([H])([H])[H])=C([H])C(OC([H])([H])[H])=C1[H]	620
[H]OC1=C2C([H])=C3OC([H])([H])OC3=C([H])C2=NC(=C1[H])C1=C([H])C2=C(OC([H])([H])O2)C([H])=C1[H]	1100
[H]OC1=C([H])C([H])=C(C([H])=C1[H])C1=NC2=C([H])C([H])=C(OC([H])([H])[H])C([H])=C2C(O[H])=C1[H]	5600
[H]OC1=C([H])C(=NC2=C([H])C([H])=C([H])C([H])=C12)C1=C([H])C(=C([H])C([H])=C1[H])N(C([H])([H])[H])C([H])([H])[H]	1500
[H]OC1=C2C([H])=C3OC([H])([H])OC3=C([H])C2=NC(\C([H])=C(/[H])C2=C([H])C([H])=C([H])C([H])=C2[H])=C1[H]	2300
[H]OC1=C2C([H])=C3OC([H])([H])OC3=C([H])C2=NC(=C1[H])C1=C([H])C(=C([H])C([H])=C1[H])N(C([H])([H])[H])C([H])([H])[H]	700
[H]OC1=C2C(N=C([H])C([H])=C2C([H])([H])[H])=NC(=C1[H])C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[H]	2900
[H]OC1=C2C([H])=C(Cl)C([H])=NC2=NC(=C1[H])C1=C([H])C(OC([H])([H])[H])=C([H])C([H])=C1[H]	730
[H]OC1=C2C(=NC(=C1[H])C1=C([H])C(OC([H])([H])[H])=C([H])C([H])=C1[H])N=C(C([H])=C2C([H])([H])[H])C([H])([H])[H]	880
[H]OC1=C2C([H])=C(Br)C([H])=NC2=NC(=C1[H])C1=C([H])C(OC([H])([H])[H])=C([H])C([H])=C1[H]	1500
[H]OC1=C2C([H])=C(C([H])=NC2=NC(=C1[H])C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[H])C([H])([H])[H]	2400
[H]OC1=C2C([H])=C(C([H])=NC2=NC(=C1[H])C1=C([H])C(OC([H])([H])[H])=C([H])C([H])=C1[H])C([H])([H])[H]	800
[H]OC1=C2C(N=C([H])C([H])=C2C([H])([H])[H])=NC(=C1[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H]	4800
[H]OC1=C2C(N=C([H])C([H])=C2C([H])([H])[H])=NC(=C1[H])C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H]	8800
[H]N1C2=NC(=C([H])C([H])=C2C(=O)C([H])=C1C1=C([H])C([H])=C([H])C(OC([H])([H])[H])=C1[H])C([H])([H])[H]	750
[H]OC1=C2C(=NC(=C1[H])C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[H])N=C(C([H])=C2C([H])([H])[H])C([H])([H])[H]	9800
[H]OC1=C([H])C(=NC2=NC([H])=C([H])C([H])=C12)C1=C([H])C(OC([H])([H])[H])=C([H])C([H])=C1[H]	960
[H]OC1=C2C([H])=C([H])C(=NC2=NC(=C1[H])C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[H])C([H])([H])[H]	4900
[H]OC1=C2C([H])=C(C([H])=NC2=NC(=C1[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H])C([H])([H])[H]	2000
[H]OC1=C2C(N=C([H])C([H])=C2C([H])([H])[H])=NC(=C1[H])C1=C([H])C(OC([H])([H])[H])=C([H])C([H])=C1[H]	620
[H]OC1=C2C([H])=C(C([H])=NC2=NC(=C1[H])C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H])C([H])([H])[H]	7700
[H]O[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C(C([H])=C([H])C(=O)C(Cl)=C4[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H]	9800
[H]O[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C(Br)=C([H])C([H])=C4[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H]	2900
[H]O[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C(C([H])=C([H])C(=O)C([H])=C4[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H]	4400
[H]O[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])=C([H])C([H])=C4[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H]	7200
[H]O[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C(Cl)=C([H])C([H])=C4[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H]	2800
[H]OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C([H])([H])N([H])C(=O)C1=C([H])C(N([H])C([H])([H])C2=C([H])C(O[H])=C([H])C([H])=C2O[H])=C([H])C([H])=C1O[H]	4500
[H]OC1=C([H])C([H])=C(O[H])C(=C1[H])C([H])([H])N([H])C1=C([H])C(C(=O)N([H])C([H])([H])C([H])([H])C2=C([H])C([H])=C(F)C([H])=C2[H])=C(O[H])C([H])=C1[H]	4000
[H]OC1=C([H])C([H])=C(O[H])C(=C1[H])C([H])([H])N([H])C1=C([H])C([H])=C(O[H])C(=C1[H])C(=O)N([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	3200
[H]OC1=C([H])C([H])=C(O[H])C(=C1[H])C([H])([H])N([H])C1=C([H])C([H])=C(O[H])C(=C1[H])C(=O)N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	3600
[H]OC1=C([H])C([H])=C(O[H])C(=C1[H])C([H])([H])N([H])C1=C([H])C([H])=C(O[H])C(=C1[H])C(=O)N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C(Br)C([H])=C1[H]	4200
[H]OC1=C([H])C([H])=C(O[H])C(=C1[H])C([H])([H])N([H])C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	5700
[H]OC1=C([H])C([H])=C(O[H])C(=C1[H])C([H])([H])N([H])C1=C([H])C([H])=C([H])C(=C1[H])C(=O)N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	6900
[H]OC1=C([H])C([H])=C(O[H])C(=C1[H])C([H])([H])N([H])C1=C([H])C([H])=C(O[H])C(=C1[H])C(=O)N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=N1	3600
[H]OC1=C([H])C(=C(O[H])C([H])=C1[H])C([H])([H])N([H])C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	4900
[H]OC1=C([H])C([H])=C(O[H])C(=C1[H])C([H])([H])N([H])C1=C([H])C([H])=C(O[H])C(=C1[H])C(=O)N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H]	4200
[H]OC1=C([H])C(=C(O[H])C([H])=C1[H])C([H])([H])N([H])C1=C([H])C([H])=C(O[H])C(=C1[H])C(=O)N([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H]	2100
[H]OC1=C([H])C([H])=C(O[H])C(=C1[H])C([H])([H])N([H])C1=C([H])C([H])=C(O[H])C(=C1[H])C(=O)N([H])[C@@]1([H])C([H])([H])C2=C(C([H])=C([H])C([H])=C2[H])C([H])([H])C1([H])[H]	5300
[H]OC1=C([H])C(=C(O[H])C([H])=C1[H])C([H])([H])N([H])C1=C([H])C([H])=C(O[H])C(=C1[H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]	3600
[H]OC1=C([H])C(=C(O[H])C([H])=C1[H])C([H])([H])N([H])C1=C([H])C(C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])=C(O[H])C([H])=C1[H]	5000
[H]OC1=C([H])C([H])=C(O[H])C(=C1[H])C([H])([H])N([H])C1=C([H])C([H])=C(O[H])C(=C1[H])C(=O)N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C(Cl)C([H])=C1[H]	3200
[H]N1C([H])=NC(=C1C1=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C1[H])C1=C([H])C([H])=C(C([H])=C1[H])N(C([H])([H])[H])C([H])([H])[H]	3700
[H]N([H])C1=C([H])C(=C([H])C([H])=C1OC([H])([H])[H])C1=C(N=C([H])N1[H])C1=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C1[H]	680
[H]N([H])C1=C([H])C(=C([H])C([H])=C1OC([H])([H])[H])C1=C([H])N=C([H])N1C1=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C1[H]	7700
[H]N1C([H])=NC(=C1C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H])C1=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C1[H]	2800
[H]N1C([H])=NC(=C1C1=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C1[H])C1=C([H])C([H])=C2C([H])=C([H])N(C2=C1[H])C([H])([H])[H]	1100
[H]C1=NC(=C(O1)C1=C([H])C([H])=C2N(C([H])=C([H])C2=C1[H])C([H])([H])[H])C1=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C1[H]	790
[H]N([H])C1=C([H])C(=C([H])C([H])=C1OC([H])([H])[H])C1=C(N=C([H])O1)C1=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C1[H]	920
[H]OC1=C([H])C(=C([H])C([H])=C1OC([H])([H])[H])C1=C(N=C([H])O1)C1=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C1[H]	980
[H]C1=NC(=C(N1C([H])([H])[H])C1=C([H])C([H])=C2C([H])=C([H])N(C2=C1[H])C([H])([H])[H])C1=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C1[H]	2000
[H]C1=NC([H])=C(N1C1=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C1[H])C1=C([H])C([H])=C2N(C([H])=C([H])C2=C1[H])C([H])([H])[H]	1800
