smile	binding.affinity
[H]N(C(=O)O[C@@]1([H])C([H])([H])[N@]2C([H])([H])C([H])([H])[C@]1([H])C([H])([H])C2([H])[H])C1=C([H])C([H])=C([H])C([H])=C1[H]	1034.92
[H]N(C(=O)O[C@@]1([H])C([H])([H])[N@]2C([H])([H])C([H])([H])[C@]1([H])C([H])([H])C2([H])[H])C1=C([H])C([H])=C(Br)C([H])=C1[H]	40
O=C(NC1CN2CCC1CC2)C1=CC=C(SC2=CC=CC=C2)C=C1	53
O=C(NC1=CC=CC=C1)OC1C2CCN(CC2)C1CC1=CN=CC=C1	7
BrC1=CC=C(NC(=O)OC2C3CCN(CC3)C2CC2=CN=CC=C2)C=C1	5
O=C(NC1C2CCN(CC2)C1CC1=CN=CC=C1)C1=CC=C(SC2=CC=CC=C2)C=C1	9
[H]C1=NC([H])=C(OC([H])([H])[C@@]2([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C2([H])[H])C([H])=C1[H]	1530
[H]C1=NC([H])=C(C([H])=C1[H])[C@@]1([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H]	2000
[H]N1C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])OC1=C([H])C([H])=C([H])N=C1[H]	4524
[H]N(C([H])([H])[H])[C@]1(C([H])([H])[H])[C@]2([H])C([H])([H])C([H])([H])[C@@]([H])(C2([H])[H])C1(C([H])([H])[H])C([H])([H])[H]	7050
[H]N1[C@]2([H])C([H])([H])C([H])([H])[C@@]1([H])[C@]([H])(C1=C([H])N=C(Cl)C([H])=C1[H])C2([H])[H]	19
[H]N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C1=C([H])C([H])=C([H])N=C1[H]	450
[H]C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]	2300
[H]C1=C([H])C([H])=C(C([H])=N1)[C@]1([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	4870
[H]N1C([H])=C(C(=O)O[C@@]2([H])C([H])([H])[N@]3C([H])([H])C([H])([H])[C@]2([H])C([H])([H])C3([H])[H])C2=C1C([H])=C([H])C([H])=C2[H]	580
[H]C1=C([H])C2=C(C([H])=C([H])C([H])=C2[H])N1C(=O)O[C@@]1([H])C([H])([H])[N@]2C([H])([H])C([H])([H])[C@]1([H])C([H])([H])C2([H])[H]	4800
[H]N1C([H])=C(C(=O)O[C@]2([H])C([H])([H])[C@]3([H])C([H])([H])C([H])([H])[C@]([H])(C2([H])[H])[N+]3(C([H])([H])[H])C([H])([H])[H])C2=C1C([H])=C([H])C([H])=C2[H]	653.45
[H]OC1=C([H])C([H])=C2C(O[C@]([H])(C([H])([H])C2([H])[H])[C@@]2([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C2([H])[H])=C1[H]	600
[H]OC1=C([H])C([H])=C2C(O[C@]([H])(C([H])([H])C2([H])[H])[C@@]2([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])=C1[H]	630.5
[H]N1C([H])([H])[C@@]2([H])C([H])=C(C3=C([H])N=C([H])N=C3[H])C([H])([H])[C@@]([H])(C1([H])[H])C2([H])[H]	19
[H]C1=NC([H])=C(C(C#N)=C1[H])C1=C([H])[C@]2([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[C@]([H])(C1([H])[H])C2([H])[H]	4847
[H]N1C([H])([H])[C@@]2([H])C([H])=C(C3=C([H])N=C([H])C([H])=C3C#N)C([H])([H])[C@@]([H])(C1([H])[H])C2([H])[H]	330
[H]C1=NC([H])=C(C(Cl)=C1[H])C1=C([H])[C@]2([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[C@]([H])(C1([H])[H])C2([H])[H]	1421
[H]N1C([H])([H])[C@@]2([H])C([H])=C(C3=C([H])N=C([H])C([H])=C3Cl)C([H])([H])[C@@]([H])(C1([H])[H])C2([H])[H]	33
[H]N1C([H])([H])[C@@]2([H])C([H])=C(C3=C([H])N=C(C([H])=C3[H])C3=C([H])C([H])=C([H])C([H])=C3[H])C([H])([H])[C@@]([H])(C1([H])[H])C2([H])[H]	590
[H]N1C([H])([H])[C@@]2([H])C([H])=C(C3=C([H])N=C(C([H])=C3[H])C([H])([H])[H])C([H])([H])[C@@]([H])(C1([H])[H])C2([H])[H]	80
[H]N1C([H])([H])[C@@]2([H])C([H])=C(C3=C([H])N=C(OC([H])([H])[H])C([H])=C3[H])C([H])([H])[C@@]([H])(C1([H])[H])C2([H])[H]	1849
[H]N(C(=O)C1=C([H])C([H])=C(S1)C1=NC([H])=C([H])C([H])=C1[H])[C@@]1([H])C([H])([H])[N@]2C([H])([H])C([H])([H])[C@]1([H])C([H])([H])C2([H])[H]	4.1
[H]N(C(=O)C1=C([H])C2=C(S1)C([H])=C([H])C([H])=C2[H])[C@@]1([H])C([H])([H])[N@]2C([H])([H])C([H])([H])[C@]1([H])C([H])([H])C2([H])[H]	14.6
[H]N(C(=O)C1=C([H])C([H])=C(S1)C1=C([H])C([H])=C([H])C([H])=C1[H])[C@]1([H])C([H])([H])[N@]2C([H])([H])C([H])([H])[C@]1([H])C([H])([H])C2([H])[H]	3.4
