smile	binding.affinity
[H]C1=C([H])C2=C(C(=NC2([H])[H])C2=C([H])C(=NC([H])=C2[H])C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C(OC2([H])C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])=N1	757
[H]C1=NN(C([H])=C1C1=NC([H])([H])C2=C1C(O[C@@]1([H])C([H])([H])OC([H])([H])C1([H])[H])=NC([H])=C2[H])C([H])(C([H])([H])[H])C([H])([H])[H]	7
[H]C1=NN(C([H])=C1C1=NC([H])([H])C2=C1C(OC([H])([H])[H])=NC([H])=C2[H])[C@@]1([H])C([H])([H])OC([H])([H])C1([H])[H]	23
[H]N(C(=O)C1=C([H])C([H])=C([H])C(=C1[H])C1=NC([H])([H])C2=C1C(OC([H])([H])[H])=NC(=C2[H])C([H])([H])[H])C([H])([H])[H]	199
[H]C1=C([H])C2=C(C(=NC2([H])[H])C2=C([H])C(=NC([H])=C2[H])N2C([H])([H])[C@@]([H])(O[C@]([H])(C([H])([H])[H])C2([H])[H])C([H])([H])[H])C(OC([H])([H])[H])=N1	25
[H]N(C1=NC([H])=C([H])C2=C1C(=NC2([H])[H])C([H])([H])C([H])([H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])C1([H])[H])C1([H])C([H])([H])C([H])([H])OC([H])([H])C1([H])[H]	34
[H]C1=C([H])C2=C(C(=NC2([H])[H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C3=C([H])C([H])=C([H])C([H])=C3[H])C2([H])[H])C(OC2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])=N1	14
[H]N(C1=NC([H])=C([H])C2=C1C(=NC2([H])[H])C([H])([H])C([H])([H])C(=O)N1C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])C1([H])C([H])([H])C1([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	17
[H]N(C1=NC([H])=C([H])C2=C1C(=NC2([H])[H])C1=C([H])C(=NC([H])=C1[H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C1([H])C([H])([H])C([H])([H])OC([H])([H])C1([H])[H]	27
[H]C1=C([H])C2=C(C(=NC2([H])[H])C2=C([H])C(=NC([H])=C2[H])N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])C(OC2([H])C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])=N1	6
[H]C1=C([H])C2=C(C(=NC2([H])[H])C2([H])C([H])([H])C2([H])[H])C(OC2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])=N1	24
[H]C1=C([H])C2=C(C(=NC2([H])[H])C2([H])C([H])([H])C2([H])[H])C(OC2([H])C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])=N1	35
[H]C1=C([H])C2=C(C(=NC2([H])[H])C2([H])C([H])([H])C2([H])[H])C(O[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])=N1	78
[H]C1=C([H])C2=C(C(=NC2([H])[H])C([H])([H])[H])C(O[C@@]2([H])C([H])([H])OC([H])([H])C2([H])[H])=N1	158
[H]C1=C([H])C([H])=C(O1)C1=NC([H])([H])C2=C1C(OC1([H])C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])=NC([H])=C2[H]	132
[H]C1=NN(C([H])=C1C1=NC([H])([H])C2=C1C(OC1([H])C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])=NC([H])=C2[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	6
[H]C1=NN(C([H])=C1C1=NC([H])([H])C2=C1C(OC1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])=NC([H])=C2[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])[H]	55
[H]C1=C(C([H])=C(N1C([H])(C([H])([H])[H])C([H])([H])[H])C(=O)N(C([H])([H])[H])C([H])([H])[H])C1=NC([H])([H])C2=C([H])C([H])=NC(OC([H])(C([H])([H])[H])C([H])([H])[H])=C12	18
[H]C1=C(C([H])=C(N1C([H])(C([H])([H])[H])C([H])([H])[H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C1=NC([H])([H])C2=C1C(OC([H])(C([H])([H])[H])C([H])([H])[H])=NC([H])=C2[H]	19
[H]N(C(=O)C1=C([H])C(=C([H])N1C([H])(C([H])([H])[H])C([H])([H])[H])C1=NC([H])([H])C2=C1C(OC([H])(C([H])([H])[H])C([H])([H])[H])=NC([H])=C2[H])C1([H])C([H])([H])OC1([H])[H]	24
[H]C1=C(C([H])=C(N1C([H])(C([H])([H])[H])C([H])([H])[H])C(=O)N(C([H])([H])[H])C([H])([H])[H])C1=NC([H])([H])C2=C1C(OC([H])([H])[H])=NC([H])=C2[H]	77
[H]N(C(=O)C1=C([H])C(=C([H])N1C([H])(C([H])([H])[H])C([H])([H])[H])C1=NC([H])([H])C2=C([H])C([H])=NC(OC([H])([H])[H])=C12)C1([H])C([H])([H])OC1([H])[H]	14
[H]C1=C(C([H])=C(N1C([H])(C([H])([H])[H])C([H])([H])[H])C(=O)N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C1=NC([H])([H])C2=C1C(OC1([H])C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])=NC([H])=C2[H]	39
[H]C1=C(C([H])=C(N1C([H])(C([H])([H])[H])C([H])([H])[H])C(=O)N(C([H])([H])[H])C([H])([H])[H])C1=NC([H])([H])C2=C1C(OC1([H])C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])=NC([H])=C2[H]	45
[H]N(C(=O)C1=C([H])C(=C([H])N1C([H])(C([H])([H])[H])C([H])([H])[H])C1=NC([H])([H])C2=C1C(OC1([H])C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])=NC([H])=C2[H])C1([H])C([H])([H])OC1([H])[H]	3
[H]N1N=C(C2=C1C([H])=C([H])N=C2OC1([H])C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C1=C([H])C([H])=NC(=C1[H])C(=O)N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H]	221
[H]C1=C([H])C2=C(C(=NC2([H])[H])C2=C([H])C(=NC([H])=C2[H])N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])C(OC([H])([H])C(F)(F)F)=N1	31
[H]C1=NN(C([H])=C1C1=NC([H])([H])C2=C1C(OC([H])([H])C(F)(F)F)=NC([H])=C2[H])C([H])(C([H])([H])[H])C([H])([H])[H]	26
[H]C1=NN(C([H])=C1C1=NC([H])([H])C2=C1C(O[C@]([H])(C([H])([H])[H])C(F)(F)F)=NC([H])=C2[H])C([H])(C([H])([H])[H])C([H])([H])[H]	13
[H]C1=C([H])C2=C(C(=NC2([H])[H])C2=NC(=NC([H])=C2[H])N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])C(OC2([H])C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])=N1	65
[H]C1=NN(C([H])=C1C1=NC([H])([H])C2=C1C(OC([H])([H])[H])=NC([H])=C2[H])C1([H])C([H])([H])OC1([H])[H]	31
[H]C1=NN(C([H])=C1C1=NC([H])([H])C2=C1C(OC([H])([H])[H])=NC([H])=C2[H])C([H])([H])C(F)(F)F	25
[H]C1=NN(C([H])=C1C1=NC([H])([H])C2=C1C(OC([H])([H])[H])=NC([H])=C2[H])C([H])([H])C1(C([H])([H])[H])C([H])([H])OC1([H])[H]	108
[H]C1=NN(C([H])=C1C1=NC([H])([H])C2=C1C(OC1([H])C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])=NC([H])=C2[H])C([H])([H])C1([H])C([H])([H])C([H])([H])OC([H])([H])C1([H])[H]	11
[H]C1=NN(C([H])=C1C1=NC([H])([H])C2=C1C(OC1([H])C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])=NC([H])=C2[H])C([H])([H])C(F)(F)F	6
[H]C1=NN(C([H])=C1C1=NC([H])([H])C2=C1C(OC1([H])C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])=NC([H])=C2[H])[C@@]1([H])C([H])([H])OC([H])([H])C1([H])[H]	4
[H]C1=C([H])C2=C(C(=NC2([H])[H])C2=C([H])C(=NC(=C2[H])C([H])([H])[H])C([H])([H])[H])C(OC2([H])C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])=N1	5
