smile	binding.affinity
[H]C1=C([H])C2=C(C([H])=C1[H])C([H])([H])C([H])([H])N(C([H])([H])C1=C([H])C([H])([H])[C@]([H])(C3=C([H])C(F)=C(F)C([H])=C3F)[C@@]([H])([N+]([H])([H])[H])C1([H])[H])C2([H])[H]	310
[H]N([H])C(=O)C1=C([H])C(N([H])C([H])([H])C2=C([H])C([H])([H])[C@]([H])(C3=C([H])C(F)=C(F)C([H])=C3F)[C@@]([H])([N+]([H])([H])[H])C2([H])[H])=C([H])C([H])=C1[H]	230
[H]N([H])C(=O)C1=C([H])C(OC([H])([H])C2=C([H])C([H])([H])[C@]([H])(C3=C([H])C(F)=C(F)C([H])=C3F)[C@@]([H])([N+]([H])([H])[H])C2([H])[H])=C([H])C([H])=C1[H]	560
[H]N([H])[C@]([H])(C(=O)N1C([H])([H])SC([H])([H])C1([H])[H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]	1267
[H]N(C([H])([H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C#N)C([H])([H])C([H])([H])C(=O)N1C([H])([H])C2=C([H])C([H])=C(F)C([H])=C2C([H])([H])C1([H])[H]	1700
[H]N([H])[C@]([H])(C(=O)N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	1448
[H]N([H])[C@]([H])(C(=O)N1C([H])([H])C2=C(C([H])=C([H])C([H])=C2[H])C1([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	24
[H]N([H])[C@]([H])(C(=O)N1C([H])([H])C([H])([H])[C@]([H])(F)C1([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@]([H])(N([H])S(=O)(=O)C2=C([H])C([H])=C(F)C([H])=C2F)C([H])([H])C1([H])[H]	993
[H]N(C([H])([H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C#N)C([H])([H])C([H])([H])C([H])([H])C(=O)N1C([H])([H])C2=C(C([H])=C([H])C([H])=C2[H])C([H])([H])C1([H])[H]	1407
[H]N([H])[C@@]([H])(C([H])([H])C(=O)N1C([H])([H])C2=C(N=C(S2)C2=C([H])C([H])=C(F)C([H])=C2[H])C([H])([H])C1([H])[H])C([H])([H])C1=C([H])C(F)=C([H])C([H])=C1F	4300
