smile	binding.affinity
COC1=CC=C(C[C@H](NC(=O)C(C)(C)N)C(=O)N2CC[C@H]2C2=NC3=C(N2)C=C(Cl)C(Cl)=C3)C=C1	1785.5
CC(C)(C)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@H](CC1=CC=C(C=C1)C1=CC=CC=C1)NC(=O)C(C)(C)N	29
CC(C)(C)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@H](CC1=CC=C(C=C1)C1=CC=CC=C1)NC(=O)C(C)(C)O	15.5
C[C@H]([C@H](NC(=O)C(C)(C)N)C(=O)N1CCC[C@H]1C1=NC2=C(N1)C=C(Cl)C(Cl)=C2)C1=CC=C(C=C1)C1=CC=CC=C1	20
C[C@H]([C@H](NC(=O)C(C)(C)N)C(=O)N1CCC[C@H]1C1=NC2=C(N1)C=C(Cl)C(Cl)=C2)C1=CC=CC=C1	46
C[C@H]([C@H](NC(=O)C(C)(C)O)C(=O)N1CCC[C@H]1C1=NC2=C(N1)C=C(Cl)C(Cl)=C2)C1=CC=CC=C1	63.5
FC1=CC=CC(=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)CCC1=CC=C(C=C1)C1=CC=CC=C1	871
[H]N1N=C([H])C(=C1[H])C1([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])C2=NC3=C(N2[H])C([H])=C(Cl)C(Cl)=C3[H])C([H])([H])C1([H])[H]	107
[H]N1N=C(C([H])=C1[H])C1([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])C2=NC3=C(N2[H])C([H])=C(Cl)C(Cl)=C3[H])C([H])([H])C1([H])[H]	290
[H]N1C2=C(N=C1[C@@]1([H])N(C(=O)C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])(N4N=NC([H])=N4)C([H])([H])C3([H])[H])C([H])([H])C([H])([H])C1([H])[H])C([H])=C(Cl)C(Cl)=C2[H]	2900
[H]N1C2=C(N=C1[C@@]1([H])N(C(=O)C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])(C4=C([H])C([H])=NC([H])=C4[H])C([H])([H])C3([H])[H])C([H])([H])C([H])([H])C1([H])[H])C([H])=C(Cl)C(Cl)=C2[H]	430
[H]N1C2=C(N=C1[C@@]1([H])N(C(=O)C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])(C4=C([H])N=C([H])C([H])=N4)C([H])([H])C3([H])[H])C([H])([H])C([H])([H])C1([H])[H])C([H])=C(Cl)C(Cl)=C2[H]	8000
[H]N1C2=C(N=C1[C@@]1([H])N(C(=O)C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])(C4=NC(=NO4)C4=C([H])C([H])=C([H])C([H])=N4)C([H])([H])C3([H])[H])C([H])([H])C([H])([H])C1([H])[H])C([H])=C(Cl)C(Cl)=C2[H]	88.5
[H]N1C2=C(N=C1[C@@]1([H])N(C(=O)C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])(C4=NC(=NO4)C4=C([H])C([H])=NC([H])=C4[H])C([H])([H])C3([H])[H])C([H])([H])C([H])([H])C1([H])[H])C([H])=C(Cl)C(Cl)=C2[H]	14.765
[H]N1C2=C(N=C1[C@@]1([H])N(C(=O)C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])(C4=NC(=NO4)C4=NC([H])=C([H])N=C4[H])C([H])([H])C3([H])[H])C([H])([H])C([H])([H])C1([H])[H])C([H])=C(Cl)C(Cl)=C2[H]	435
[H]N1C2=C(N=C1[C@@]1([H])N(C(=O)C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])(C4=NC(=NO4)C4=NC([H])=C([H])C([H])=N4)C([H])([H])C3([H])[H])C([H])([H])C([H])([H])C1([H])[H])C([H])=C(Cl)C(Cl)=C2[H]	745
[H]N1C2=C(N=C1[C@@]1([H])N(C(=O)C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])(C4=NC(=NO4)C4=C([H])C([H])=C(C([H])=C4[H])S(=O)(=O)C([H])([H])[H])C([H])([H])C3([H])[H])C([H])([H])C([H])([H])C1([H])[H])C([H])=C(Cl)C(Cl)=C2[H]	5.205
[H]OC(=O)C1=C([H])C([H])=C(C([H])=C1[H])C1=NOC(=N1)C1([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])C2=NC3=C(N2[H])C([H])=C(Cl)C(Cl)=C3[H])C([H])([H])C1([H])[H]	241
[H]N1C2=C(N=C1[C@@]1([H])N(C(=O)C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])(C4=NC(=NO4)C4=C([H])C([H])=C([H])N=C4[H])C([H])([H])C3([H])[H])C([H])([H])C([H])([H])C1([H])[H])C([H])=C(Cl)C(Cl)=C2[H]	155
[H]N1C2=C(N=C1[C@@]1([H])N(C(=O)C([H])([H])C([H])([H])N3C(=O)C([H])([H])[C@]([H])(C4=NC(=NO4)C4=C([H])C([H])=C(C([H])=C4[H])S(=O)(=O)C([H])([H])[H])C([H])([H])C3([H])[H])C([H])([H])C([H])([H])C1([H])[H])C([H])=C(Cl)C(Cl)=C2[H]	425
[H]N1C2=C(N=C1[C@@]1([H])N(C(=O)C([H])([H])C([H])([H])C([H])([H])C(N3C([H])([H])C([H])([H])C([H])(C4=NC(=NO4)C4=C([H])C([H])=C([H])C([H])=N4)C([H])([H])C3([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H])C([H])=C(Cl)C(Cl)=C2[H]	66
[H]N1C2=C(N=C1[C@@]1([H])N(C(=O)C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])(C4=NN(C(=C4[H])C4=C([H])C([H])=NC([H])=C4[H])C([H])([H])[H])C([H])([H])C3([H])[H])C([H])([H])C([H])([H])C1([H])[H])C([H])=C(Cl)C(Cl)=C2[H]	3.75
[H]N1C2=C(N=C1[C@@]1([H])N(C(=O)C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])(C4=NN(C(=C4[H])C4=C([H])N=C([H])C([H])=C4[H])C([H])([H])[H])C([H])([H])C3([H])[H])C([H])([H])C([H])([H])C1([H])[H])C([H])=C(Cl)C(Cl)=C2[H]	39
[H]N1N=C(C([H])=C1C1=C([H])C([H])=NC([H])=C1[H])C1([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])C2=NC3=C(N2[H])C([H])=C(Cl)C(Cl)=C3[H])C([H])([H])C1([H])[H]	485
[H]C1=C(OC2=C1C([H])=C([H])C([H])=C2[H])C([H])([H])N1C([H])([H])C([H])([H])[C@]2(O[C@]([H])(C3=C([H])C([H])=C([H])C([H])=C23)C2=C([H])C(Cl)=C([H])C(Cl)=C2[H])C([H])([H])C1([H])[H]	501.25
[H]C1=C([H])C([H])=C2C(=C1[H])[C@]([H])(O[C@]21C([H])([H])C([H])([H])N(C([H])([H])C2=C([H])C([H])=C(OC(F)(F)F)C([H])=C2[H])C([H])([H])C1([H])[H])C1=C([H])C(Cl)=C([H])C(Cl)=C1[H]	500.5
