smile	binding.affinity
[H]C1=C([H])C(=C([H])C([H])=C1F)C1=C([H])C([H])=C(C([H])=C1[H])[C@]([H])(C(=O)N(C([H])([H])[H])C([H])([H])[H])[C@@]([H])(C(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C#N)[N+]([H])([H])[H]	2600
[H]N([H])[C@]([H])(C(=O)N1C([H])([H])C([H])([H])[C@]([H])(F)C1([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@]([H])(N([H])S(=O)(=O)C2=C([H])C([H])=C(F)C([H])=C2F)C([H])([H])C1([H])[H]	2720
[H]N([H])[C@]([H])(C(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C#N)C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	3
[H]N(C([H])([H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C#N)[C@@]1([H])C([H])([H])C([H])([H])[C@]([H])(OC2=NC([H])=C(C#N)C([H])=C2[H])C([H])([H])C1([H])[H]	10
[H]O[C@]12C([H])([H])[C@]3([H])C([H])([H])[C@]([H])(C1([H])[H])C([H])([H])[C@@](N([H])C([H])([H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C#N)(C3([H])[H])C2([H])[H]	380.75
[H]N([H])[C@]([H])(C(=O)N1C([H])([H])SC([H])([H])C1([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]	1600
[H]C1=C(F)C(=C([H])C(F)=C1F)[C@@]1([H])C([H])([H])C([H])=C(C(=O)N2C([H])([H])C3=NN=C(N3C([H])([H])C2([H])[H])C(F)(F)F)C([H])([H])[C@]1([H])[N+]([H])([H])[H]	4000
[H]N(C([H])([H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C#N)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]	3300
[H]N([H])[C@@]([H])(C([H])([H])C(=O)N1C([H])([H])C2=C(N=C(S2)C2=C([H])C([H])=C(F)C([H])=C2[H])C([H])([H])C1([H])[H])C([H])([H])C1=C([H])C(F)=C([H])C([H])=C1F	7800
[H]N([H])[C@@]([H])(C([H])([H])C(=O)N1C([H])([H])C2=C(N=C(S2)C2=C([H])C([H])=C(C([H])=C2[H])C(F)(F)F)C([H])([H])C1([H])[H])C([H])([H])C1=C([H])C(F)=C([H])C([H])=C1F	9600
[H]N([H])[C@@]([H])(C([H])([H])C(=O)N1C([H])([H])C2=C(N=C(S2)C2=C([H])C([H])=C(SC([H])([H])[H])C([H])=C2[H])C([H])([H])C1([H])[H])C([H])([H])C1=C([H])C(F)=C([H])C([H])=C1F	5100
[H]N([H])[C@@]([H])(C([H])([H])C(=O)N1C([H])([H])C2=C(N=C(S2)C2=C([H])C([H])=C(C([H])=C2[H])S(=O)(=O)C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])C1=C([H])C(F)=C([H])C([H])=C1F	6500
