smile	binding.affinity
[H]N1C([H])=C(C([H])=O)C2=C1C1=C(C([H])=C2[H])C2=C(N1[H])C([H])=C([H])C(Br)=C2[H]	40
[H]N1C([H])=C([H])C2=C1C1=C(C([H])=C2[H])C2=C(N1[H])C([H])=C([H])C(Br)=C2[H]	440
[H]N1C([H])=C(C(=O)C(F)(F)F)C2=C1C1=C(C([H])=C2[H])C2=C(N1[H])C([H])=C([H])C([H])=C2[H]	170
[H]N([H])C(=O)C1=C([H])N([H])C2=C1C([H])=C([H])C1=C2N([H])C2=C1C([H])=C([H])C([H])=C2[H]	210
[H]N1C([H])=C(C([H])=O)C2=C1C1=C(C([H])=C2[H])C2=C(N1[H])C([H])=C([H])C([H])=C2[H]	10
[H]N1C([H])=C(C([H])=O)C2=C1C1=C(C([H])=C2[H])C2=C(N1[H])C([H])=C([H])C(=C2[H])C1=C([H])C([H])=C(F)C([H])=C1F	200
[H]\C(C(=O)C([H])([H])[H])=C1\SC2=C([H])C([H])=C(OC([H])([H])[H])C([H])=C2N1C([H])([H])C([H])([H])[H]	280
[H]OC(=O)C1=C([H])C([H])=C2C3=NC4=C(C([H])=C([H])C([H])=C4[H])N3C(=O)C3=C([H])C([H])=C([H])C1=C23	83
[H]C1=C([H])C([H])=C(C([H])=C1[H])C1=C2OC(=C([H])C(=O)C2=C([H])C([H])=C1[H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H]	1400
[H]N1C2=C(C([H])=C([H])C(OC([H])([H])[H])=C2[H])C2=C1C(=NC([H])=C2[H])C([H])([H])[H]	4300
[H]OC1=C(Br)C([H])=C(\C([H])=C2/C3=C([H])C(I)=C([H])C([H])=C3N([H])[C@]2([H])O[H])C([H])=C1Br	100
[H]N(C(=O)C1=C([H])N=C([H])C([H])=C1[H])C1=C([H])C(Cl)=C([H])C2=C1N([H])C1=C2C([H])=C([H])N=C1[H]	880
[H]N(C1=NC(=C([H])C([H])=N1)C(\C#N)=C1\SC2=C([H])C([H])=C([H])C([H])=C2N1[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])N=C1[H]	30
[H]OC1=C([H])C(O[H])=C2C(=O)C([H])=C(OC2=C1[C@@]1([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[C@@]1([H])O[H])C1=C(Cl)C([H])=C([H])C([H])=C1[H]	600
[H]N1C([H])=N\C(=N/C2=C([H])C(Cl)=C(F)C([H])=C2[H])C2=C([H])C(OC([H])([H])C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])=C(OC([H])([H])[H])C([H])=C12	5800
[H]N1C(=O)C2=C(C1=O)C1=C([H])N(C3=C1C([H])=C([H])C([H])=C3[H])C([H])([H])C([H])([H])[C@]([H])(OC([H])([H])C([H])([H])N1C([H])=C2C2=C1C([H])=C([H])C([H])=C2[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]	12
[H]N(C([H])([H])[H])[C@]1([H])C([H])([H])[C@@]2([H])O[C@@](N3C4=C(C([H])=C([H])C([H])=C4[H])C4=C3C3=C(C5=C(C([H])=C([H])C([H])=C5[H])N23)C2=C4C([H])([H])N([H])C2=O)(C([H])([H])[H])[C@]1([H])OC([H])([H])[H]	0.51
[H]O[C@@]([H])(C([H])([H])N([H])C(=O)C1=C(N([H])C(\C([H])=C2/C(=O)N([H])C3=C2C([H])=C(F)C([H])=C3[H])=C1C([H])([H])[H])C([H])([H])[H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H]	2400
[H]N(C(=O)C1=C(N([H])C(\C([H])=C2/C(=O)N([H])C3=C([H])C([H])=C(F)C([H])=C23)=C1C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]	2400
[H][C@]12C[C@H]([C@@H](OC)[C@](C)(O1)N1C3=C(C=CC=C3)C3=C1C1=C(C4=C(C=CC=C4)N21)C1=C3[C@H](O)NC1=O)N(C)C(=O)C1=CC=CC=C1	2000
BrC1=C2NC3=C(C=CC4=C3NC=C4C=O)C2=CC=C1	24
CCC1=C2NC3=C(C=CC4=C3NC=C4C=O)C2=CC=C1	60
CC1=CC=C2C(NC3=C2C=CC2=C3NC=C2C=O)=C1	117
COC(=O)C1=C2NC3=C(C=CC4=C3NC=C4C=O)C2=CC=C1	40
FC(F)(F)C1=C2NC3=C(C=CC4=C3NC=C4C=O)C2=CC=C1	6
BrC1=C2C(NC3=C2C=CC2=C3NC=C2C=O)=CC=C1	12.4
BrC1=CC=C2C(NC3=C2C=CC2=C3NC=C2C=O)=C1	90
[H]N1N=C(\C([H])=C2/OC3=C(C(OC([H])([H])[H])=C([H])C([H])=C3C2=O)C([H])([H])N2C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])C2=C1C([H])=C([H])C([H])=C2[H]	13
[H]N=C1S\C(=C(/[H])C2=C([H])C([H])=C(O2)C2=C([H])N=C([H])C3=C2C([H])=C([H])C([H])=C3[H])C(=O)N1[H]	13
[H]N([H])[C@]([H])(C([H])([H])OC1=C([H])C(=C([H])N=C1[H])C1=C([H])C2=C(N([H])N=C2C([H])([H])[H])C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	140
[H]C(=O)C1=C([H])N2C3=C1C([H])=C([H])C1=C3N(C3=C([H])C([H])=C([H])C([H])=C13)C([H])([H])C([H])([H])C([H])([H])C2([H])[H]	13
[H]N1C([H])=C(C([H])=O)C2=C1C1=C(C([H])=C2[H])C2=C(C([H])=C([H])C([H])=C2[H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])N=[N+]=[N-]	108
[H]OC([H])([H])C1=C([H])N(N=N1)C([H])([H])C([H])([H])C([H])([H])C([H])([H])N1C2=C([H])C([H])=C([H])C([H])=C2C2=C1C1=C(C([H])=C2[H])C(C([H])=O)=C([H])N1[H]	235
[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])C1=C([H])N(N=N1)C([H])([H])C([H])([H])C([H])([H])C([H])([H])N1C2=C([H])C([H])=C([H])C([H])=C2C2=C1C1=C(C([H])=C2[H])C(C([H])=O)=C([H])N1[H]	490
[H]N(C1=C([H])C([H])=C2N=NN(C2=N1)C1=C([H])C([H])=C([H])C(OC(F)(F)F)=C1[H])C([H])([H])C1([H])C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H]	7
[H]N(C1=C([H])C([H])=C2N=NN(C2=N1)C1=C([H])C([H])=C([H])C(OC(F)(F)F)=C1[H])C1([H])C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H]	66
[H]N(C1=C([H])C([H])=C2N=NN(C2=N1)C1=C([H])C([H])=C([H])C(OC(F)(F)F)=C1[H])[C@@]1([H])C([H])([H])[C@@]2(C1([H])[H])C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H]	23
[H]N(C1=C([H])C([H])=C2N=NN(C2=N1)C1=C([H])C([H])=C([H])C(OC(F)(F)F)=C1[H])C([H])([H])[C@@]1([H])C([H])([H])[C@@]2(C1([H])[H])C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H]	40
[H]O[C@@]1([H])C([H])([H])C([H])([H])[C@]([H])(N([H])C2=C([H])C([H])=C3N=NN(C3=N2)C2=C([H])C([H])=C([H])C(OC(F)(F)F)=C2[H])C([H])([H])C1([H])[H]	69
