smile	binding.affinity
[H]OC1=C([H])C([H])=C2C([H])=C([H])C([H])=C([H])C2=C1C([H])([H])C1=C(N(C(=S)N([H])C1=O)C([H])([H])C([H])([H])C([H])([H])[H])C1=C([H])C([H])=C([H])C([H])=C1[H]	4800
[H]OC1=C([H])C([H])=C2C([H])=C([H])C([H])=C([H])C2=C1C([H])([H])C1=C(N(C(=S)N([H])C1=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C1=C([H])C([H])=C([H])C([H])=C1[H]	1000
[H]N([H])C(=O)[C@@]1([H])C2=C(C3=C([H])C(Cl)=C([H])C([H])=C3N2[H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	2770
[H]OC([H])([H])C([H])([H])[C@]([H])(OC([H])([H])C([H])([H])N1C([H])=C(C2=C([H])C([H])=C([H])C([H])=C12)C1=C(C(=O)N([H])C1=O)C1=C([H])N([H])C2=C1C(F)=C([H])C([H])=C2[H])[C@@]([H])(O[H])C([H])([H])O[H]	9500
[H]N=C(SC([H])([H])C([H])([H])C([H])([H])N1C([H])=C(C2=C1C([H])=C([H])C([H])=C2[H])C1=C(C(=O)N([H])C1=O)C1=C([H])N(C2=C1C([H])=C([H])C([H])=C2[H])C([H])([H])[H])N([H])[H]	800
[H]N1C([H])=C(C2=C1C([H])=C([H])C([H])=C2[H])C1=C(C(=O)N([H])C1=O)C1=C([H])N(C2=C1C([H])=C([H])C([H])=C2[H])C([H])([H])C([H])([H])[C@]1([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H]	8300
[H]N1C([H])=C(C2=C1C([H])=C([H])C([H])=C2[H])C1=C(C(=O)N([H])C1=O)C1=C([H])N(C2=C1C([H])=C([H])C([H])=C2[H])C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]	7300
[H]N1C([H])=C(C2=C1C([H])=C([H])C([H])=C2[H])C1=C(C(=O)N([H])C1=O)C1=C([H])N([H])C2=C1C([H])=C([H])C([H])=C2[H]	4700
[H]OC([H])([H])C([H])([H])[C@]([H])(OC([H])([H])C([H])([H])N1C([H])=C(C2=C([H])C([H])=C([H])C([H])=C12)C1=C(C(=O)N([H])C1=O)C1=C([H])N([H])C2=C1C(F)=C([H])C([H])=C2[H])[C@@]1([H])O[C@]2(OC1([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H]	2500
[H]OC([H])([H])C([H])([H])[C@]([H])(OC([H])([H])C([H])([H])N1C([H])=C(C2=C([H])C([H])=C([H])C([H])=C12)C1=C(C(=O)N([H])C1=O)C1=C([H])N([H])C2=C1C([H])=C([H])C([H])=C2[H])[C@]1([H])O[C@]2(OC1([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H]	2800
[H]N(C(=O)C(\C#N)=C(/[H])C1=C([H])C([H])=C(O1)C1=C([H])C([H])=C([H])C([H])=C1Cl)C1=C2C([H])=C([H])C([H])=NC2=C([H])C([H])=C1[H]	5500
[H]N(C(=O)C(\C#N)=C(/[H])C1=C([H])C([H])=C(O1)C1=C([H])C(Cl)=C([H])C([H])=C1Cl)C1=C2C([H])=C([H])C([H])=NC2=C([H])C([H])=C1[H]	3500
[H]N(C(=O)C(\C#N)=C(/[H])C1=C([H])C([H])=C(O1)C1=C([H])C([H])=C([H])C(=C1[H])C(F)(F)F)C1=C2C([H])=C([H])C([H])=NC2=C([H])C([H])=C1[H]	6000
[H]OC(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])[H])C([H])([H])C1=C([H])N=C([H])N1[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=S)C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])SC([H])([H])[H]	6400
[H]OC(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])[H])C([H])([H])O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=S)C([H])([H])[H])[C@]([H])(O[H])C([H])([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]	6200
[H]OC(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])[H])C([H])([H])C1=C([H])N=C([H])N1[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=S)C([H])([H])[H])[C@]([H])(O[H])C([H])([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]	7600
[H]C1=C([H])C(Cl)=C(C([H])=C1[H])C(=O)[C@]1([H])C(=O)OC2=C(C3=C([H])C([H])=C([H])C([H])=C3C([H])=C2[H])C1([H])[H]	9400
CC(C)CC(=S)NCCCC[C@H](NC(=O)[C@H](C)NC(C)=O)C(=O)N[C@@H](C)C(O)=O	3600
CC(=[Se])NCCCC[C@H](NC(=O)OCC1=CC=CC=C1)C(=O)NC1=CC=CC=C1	2700
C[C@H](NC(=O)[C@H](CCCCNC(C)=[Se])NC(=O)[C@H](C)NC(C)=O)C(O)=O	7200
C[C@H](NC(=O)[C@H](CCCCNC(C)=S)NC(=O)[C@H](C)NC(C)=O)C(O)=O	9800
[H]N([H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1N([H])C1=C([H])C([H])=C([H])C(OC([H])([H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])=C1[H]	1000
[H]N([H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1N([H])C1=C([H])C([H])=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])=C1[H]	4300
[H]N([H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1N([H])C1=C([H])C([H])=C([H])C(OC([H])([H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])([H])[H])=C1[H]	1800
[H]N([H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1N([H])C1=C([H])C([H])=C([H])C(OC([H])([H])C([H])([H])C2=C([H])C([H])=C([H])C(=C2[H])C([H])([H])[H])=C1[H]	1800
[H]N([H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1N([H])C1=C([H])C([H])=C([H])C(OC([H])([H])C([H])([H])C2=C([H])C([H])=C(C([H])=C2[H])C([H])([H])[H])=C1[H]	1600
[H]N([H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1N([H])C1=C([H])C([H])=C([H])C(OC([H])([H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2C(F)(F)F)=C1[H]	3100
[H]N([H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1N([H])C1=C([H])C([H])=C([H])C(OC([H])([H])C([H])([H])C2=C([H])C([H])=C([H])C(=C2[H])C(F)(F)F)=C1[H]	2100
[H]N([H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1N([H])C1=C([H])C([H])=C([H])C(OC([H])([H])C([H])([H])C2=C([H])C([H])=C(C([H])=C2[H])C(F)(F)F)=C1[H]	1400
[H]N([H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1N([H])C1=C([H])C([H])=C([H])C(OC([H])([H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2F)=C1[H]	2000
[H]N([H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1N([H])C1=C([H])C([H])=C([H])C(OC([H])([H])C([H])([H])C2=C([H])C([H])=C([H])C(F)=C2[H])=C1[H]	570
[H]N([H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1N([H])C1=C([H])C([H])=C([H])C(OC([H])([H])C([H])([H])C2=C([H])C([H])=C(F)C([H])=C2[H])=C1[H]	2700
[H]N([H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1N([H])C1=C([H])C([H])=C([H])C(OC([H])([H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2Cl)=C1[H]	1500
[H]N([H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1N([H])C1=C([H])C([H])=C([H])C(OC([H])([H])C([H])([H])C2=C([H])C([H])=C([H])C(Cl)=C2[H])=C1[H]	2000
[H]N([H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1N([H])C1=C([H])C([H])=C([H])C(OC([H])([H])C([H])([H])C2=C([H])C([H])=C(Cl)C([H])=C2[H])=C1[H]	830
[H]N([H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1N([H])C1=C([H])C([H])=C([H])C(OC([H])([H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2Br)=C1[H]	1100
[H]N([H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1N([H])C1=C([H])C([H])=C([H])C(OC([H])([H])C([H])([H])C2=C([H])C([H])=C([H])C(Br)=C2[H])=C1[H]	3400
[H]N([H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1N([H])C1=C([H])C([H])=C([H])C(OC([H])([H])C([H])([H])C2=C([H])C([H])=C(Br)C([H])=C2[H])=C1[H]	1200
[H]N(C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=S)C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]	2900
[H]OC(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=S)C([H])([H])[H])C([H])([H])[H]	6500
[H]OC1=C(N([H])C(=O)[C@@]([H])(N([H])C(=O)OC([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=S)C([H])([H])[H])C([H])=C([H])C([H])=C1[H]	7400
[H]N(C(=S)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(N([H])C(=O)OC([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C(=O)N([H])C([H])([H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1[H]	4300
[H]OC(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=S)C([H])([H])[H])C([H])([H])[H]	2000
[H]N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=S)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])[H]	2900
[H]N1C(=S)N(C2=C1C([H])=C(C([H])=C2[H])[N+]([O-])=O)C([H])([H])C([H])([H])[N+]([H])([H])[H]	5000
[H]C1=C([H])C2=C([H])C(=C([H])C([H])=C2C2=C1OC(=O)C([H])([H])[C@]2([H])C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[H])C([H])([H])[H]	1000
[H]N1C(=S)N([H])C(=O)C(=C([H])C2=C([H])C([H])=C(C([H])=C2[H])C2=C([H])C([H])=C([H])C([H])=C2[H])C1=O	8700
