smile	binding.affinity
[H]N([H])C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)N([H])[H]	32
[H]N([H])S(=O)(=O)C1=C([H])C([H])=C(C([H])=C1[H])N1N=C([H])C2=C1C1=C([H])C([H])=C(N=C1SC2([H])[H])C([H])([H])[H]	4630
[H]N([H])S(=O)(=O)C1=C([H])C([H])=C(C([H])=C1[H])N1N=C([H])C2=C1C1=C([H])C([H])=C([H])N=C1SC2([H])[H]	4300
[H]N([H])S(=O)(=O)C1=C([H])C([H])=C(C([H])=C1[H])N1N=C([H])C2=C1C1=C([H])C([H])=C(C([H])=C1SC2([H])[H])C(F)(F)F	714
[H]N([H])S(=O)(=O)C1=NN=C(S1)N([H])C(=O)C([H])([H])[H]	33.5
[H]N([H])S(=O)(=O)OC([H])([H])[C@]12OC(O[C@@]1([H])[C@]1([H])OC(O[C@]1([H])C([H])([H])O2)(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]	47
[H]N([H])S(=O)(=O)C([H])([H])C1=NOC2=C([H])C([H])=C([H])C([H])=C12	430
[H]O[C@]([H])(C1=C(OC([H])([H])[H])C([H])=C2OC(=O)C([H])=C([H])C2=C1[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]	7860
[H]N(C(=O)[C@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])OC([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	1210
[H]N([H])S(=O)(=O)C1=C([H])C([H])=C(N([H])C2=NC([H])=NC(Cl)=C2[N+]([O-])=O)C([H])=C1[H]	8
[H]N([H])S(=O)(=O)C1=C([H])C([H])=C(N([H])C2=NC(SC([H])([H])[H])=NC(Cl)=C2C#N)C([H])=C1[H]	105.5
[H]N([H])S(=O)(=O)C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])N([H])C1=NC(SC([H])([H])[H])=NC(Cl)=C1C#N	140
[H]N([H])S(=O)(=O)C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C([H])([H])N([H])C1=NC(SC([H])([H])[H])=NC(Cl)=C1C#N	100
[H]N([H])S(=O)(=O)C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])N([H])C1=NC(SC([H])([H])[H])=NC(Cl)=C1C([H])=O	79
[H]N([H])S(=O)(=O)C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C([H])([H])N([H])C1=NC(SC([H])([H])[H])=NC(Cl)=C1C([H])=O	111
[H]N([H])S(=O)(=O)C1=C([H])C([H])=C(N([H])C2=NC([H])=NC(N([H])C([H])([H])C3=C([H])C([H])=C([H])C([H])=C3[H])=C2[N+]([O-])=O)C([H])=C1[H]	500
[H]N([H])S(=O)(=O)C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])N([H])C1=NC([H])=NC(N([H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])=C1[N+]([O-])=O	330
