smile	binding.affinity
[H]OC1=C([H])C([H])=C(C([H])=C1OC([H])([H])[H])C([H])([H])C(=O)OC([H])([H])C1=C([H])[C@@]2([H])[C@@]3([H])[C@@](OC(=O)C([H])([H])[H])([C@]([H])(OC(=O)C([H])([H])C4=C([H])C([H])=C([H])C([H])=C4[H])[C@@]([H])(C([H])([H])[H])[C@]2(O[H])[C@]2([H])C([H])=C(C(=O)[C@@]2(O[H])C1([H])[H])C([H])([H])[H])C3(C([H])([H])[H])C([H])([H])[H]	1050.225
[H]OC1=C([H])C(I)=C(C([H])=C1OC([H])([H])[H])C([H])([H])C(=O)OC([H])([H])C1=C([H])[C@@]2([H])[C@@]3([H])O[C@@]4(O[C@@]3(C(=C([H])[H])C([H])([H])[H])C([H])([H])[C@@]([H])(C([H])([H])[H])[C@]2(O4)[C@]2([H])C([H])=C(C(=O)[C@@]2(O[H])C1([H])[H])C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	65.355
[H]O[C@@]12C(=O)C(=C([H])[C@@]1([H])[C@]13O[C@@]4(O[C@]([H])([C@]1([H])C([H])=C(C([H])([H])OC(=O)C([H])([H])C1=C(I)C([H])=C(OC(=O)C([H])([H])[H])C(OC([H])([H])[H])=C1[H])C2([H])[H])[C@](O4)(C(=C([H])[H])C([H])([H])[H])C([H])([H])[C@@]3([H])C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])[H]	468.23
[H]OC1=C([H])C([H])=C(C(I)=C1OC([H])([H])[H])C([H])([H])C(=O)OC([H])([H])C1=C([H])[C@@]2([H])[C@@]3([H])O[C@@]4(O[C@@]3(C(=C([H])[H])C([H])([H])[H])C([H])([H])[C@@]([H])(C([H])([H])[H])[C@]2(O4)[C@]2([H])C([H])=C(C(=O)[C@@]2(O[H])C1([H])[H])C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	14.2
[H]OC1=C(OC([H])([H])[H])C([H])=C(C([H])=C1[H])C([H])([H])C(=O)OC([H])([H])C1=C([H])C2([H])C3([H])OC4(OC3(C(=C([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C2(O4)C2([H])C([H])=C(C(=O)C2(O[H])C1([H])[H])C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	0.2495
[H]OC1=C(OC([H])([H])[H])C([H])=C(C([H])=C1[H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(/[H])C([H])(C([H])([H])[H])C([H])([H])[H]	40
[H]O[C@@]12C(=O)C(=C([H])[C@@]1([H])[C@]1(OC([H])([H])C3=C([H])C([H])=C([H])C([H])=C3[H])[C@@]([H])(C([H])=C(C([H])([H])OC(=O)C3=C([H])C([H])=C([H])C([H])=C3[H])C2([H])[H])[C@@]2([H])OC([H])([H])O[C@@]2(C(=C([H])[H])C([H])([H])[H])C([H])([H])[C@@]1([H])C([H])([H])[H])C([H])([H])[H]	25.5
[H]O[C@@]12C(=O)C(=C([H])[C@@]1([H])[C@]1(OC([H])([H])C3=C([H])C([H])=C([H])C([H])=C3[H])[C@@]([H])(C([H])=C(C([H])([H])OC(=O)C(\[H])=C(/[H])C3=C([H])C([H])=C([H])C([H])=C3[H])C2([H])[H])[C@@]2([H])OC([H])([H])O[C@@]2(C(=C([H])[H])C([H])([H])[H])C([H])([H])[C@@]1([H])C([H])([H])[H])C([H])([H])[H]	69.5
[H]OC1=C([H])C(I)=C(C([H])=C1OC([H])([H])[H])C(=O)OC([H])([H])C1=C([H])[C@@]2([H])[C@@]3([H])OC([H])([H])O[C@@]3(C(=C([H])[H])C([H])([H])[H])C([H])([H])[C@@]([H])(C([H])([H])[H])[C@]2(OC([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])[C@]2([H])C([H])=C(C(=O)[C@@]2(O[H])C1([H])[H])C([H])([H])[H]	15.2
[H]OC1=C([H])C([H])=C(C([H])=C1OC([H])([H])[H])C(=O)OC([H])([H])C1=C([H])[C@@]2([H])[C@@]3([H])OC([H])([H])O[C@@]3(C(=C([H])[H])C([H])([H])[H])C([H])([H])[C@@]([H])(C([H])([H])[H])[C@]2(OC([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])[C@]2([H])C([H])=C(C(=O)[C@@]2(O[H])C1([H])[H])C([H])([H])[H]	9.4
