smile	binding.affinity
[H]N(C(=O)[C@]([H])(OC1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H]	3300
[H]N1C(=O)C(=O)N([H])C2=C([H])C(OC3=C([H])C4=C(N([H])C(=O)C(=O)N4[H])C([H])=C3[H])=C([H])C([H])=C12	5900
[H]N1C(=O)C(=C(C(=O)OC([H])([H])[H])C2=C1C([H])=C([H])C([H])=C2[H])C([H])([H])[H]	1600
[H]N(C(=O)C([H])([H])C1=C([H])C([H])=C([H])C2=C1C([H])=C([H])C([H])=C2[H])C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H]	1600
[H]N(C(=O)C([H])([H])N1C(=NC2=C1C([H])=C([H])C([H])=C2[H])C1=C([H])SC([H])=N1)C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H]	1200
[H]N(C(=O)C([H])([H])C1=NN(C(=O)C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])[H])C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H]	1000
[H]N(C(=O)C([H])([H])SC1=NC2=C(SC([H])=C2[H])C(=O)N1C([H])([H])C([H])([H])[H])C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H]	1400
[H]N([H])C1=C([H])C([H])=C(C([H])=C1[H])C(=O)OC([H])([H])C1=NC2=C([H])C3=C(C([H])=C([H])C([H])=C3[H])C([H])=C2N1[H]	100
[H]N([H])C1=C([H])C([H])=C(C([H])=C1[H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C1=NC2=C([H])C3=C(C([H])=C([H])C([H])=C3[H])C([H])=C2N1[H]	900
[H]N(C(=O)C([H])([H])N1C(=NC2=C1C([H])=C([H])C([H])=C2[H])C1=C([H])C([H])=C([H])C([H])=N1)C1=C([H])C2=C(C([H])=C([H])C([H])=C2[H])C([H])=C1[H]	8
[H]C1=C(N=NN1C1=C([H])C([H])=C(C#N)C(Cl)=C1[H])[C@@]([H])(OC1=C([H])C([H])=NC2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])[H]	850
[H]C1=C(N=NN1C1=C([H])C([H])=C(Cl)C([H])=C1[H])[C@@]([H])(OC1=C([H])C([H])=C(Cl)C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])[H]	1993.5
[H]N(C(=O)[C@]([H])(OC1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C1=C([H])C([H])=C([H])C([H])=C1[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H]	5000
[H]N(C(=O)[C@]([H])(OC1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C1([H])C([H])([H])C1([H])[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H]	5000
[H]C1=C(N=NN1C1=C([H])C([H])=C(Cl)C([H])=C1[H])[C@@]([H])(OC1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])(C([H])([H])[H])C([H])([H])[H]	5000
[H]C1=C(N=NN1C1=C([H])C([H])=C([H])C([H])=C1Cl)[C@@]([H])(OC1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])[H]	5000
[H]C1=C(N=NN1C1=C([H])C([H])=C(Cl)C(Cl)=C1[H])[C@]([H])(OC1=C([H])C([H])=NC2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])[H]	390
[H]C1=C(N=NN1C1=C([H])C([H])=C(Cl)C([H])=C1[H])[C@]([H])(OC1=C([H])C([H])=C([H])C2=NC([H])=C([H])C([H])=C12)C([H])([H])[H]	19.5
[H]C1=C(N=NN1C1=C([H])C([H])=C(Cl)C([H])=C1[H])[C@]([H])(OC1=C([H])C([H])=[N+]([O-])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])[H]	39.5
[H]C1=C(N=NN1C1=C([H])C([H])=C(Cl)C(Cl)=C1[H])[C@]([H])(OC1=C([H])C([H])=[N+]([O-])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])[H]	30
[H]C1=C(N=NN1C1=C([H])C([H])=C(Cl)C([H])=C1[H])[C@@]([H])(OC1=C([H])C([H])=NC2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])[H]	127
[H]C1=C(N=NN1C1=C([H])C([H])=C(Cl)C([H])=C1[H])[C@]([H])(OC1=C([H])C([H])=C([H])C2=[N+]([O-])C([H])=C([H])C([H])=C12)C([H])([H])[H]	48
[H]C1=C(N=NN1C1=C([H])C([H])=C(Cl)C([H])=C1[H])[C@@]([H])(OC1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])[H]	455
[H]C1=C(N=NN1C1=C([H])C([H])=C(C#N)C([H])=C1[H])[C@]([H])(OC1=C([H])C([H])=NC2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])[H]	240
[H]C1=C(N=NN1C1=C([H])C([H])=C(Cl)C([H])=C1[H])C([H])([H])OC1=C([H])C([H])=NC2=C([H])C([H])=C([H])C([H])=C12	460
[H]N(C(=O)[C@]([H])(OC1=C([H])C([H])=NC2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H]	760
[H]N(C(=O)[C@]([H])(OC1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])(C([H])([H])[H])C([H])([H])[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H]	770
[H]N(C(=O)[C@]([H])(OC1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H]	1350
[H]N(C(=O)C([H])([H])N1C(=NC2=C([H])C([H])=C([H])C([H])=C12)C1=C([H])C([H])=C(F)C([H])=C1[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H]	1085
[H]N(C(=O)C([H])([H])N1C(=NC2=C([H])C([H])=C([H])C([H])=C12)C1=C([H])SC([H])=N1)C1=C([H])C([H])=C([H])C(Cl)=C1[H]	960
[H]N(C(=O)C([H])([H])N1C(=NC2=C([H])C([H])=C([H])C([H])=C12)C1=C([H])SC([H])=N1)C1=C([H])C([H])=C2C([H])=C([H])C([H])=C([H])C2=C1[H]	13.5
[H]N(C(=O)C([H])([H])N1C(=NC2=C([H])C([H])=C([H])C([H])=C12)C1=NC([H])=C([H])S1)C1=C([H])C([H])=C2C([H])=C([H])C([H])=C([H])C2=C1[H]	14
[H]N(C(=O)C([H])([H])N1C(=NC2=C([H])C([H])=C([H])C([H])=C12)C1=NC([H])=C([H])S1)C1=C([H])C([H])=C(Cl)C(Cl)=C1[H]	34
[H]N(C(=O)C([H])([H])N1C(=NC2=C([H])C([H])=C([H])C([H])=C12)C1=C([H])C([H])=C([H])S1)C1=C([H])C([H])=C(Cl)C([H])=C1[H]	40
