smile	binding.affinity
[H]OC(=O)C1=C(N([H])C(=O)C([H])([H])C([H])([H])C2=C([H])C([H])=C(C([H])=C2[H])C2=NC([H])=C([H])C([H])=C2[H])C([H])=C([H])C([H])=C1[H]	545
[H]OC(=O)C1=C(N([H])C(=O)C([H])([H])C([H])([H])C2=C([H])C([H])=C(C([H])=C2[H])C2=NC([H])=C(O[H])C([H])=C2[H])C([H])=C([H])C([H])=C1[H]	47.5
[H]OC(=O)C1=C([H])C([H])=C([H])N=C1[H]	140
[H]OC(=O)C1=C(N([H])C(=O)C([H])([H])OC2=C([H])C([H])=C(OC([H])([H])[H])C([H])=C2[H])C([H])=C([H])C([H])=C1[H]	5875
[H]OC(=O)C1=C(N([H])C(=O)C([H])([H])C([H])([H])C2=C([H])C([H])=C(C([H])=C2[H])C2=C(Cl)C([H])=C(O[H])C([H])=C2[H])C([H])=C([H])C([H])=C1[H]	24.5
[H]OC(=O)C1=C(N([H])C(=O)C([H])([H])C([H])([H])C2=C([H])C([H])=C(C([H])=C2[H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C([H])C([H])=C1[H]	342
[H]OC(=O)C1=C(N([H])C(=O)C([H])([H])C([H])([H])C2=C([H])C3=C(C([H])=C([H])C([H])=C3[H])C([H])=C2[H])C([H])=C([H])C([H])=C1[H]	555
[H]OC(=O)C1=C(N([H])C(=O)C([H])([H])C([H])([H])C2=C([H])C([H])=C(C([H])=C2[H])C2=C([H])C([H])=C([H])N2[H])C([H])=C([H])C([H])=C1[H]	1225
[H]OC(=O)C1=C(N([H])C(=O)C([H])([H])C([H])([H])C2=C([H])C([H])=C(S2)C2=C(Cl)C([H])=C(O[H])C([H])=C2[H])C([H])=C([H])C([H])=C1[H]	42.5
[H]OC(=O)C1=C(N([H])C(=O)C([H])([H])C([H])([H])C2=C([H])N=C(S2)C2=C(Cl)C([H])=C(O[H])C([H])=C2[H])C([H])=C([H])C([H])=C1[H]	3.5
[H]OC(=O)C1=C(N([H])C(=O)C([H])([H])C([H])([H])C2=C(N(N=C2[H])C2=C([H])C([H])=C(O[H])C([H])=C2[H])C([H])([H])[H])C([H])=C([H])C([H])=C1[H]	58.5
[H]OC(=O)C1=C(N([H])C(=O)C([H])([H])C([H])([H])C2=NC(=NO2)C2=C([H])C([H])=C(O[H])C([H])=C2[H])C([H])=C([H])C([H])=C1[H]	65
[H]OC(=O)C1=C(N([H])C(=O)C([H])([H])C([H])([H])C2=C([H])N=C(S2)N2N=C([H])C(O[H])=C2[H])C([H])=C([H])C([H])=C1[H]	130
[H]OC(=O)C1=C(N([H])C(=O)C([H])([H])C([H])([H])C2=C([H])N=C(S2)C2=NC([H])=C(O[H])C([H])=C2[H])C([H])=C([H])C([H])=C1[H]	228
[H]OC(=O)C1=C(N([H])C(=O)C([H])([H])C([H])([H])C2=NC([H])=C(S2)C2=NC([H])=C(O[H])C([H])=C2[H])C([H])=C([H])C([H])=C1[H]	490.5
[H]OC(=O)C1=C(N([H])C(=O)C([H])([H])C([H])([H])C2=NN(C([H])=C2[H])C2=NC([H])=C(O[H])C([H])=C2[H])C([H])=C([H])C([H])=C1[H]	679
[H]OC(=O)C1=C(N([H])C(=O)C([H])([H])C([H])([H])C2=NC(=NO2)C2=NC([H])=C(O[H])C([H])=C2[H])C([H])=C([H])C([H])=C1[H]	27
[H]OC(=O)C1=C([H])C(=O)[C@](O1)(C1=C([H])C(Br)=C([H])C([H])=C1[H])C([H])([H])[H]	570
[H]OC(=O)C1=C([H])C(=O)[C@](O1)(C1=C([H])C([H])=C(Cl)S1)C([H])([H])[H]	2100
[H]OC(=O)C1=C([H])C(=O)[C@](O1)(C1=C([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[H]	2000
[H]OC(=O)C1=C([H])C(=O)[C@](O1)(C1=C([H])SC(=C1[H])C([H])([H])[H])C([H])([H])[H]	370
[H]OC(=O)C1=C([H])C(=O)[C@](O1)(C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])[H]	900
[H]OC(=O)C1=C([H])C(=O)[C@](O1)(C1=C([H])C(=C([H])C([H])=C1[H])C(F)(F)F)C([H])([H])[H]	4200
[H]OC(=O)C1=C([H])C(=O)[C@@](O1)(C1=C([H])SC([H])=C1[H])C([H])([H])[H]	2400
[H]OC(=O)C1=C([H])C(=O)[C@](O1)(C1=C([H])C(Br)=C([H])S1)C([H])([H])[H]	740
[H]OC(=O)C1=C([H])C(=O)[C@](O1)(C1=C([H])C([H])=C([H])S1)C([H])([H])[H]	5000
[H]OC(=O)C1=C([H])C(=O)[C@](O1)(C1=C([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[H]	2500
[H]OC(=O)C1=C([H])C(=O)[C@](O1)(C1=C([H])SC(Br)=C1[H])C([H])([H])[H]	110
[H]OC(=O)C1=C([H])C(=O)[C@](O1)(C1=C([H])SC(Cl)=C1[H])C([H])([H])[H]	200
[H]OC(=O)C1=C([H])C(=O)[C@](O1)(C1=C([H])C(I)=C([H])C([H])=C1[H])C([H])([H])[H]	430
[H]OC(=O)C1=C([H])C(=O)[C@](O1)(C1=C([H])C([H])=C(S1)C([H])([H])[H])C([H])([H])[H]	480
