smile	binding.affinity
[H]N(C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)C([H])([H])[H])C1=C(C(=NC([H])=N1)N1C([H])([H])C([H])([H])C([H])(C2=NC(=NO2)C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H])[N+]([O-])=O	5.8
[H]C1=NC(OC2=C([H])C([H])=C(Br)C([H])=C2[H])=C(C(=N1)N1C([H])([H])C([H])([H])C([H])(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H])[N+]([O-])=O	50
[H]C1=NC(OC2=C([H])C([H])=C(C([H])=C2[H])C(=O)C([H])([H])C(=O)OC([H])([H])[H])=C(C(=N1)N1C([H])([H])C([H])([H])C([H])(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H])[N+]([O-])=O	1000
[H]N(C1=C(C(=NC([H])=N1)N1C([H])([H])C([H])([H])C([H])(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H])[N+]([O-])=O)C1=C([H])C([H])=C(C([H])=C1[H])N1N=C([H])N=C1[H]	400
[H]N(C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)C([H])([H])[H])C1=C(C(=NC([H])=N1)N1C([H])([H])C([H])([H])C([H])(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H])[N+]([O-])=O	1200
[H]C1=NN(C([H])=N1)C1=C([H])C([H])=C(OC2=C(C(=NC([H])=N2)N2C([H])([H])C([H])([H])C([H])(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])C2([H])[H])[N+]([O-])=O)C([H])=C1[H]	2500
[H]N(C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)C([H])(C([H])([H])[H])C([H])([H])[H])C1=C(C(=NC([H])=N1)N1C([H])([H])C([H])([H])C([H])(C2=NC(=NO2)C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H])[N+]([O-])=O	12.4
[H]N(C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)C([H])([H])C([H])([H])C([H])([H])[H])C1=C(C(=NC([H])=N1)N1C([H])([H])C([H])([H])C([H])(C2=NC(=NO2)C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H])[N+]([O-])=O	4.7
[H]N(C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)C([H])([H])[H])C1=C(C(=NC([H])=N1)N1C([H])([H])C([H])([H])C([H])(C2=NC(=NO2)C2=C([H])C(=C([H])C([H])=C2[H])C(F)(F)F)C([H])([H])C1([H])[H])[N+]([O-])=O	24
[H]N(C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)C([H])([H])[H])C1=C(C(=NC([H])=N1)N1C([H])([H])C([H])([H])C([H])(C2=NC(=NO2)C2=C([H])C([H])=C([H])N=C2[H])C([H])([H])C1([H])[H])[N+]([O-])=O	660
[H]N(C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)C([H])([H])[H])C1=C(C(=NC([H])=N1)N1C([H])([H])C([H])([H])C([H])(C2=NC(=NO2)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H])[N+]([O-])=O	1.5
[H]N(C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)C([H])([H])[H])C1=C(C(=NC([H])=N1)N1C([H])([H])C([H])([H])C([H])(C2=NC(=NO2)C([H])([H])C2([H])C([H])([H])C2([H])[H])C([H])([H])C1([H])[H])[N+]([O-])=O	160
[H]N(C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)C([H])([H])[H])C1=C(C(=NC([H])=N1)N1C([H])([H])C([H])([H])C([H])(C2=NC(=NO2)C2([H])C([H])([H])C2([H])[H])C([H])([H])C1([H])[H])[N+]([O-])=O	227.5
[H]N([H])S(=O)(=O)C1=C([H])C([H])=C(OC2=C(C(=NC([H])=N2)N2C([H])([H])C([H])([H])C([H])(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])C2([H])[H])[N+]([O-])=O)C([H])=C1[H]	3000
[H]C1=NC(OC2=C([H])C([H])=C(C([H])=C2[H])S(=O)(=O)C([H])([H])[H])=C(C(=N1)N1C([H])([H])C([H])([H])C([H])(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H])[N+]([O-])=O	1900
[H]C1=NC(OC2=C([H])C([H])=C(C([H])=C2[H])C([H])([H])C([H])([H])C(=O)C([H])([H])[H])=C(C(=N1)N1C([H])([H])C([H])([H])C([H])(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H])[N+]([O-])=O	1700
[H]C1=NC(OC2=C([H])C([H])=C(OC([H])([H])C([H])([H])OC([H])([H])[H])C([H])=C2[H])=C(C(=N1)N1C([H])([H])C([H])([H])C([H])(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H])[N+]([O-])=O	500
[H]C1=C(OC2=C(C(=NC([H])=N2)N2C([H])([H])C([H])([H])C([H])(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])C2([H])[H])[N+]([O-])=O)N(N=C1C(F)(F)F)C([H])([H])[H]	84
[H]N(C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)C([H])([H])[H])C1=C(C(=NC([H])=N1)N1C([H])([H])C([H])([H])C([H])(C2=NC(=NO2)C([H])([H])[H])C([H])([H])C1([H])[H])[N+]([O-])=O	260
[H]N(C1=C(C(=NC([H])=N1)N1C([H])([H])C([H])([H])C([H])(C2=NC(=NO2)C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H])[N+]([O-])=O)C1=C(F)C([H])=C(C([H])=C1[H])S(=O)(=O)C([H])(C([H])([H])[H])C([H])([H])[H]	7.45
[H]N(C1=C(C(=NC([H])=N1)N1C([H])([H])C([H])([H])C([H])(C2=NC(=NO2)C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H])[N+]([O-])=O)C1=C(F)C([H])=C(C([H])=C1[H])S(=O)(=O)C([H])([H])[H]	0.665
[H]N(C1=C([H])C(F)=C(C([H])=C1[H])S(=O)(=O)C([H])([H])[H])C1=C(C(=NC([H])=N1)N1C([H])([H])C([H])([H])C([H])(C2=NC(=NO2)C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H])[N+]([O-])=O	3.4
[H]N(C1=C([H])C([H])=C(SC([H])([H])C([H])([H])[H])C([H])=C1[H])C1=C(C(=NC([H])=N1)N1C([H])([H])C([H])([H])C([H])(C2=NC(=NO2)C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H])[N+]([O-])=O	110
