smile	binding.affinity
[H]OC(=O)C([H])([H])C([H])([H])C#CC1=C([H])C([H])=C2N(C3=C(C([H])=C([H])C([H])=C3[H])C([H])=C([H])C2=C1[H])C([H])([H])C1=NC2=C(N=C(N=C2N=C1[H])N([H])[H])N([H])[H]	560
[H]N([H])C1=NC(N([H])[H])=C2C(N=C([H])C(=C2C([H])([H])[H])C([H])([H])C2=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])[H])=C([H])C([H])=C2OC([H])([H])[H])=N1	14
[H]N([H])C1=NC(N([H])[H])=C2C(N=C([H])C(=C2C([H])([H])[H])C([H])([H])C2=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])[H])=C([H])C([H])=C2OC([H])([H])[H])=N1	21
[H]N([H])C1=NC(N([H])[H])=C2C(N=C([H])C(=C2C([H])([H])[H])C([H])([H])C2=C([H])C(OC([H])([H])[H])=C([H])C([H])=C2OC([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])=N1	170
[H]N([H])C1=NC(N([H])[H])=C2C(N=C([H])C(=C2C([H])([H])[H])C([H])([H])C2=C([H])C(OC([H])([H])[H])=C([H])C([H])=C2OC([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])[H])=N1	93
[H]N([H])C1=NC(N([H])[H])=C2C(N=C([H])C(=C2C([H])([H])[H])C([H])([H])C2=C([H])C(I)=C([H])C([H])=C2OC([H])([H])[H])=N1	5
[H]N([H])C1=NC(N([H])[H])=C2C(N=C([H])C(=C2C([H])([H])[H])C([H])([H])C2=C([H])C(OC([H])([H])[H])=C([H])C([H])=C2I)=N1	4
[H]N([H])C1=NC(N([H])[H])=C2C(N=C([H])C(=C2C([H])([H])[H])C([H])([H])C2=C([H])C(OC([H])([H])[H])=C([H])C([H])=C2OC([H])([H])[H])=N1	1.5
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])OC1=C([H])C([H])=C(OC([H])([H])[H])C(=C1[H])C([H])([H])C1=C(C2=C(N=C(N=C2N=C1[H])N([H])[H])N([H])[H])C([H])([H])[H]	2.2
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC1=C([H])C([H])=C(OC([H])([H])[H])C(=C1[H])C([H])([H])C1=C(C2=C(N=C(N=C2N=C1[H])N([H])[H])N([H])[H])C([H])([H])[H]	2.2
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC1=C([H])C([H])=C(OC([H])([H])[H])C(=C1[H])C([H])([H])C1=C(C2=C(N=C(N=C2N=C1[H])N([H])[H])N([H])[H])C([H])([H])[H]	2
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])OC1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1C([H])([H])C1=C(C2=C(N=C(N=C2N=C1[H])N([H])[H])N([H])[H])C([H])([H])[H]	9.1
[H]OC(=O)C([H])([H])C#CC1=C([H])C([H])=C2N(C3=C(C([H])=C([H])C([H])=C3[H])C([H])=C([H])C2=C1[H])C([H])([H])C1=NC2=C(N=C(N=C2N=C1[H])N([H])[H])N([H])[H]	740
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C#CC1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1C([H])([H])C1=C(C2=C(N=C(N=C2N=C1[H])N([H])[H])N([H])[H])C([H])([H])[H]	24
[H]OC(=O)C([H])([H])C([H])([H])C#CC1=C(Br)C(OC([H])([H])[H])=C([H])C(=C1[H])C([H])([H])C1=C(N=C(N=C1[H])N([H])[H])N([H])[H]	630
[H]N([H])C1=NC(N([H])[H])=C2C(N=C([H])C(=C2C([H])([H])[H])C([H])([H])C2=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])[H])=C([H])C([H])=C2OC([H])([H])[H])=N1	4.2
[H]N([H])C1=NC2=C(C(=C(SC3=C([H])C([H])=C(Cl)C([H])=C3[H])N2[H])C([H])([H])C([H])([H])[H])C(=N1)N([H])[H]	5480
[H]OC(=O)C([H])([H])C([H])([H])C#CC1=C([H])C([H])=C(OC([H])([H])[H])C(=C1[H])C([H])([H])C1=C(C2=C(N=C(N=C2N=C1[H])N([H])[H])N([H])[H])C([H])([H])[H]	0.32
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C#CC1=C([H])C([H])=C(OC([H])([H])[H])C(=C1[H])C([H])([H])C1=C(C2=C(N=C(N=C2N=C1[H])N([H])[H])N([H])[H])C([H])([H])[H]	5.7
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C#CC1=C([H])C([H])=C(OC([H])([H])[H])C(=C1[H])C([H])([H])C1=C(C2=C(N=C(N=C2N=C1[H])N([H])[H])N([H])[H])C([H])([H])[H]	4
[H]N([H])C1=NC2=C(C(=C(SC3=C(OC([H])([H])[H])C([H])=C([H])C(OC([H])([H])[H])=C3[H])N2[H])C([H])([H])C([H])([H])[H])C(=N1)N([H])[H]	4050
[H]N([H])C1=NC2=C(C(=C(SC3=C([H])C4=C(C([H])=C([H])C([H])=C4[H])C([H])=C3[H])N2[H])C([H])([H])[H])C(=N1)N([H])[H]	4570
[H]N([H])C1=NC2=C(C(=C(SC3=C([H])C([H])=C(C([H])=C3[H])[N+]([O-])=O)N2[H])C([H])([H])C([H])([H])[H])C(=N1)N([H])[H]	3200
[H]N([H])C1=NC2=C(C(=C(SC3=C([H])C([H])=C([H])C(Cl)=C3[H])N2[H])C([H])([H])C([H])([H])[H])C(=N1)N([H])[H]	6330
[H]OC(=O)C([H])([H])C([H])([H])C#CC1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1C([H])([H])C1=C(C2=C(N=C(N=C2N=C1[H])N([H])[H])N([H])[H])C([H])([H])[H]	55
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C#CC1=C([H])C([H])=C2N(C3=C(C([H])=C([H])C([H])=C3[H])C([H])=C([H])C2=C1[H])C([H])([H])C1=NC2=C(N=C(N=C2N=C1[H])N([H])[H])N([H])[H]	1300
[H]N([H])C1=NC2=C(C(=C(SC3=C(Cl)C([H])=C(Cl)C([H])=C3[H])N2[H])C([H])([H])C([H])([H])[H])C(=N1)N([H])[H]	1170
[H]N([H])C1=NC2=C(C(=C(SC3=C(Cl)C([H])=C([H])C([H])=C3Cl)N2[H])C([H])([H])C([H])([H])[H])C(=N1)N([H])[H]	4000
[H]N([H])C1=NC2=C(C(=C(SC3=C(OC([H])([H])[H])C([H])=C([H])C(OC([H])([H])[H])=C3[H])N2[H])C([H])([H])[H])C(=N1)N([H])[H]	7800
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C#CC1=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C(=C1[H])C([H])([H])C1=C(N=C(N=C1[H])N([H])[H])N([H])[H]	5000
[H]N([H])C1=NC2=C(C(=C(SC3=C([H])C([H])=C([H])C([H])=C3[H])N2[H])C([H])([H])C([H])([H])[H])C(=N1)N([H])[H]	5600
[H]N([H])C1=NC2=C(C(=C(SC3=C4N=C([H])C([H])=C([H])C4=C([H])C([H])=C3[H])N2[H])C([H])([H])C([H])([H])[H])C(=N1)N([H])[H]	3550
[H]N([H])C1=NC(N([H])[H])=C2C(=N1)C([H])=C([H])C(=C2C([H])([H])[H])C([H])([H])N([H])C1=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C1[H]	3
[H]N([H])C1=NC2=C(C(\C([H])=C(/C3=C([H])C([H])=C([H])C([H])=C3OC([H])([H])[H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])=C([H])O2)C(=N1)N([H])[H]	9640
[H]OC(=O)C([H])([H])C([H])([H])[C@]([H])(N([H])C(=O)C1=C([H])C([H])=C(C([H])=C1[H])N(C([H])([H])C#C[H])C([H])([H])C1=C([H])C2=C(N=C(N=C2O[H])C([H])([H])[H])C([H])=C1[H])C(=O)O[H]	2660
[H]OC(=O)C([H])([H])C([H])([H])[C@]([H])(N([H])C(=O)C1=C([H])C([H])=C(C([H])=C1[H])N(C([H])([H])C#C[H])C([H])([H])C1=C([H])C2=C(N=C(N([H])[H])N([H])C2=O)C([H])=C1[H])C(=O)O[H]	75
[H]OC(=O)C([H])([H])C([H])([H])[C@]([H])(N([H])C(=O)C1=C([H])C([H])=C(C([H])=C1[H])N(C([H])([H])C#C[H])C([H])([H])C1=C([H])C2=C(N=C([H])N=C2O[H])C([H])=C1[H])C(=O)O[H]	2250
[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(N([H])C(=O)C1=C([H])C([H])=C(C([H])=C1[H])N(C([H])([H])C1=C([H])C2=C(N=C([H])N=C2O[H])C([H])=C1[H])C([H])([H])C([H])([H])[H])C(=O)O[H]	57.8
