smile	binding.affinity
[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)N([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	104
[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)N([H])C1=C([H])C([H])=C([H])C(=C1[H])C1=C([H])N(N=N1)C([H])([H])[C@@]([H])(O[H])C1=C([H])C(Br)=C([H])C([H])=C1[H]	64.4
[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)N([H])C1=C([H])C([H])=C(C([H])=C1[H])C1=C([H])N=NN1C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	124
[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)N([H])C1=C([H])C([H])=C(C([H])=C1[H])C1=C([H])N=NN1C([H])([H])C1=C([H])C([H])=C(F)C([H])=C1[H]	57.4
[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)N([H])C1=C([H])C([H])=C(C([H])=C1[H])C1=C([H])N=NN1C1=C([H])C([H])=C([H])C([H])=C1[H]	146
[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)N([H])C1=C([H])C([H])=C(C([H])=C1[H])C1=C([H])N=NN1C([H])([H])[C@@]([H])(O[H])C1=C([H])C([H])=C([H])C(Br)=C1[H]	216
[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)N([H])C1=C([H])C([H])=C([H])C(=C1[H])C1=C([H])N=NN1C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	112
[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)N([H])C1=C([H])C([H])=C([H])C(=C1[H])C1=C([H])N=NN1C([H])([H])C1=C([H])C([H])=C(F)C([H])=C1[H]	124
[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)N([H])C1=C([H])C([H])=C([H])C(=C1[H])C1=C([H])N=NN1C1=C([H])C([H])=C([H])C([H])=C1[H]	167
[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)N([H])C1=C([H])C([H])=C([H])C(=C1[H])C1=C([H])N=NN1C([H])([H])[C@]([H])(O[H])C1=C([H])C([H])=C([H])C(Br)=C1[H]	116
[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)N([H])C1=C([H])C([H])=C(C([H])=C1[H])C1=C([H])N(N=N1)C([H])([H])[C@@]([H])(O[H])C1=C([H])C(Br)=C([H])C([H])=C1[H]	143
[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)N([H])C1=C([H])C([H])=C([H])C(=C1[H])C1=C([H])N(N=N1)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	43
[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)N([H])C1=C([H])C([H])=C(C([H])=C1[H])C1=C([H])N(N=N1)C([H])([H])C1=C([H])C([H])=C(F)C([H])=C1[H]	294
[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)N([H])C1=C([H])C([H])=C(C([H])=C1[H])C1=C([H])N(N=N1)C1=C([H])C([H])=C([H])C([H])=C1[H]	47.5
