smile	binding.affinity
[H]N(C(=O)C1=C([H])C([H])=C([H])C(\C([H])=C(/[H])C2=C([H])C([H])=C(OC([H])([H])C3=C(ON=C3C3=C(Cl)C([H])=C([H])C([H])=C3Cl)C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C2Cl)=C1[H])C([H])([H])C([H])([H])C([H])([H])[H]	9000
[H]OC(=O)C1=C([H])C([H])=C([H])C(=C1[H])N(C(=O)C1=C([H])C([H])=C(OC([H])([H])C2=C(ON=C2C2=C(Cl)C([H])=C([H])C([H])=C2Cl)C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C1Cl)C([H])([H])[H]	3100
[H]OC(=O)C1=C([H])C([H])=C([H])C(=C1[H])N(C(=O)C1=C([H])C([H])=C(OC([H])([H])C2=C(ON=C2C2=C(Cl)C([H])=C([H])C([H])=C2Cl)C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C1Cl)C([H])([H])C([H])([H])C([H])([H])[H]	2100
[H]OC(=O)C1=C([H])C([H])=C([H])C(=C1[H])N(C(=O)C1=C([H])C([H])=C(OC([H])([H])C2=C(ON=C2C2=C(Cl)C([H])=C([H])C([H])=C2Cl)C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C1Cl)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	2500
[H]OC(=O)C1=C([H])C([H])=C([H])C(=C1[H])N(C(=O)C1=C([H])C([H])=C(OC([H])([H])C2=C(ON=C2C2=C(Cl)C([H])=C([H])C([H])=C2Cl)C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C1Cl)C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	840
[H]OC(=O)C1=C([H])C([H])=C([H])C(\C([H])=C(/[H])C2=C([H])C([H])=C(OC([H])([H])C3=C(ON=C3C3=C(Cl)C([H])=C([H])C([H])=C3Cl)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])=C2Cl)=C1[H]	1300
[H]OC(=O)C1=C([H])C([H])=C([H])C(N([H])C(=O)C2=C([H])C([H])=C(OC([H])([H])C3=C(ON=C3C3=C(Cl)C([H])=C([H])C([H])=C3Cl)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])=C2Cl)=C1[H]	1300
[H]OC(=O)C1=C([H])C([H])=C([H])C(N([H])C(=O)C2=C([H])C([H])=C(OC([H])([H])C3=C(ON=C3C3=C(Cl)C([H])=C([H])C([H])=C3Cl)C3=C([H])C([H])=C4C([H])=C([H])C([H])=C([H])C4=C3[H])C([H])=C2Cl)=C1[H]	4000
[H]OC(=O)C1=C([H])C([H])=C([H])C(N([H])C(=O)C2=C([H])C([H])=C(OC([H])([H])C3=C(ON=C3C3=C(Cl)C([H])=C([H])C([H])=C3Cl)C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C2Cl)=C1[H]	3000
[H]OC(=O)C1=C([H])C([H])=C([H])C(N([H])C(=O)C2=C([H])C([H])=C(OC([H])([H])C3=C(ON=C3C3=C(Cl)C([H])=C([H])C([H])=C3Cl)C3=C([H])C([H])=C(C([H])=C3[H])C3=C([H])C([H])=C([H])C([H])=C3[H])C([H])=C2Cl)=C1[H]	3700
