smile	binding.affinity
[H]N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C(Br)C([H])=C1[H]	1540
[H]N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(Br)=C1[H]	398
[H]N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1Br	57
[H]N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C(Cl)C([H])=C1[H]	2860
[H]N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(Cl)=C1[H]	189
[H]N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1Cl	77
[H]N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C(F)C([H])=C1[H]	740
[H]N([H])C([H])([H])C([H])([H])C1=C([H])C(F)=C([H])C([H])=C1[H]	150
[H]N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1F	65
[H]N(C([H])([H])[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	318.5
[H]N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(OC([H])([H])[H])=C1[H]	1444
[H]N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	117.5
[H]N(C([H])([H])[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C(Br)C([H])=C1[H]	6540
[H]C1=C([H])C(Br)=C([H])C(=C1[H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]	8300
[H]N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C(Cl)C(Cl)=C1[H]	3430
[H]N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(Cl)=C1Cl	1160
[H]OC1=C([H])C(F)=C(C(F)=C1[H])C([H])([H])C([H])([H])N([H])[H]	767
[H]N([H])C([H])([H])C([H])([H])C1=C(F)C([H])=C(OC([H])([H])[H])C([H])=C1F	1400
[H]N([H])C([H])([H])C([H])([H])C1=C(F)C([H])=C([H])C([H])=C1Cl	312
[H]N([H])C([H])([H])C([H])([H])C1=C(Cl)C([H])=C([H])C([H])=C1Cl	51
[H]N(C([H])([H])[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C(Br)=C1[H]	1070
[H]C1=C([H])C([H])=C(C(Br)=C1[H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]	3460
[H]N(C([H])([H])[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1Br	205
[H]N(C([H])([H])[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C(Cl)C([H])=C1[H]	7430
[H]C1=C([H])C(Cl)=C([H])C(=C1[H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]	5980
