smile	binding.affinity
[H]OC(=O)C1=C([H])N(N=C1[H])C1=NC([H])=C(C([H])=C1[H])C([H])([H])OC([H])([H])C1=C([H])C(OC([H])([H])[H])=C([H])C(OC([H])([H])[H])=C1[H]	2800
[H]OC(=O)C1=C([H])N(N=C1[H])C1=NC([H])=C(C([H])=C1[H])C([H])([H])OC([H])([H])C1=C([H])C([H])=C(C([H])=C1[H])C1=C(C#N)C([H])=C([H])C([H])=C1[H]	190
[H]OC(=O)C1=C([H])N(N=C1[H])C1=NC([H])=C(C([H])=C1[H])C([H])([H])OC([H])([H])C1=C([H])C([H])=C([H])C(=C1[H])C(F)(F)F	2900
[H]OC(=O)C1=C([H])N(N=C1[H])C1=NC([H])=C(C([H])=C1[H])C([H])([H])OC([H])([H])C1=C([H])C([H])=C(Cl)C([H])=C1[H]	580
[H]OC(=O)C1=C([H])N(N=C1[H])C1=NC([H])=C(C([H])=C1[H])C([H])([H])OC([H])([H])C1=C([H])C([H])=C(C([H])=C1[H])C([H])(C([H])([H])[H])C([H])([H])[H]	1700
[H]OC(=O)C1=C([H])N(N=C1[H])C1=NC([H])=C(C([H])=C1[H])C([H])([H])OC([H])([H])C1=C([H])C([H])=C([H])C(OC([H])([H])[H])=C1[H]	1600
[H]OC(=O)C1=C([H])N(N=C1[H])C1=NC([H])=C(C([H])=C1[H])C([H])([H])OC([H])([H])C1=C([H])C([H])=C([H])C([H])=C1Cl	2400
[H]OC(=O)C1=C([H])N(N=C1[H])C1=NC([H])=C(C([H])=C1[H])C([H])([H])OC([H])([H])C1=C([H])C([H])=C([H])C(Cl)=C1[H]	1700
[H]OC(=O)C1=C([H])N(N=C1[H])C1=NC([H])=C(C([H])=C1[H])C([H])([H])OC([H])([H])C1=C([H])C([H])=C([H])C(=C1[H])C([H])([H])[H]	2100
[H]OC(=O)C1=C([H])N(N=C1[H])C1=NC([H])=C(C([H])=C1[H])C([H])([H])OC([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	2700
[H]OC(=O)C1=C([H])N(N=C1[H])C1=NC([H])=C(C([H])=C1[H])C([H])([H])OC([H])([H])C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H]	2400
[H]OC(=O)C([H])([H])N([H])C(=O)C1=C(O[H])C2=C(C([H])=C([H])C([H])=C2[H])C(Cl)=N1	76.5
[H]OC(=O)C1=C([H])N(N=C1[H])C1=NC([H])=C(C([H])=C1[H])C([H])([H])OC([H])([H])C1=C([H])C([H])=C(C#N)C([H])=C1[H]	1600
[H]OC(=O)C1=C([H])N(N=C1[H])C1=NC([H])=C(C([H])=C1[H])C1=C([H])C([H])=C(C([H])=C1[H])C([H])(C([H])([H])[H])C([H])([H])[H]	6800
[H]OC(=O)C1=C([H])N(N=C1[H])C1=NC([H])=C(C([H])=C1[H])C1=C([H])C([H])=C([H])C(Cl)=C1[H]	4900
[H]OC(=O)C1=C([H])N(N=C1[H])C1=NC([H])=C(C([H])=C1[H])C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H]	7300
[H]N(C(=O)C1=C([H])C2=NC([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C(F)=C([H])C(F)=C1[H]	4400
[H]OC(=O)C([H])([H])N([H])C(=O)C1=C(O[H])C2=NC([H])=C([H])C([H])=C2C([H])=C1[H]	5000
[H]OC1=C(C([H])=C([H])C2=C([H])C([H])=C([H])N=C12)C(=O)N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H]	6900
[H]OC1=C(C([H])=C([H])C2=C([H])C([H])=C([H])N=C12)C(=O)N([H])C([H])([H])C1=C([H])C([H])=C(Cl)C([H])=C1[H]	4800
[H]OC1=C(C([H])=C([H])C2=C([H])C([H])=C([H])N=C12)C(=O)N([H])C([H])([H])C1=C([H])C(OC([H])([H])[H])=C([H])C(OC([H])([H])[H])=C1[H]	7400
[H]OC1=C(C([H])=C([H])C2=C([H])C([H])=C([H])N=C12)C(=O)N([H])C1=C([H])C(OC([H])([H])[H])=C([H])C(OC([H])([H])[H])=C1[H]	3200
[H]OC1=C(C([H])=C([H])C2=C([H])C([H])=C([H])N=C12)C(=O)N([H])C1=C([H])C([H])=C([H])C(C#N)=C1[H]	6100
[H]OC1=C(C([H])=C([H])C2=C([H])C([H])=C([H])N=C12)C(=O)N([H])C1=C([H])C([H])=C(C#N)C([H])=C1[H]	3900
[H]OC(=O)C1=C([H])N(N=C1[H])C1=NC([H])=C(C([H])=C1[H])C1=C([H])C([H])=C([H])C([H])=C1Cl	6500
[H]OC1=C(C([H])=C([H])C2=C([H])C([H])=C([H])N=C12)C(=O)N([H])C([H])([H])C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H]	4600
[H]OC1=C(C([H])=C([H])C2=C([H])C([H])=C([H])N=C12)C(=O)N([H])C1=C([H])N=C([H])C([H])=C1[H]	4100
[H]OC1=C(C([H])=C([H])C2=C([H])C([H])=C([H])N=C12)C(=O)N([H])C1=C([H])C([H])=C(C([H])=C1[H])C(F)(F)F	9700
[H]OC1=C(C([H])=C([H])C2=C([H])C([H])=C([H])N=C12)C(=O)N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C(Cl)C([H])=C1[H]	5300
[H]OC1=C(C([H])=C([H])C2=C([H])C([H])=C([H])N=C12)C(=O)N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C([H])([H])[H]	5800
[H]OC1=C(C([H])=C([H])C2=C([H])C([H])=C([H])N=C12)C(=O)N([H])C([H])([H])C#N	4400
[H]OC1=C(C([H])=C([H])C2=C([H])C([H])=C([H])N=C12)C(=O)N([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	6000
