smile	binding.affinity
[H]N1C(=NC2=C1C([H])=C(C([H])=C2[H])C([H])([H])[H])C(\C#N)=C(\[H])C1=C([H])C([H])=C(OC2=C(C([H])=C(C([H])=C2[H])C(F)(F)F)[N+]([O-])=O)C([H])=C1[H]	2423
[H]C(C1=C([H])C([H])=C(O1)C([H])([H])[H])=C1C(=O)C2=C([H])C([H])=C([H])C([H])=C2C1=O	6254
[H]OC(=O)C([H])([H])[C@@]1([H])SC(=NC1=O)N([H])\N=C(/[H])C1=C([H])C(OC([H])([H])C2=C(Cl)C([H])=C(Cl)C([H])=C2[H])=C(OC([H])([H])[H])C([H])=C1[H]	4477
[H]N(\N=C(/[H])C1=C([H])C([H])=C(OC(=O)C2=C([H])C3=C(OC([H])([H])O3)C([H])=C2[H])C([H])=C1[H])C(=O)C1=C([H])C(Br)=C([H])N=C1[H]	1800
[H]N(C(=O)C([H])([H])SC1=C([H])C([H])=C([H])C([H])=N1)C1=C([H])C2=C(C([H])=C1[H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1C2=O	3081
[H]N([H])C(=N/OC(=O)N1C2=C([H])C([H])=C([H])C([H])=C2SC2=C([H])C([H])=C([H])C([H])=C12)\C1=C([H])C([H])=C(Br)C([H])=C1[H]	6456
[H]N(C(=O)C(\[H])=C(/[H])C1=C([H])C(=C([H])C([H])=C1[H])[N+]([O-])=O)C1=C([H])C([H])=C(N([H])C(=O)C2=C([H])C([H])=C([H])S2)C([H])=C1[H]	4112
[H]N(N([H])C1=C(C([H])=C(C([H])=C1[H])[N+]([O-])=O)[N+]([O-])=O)C(\[H])=C1\C(=O)N(N=C1C([H])([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[H]	6072
[H]OC(=O)C1=C([H])C([H])=C2C(=O)\C(=C(\[H])C3=C([H])C([H])=C([H])C([H])=C3[H])C(=O)C2=C1[H]	3503
[H]OC(=O)C(\N([H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1[H])=C(/[H])C1=C([H])C([H])=C([H])O1	6040
[H]N(C(=O)C1=NC([H])=C([H])N=C1[H])C1=C([H])C(=C([H])C([H])=C1[H])[N+]([O-])=O	5880
[H]N(N([H])C1=C(C([H])=C(C([H])=C1[H])[N+]([O-])=O)[N+]([O-])=O)C(\[H])=C1\C(=O)N(N=C1C([H])([H])[H])C1=C([H])C(=C(C([H])=C1[H])C([H])([H])[H])C([H])([H])[H]	3320
[H]C1=C([H])C([H])=C(C([H])=C1[H])C(C1=C([H])C([H])=C([H])C([H])=C1[H])=C1C([H])([H])[N@+]2(C([H])([H])[H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])C2([H])[H]	3044
[H]N1C(=O)C2=C(SC(=C2[H])C([H])([H])C([H])([H])[H])N2C1=C(C(=O)C1=C([H])C([H])=C([H])C([H])=C1Cl)C1=C([H])C([H])=C([H])C([H])=C1C2([H])[H]	2193
[H]OC1=C([H])C([H])=C([H])C([H])=C1C(=O)N([H])\N=C1/C(=O)N(C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C(=O)N([H])C1=C([H])C([H])=C([H])C([H])=C1C([H])([H])[H]	1231
[H]N(N([H])C(=O)C([H])([H])C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H])C(=O)C([H])([H])OC1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H]	9258
[H]OC1=C([H])C([H])=C(SC([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]2(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])=C1[H]	6892
[H]OC1=C([H])C([H])=C([H])C(\C([H])=N\N2C(=O)[C@@]3([H])[C@@]([H])(C2=O)[C@]2([H])C4=C([H])C([H])=C([H])C([H])=C4[C@@]3([H])C3=C([H])C([H])=C([H])C([H])=C23)=C1[H]	1719
[H]N([H])C1=NN(C(=O)C2=C([H])C(=C([H])C([H])=C2[H])[N+]([O-])=O)C2=C1C([H])=C1C([H])=C([H])C(OC([H])([H])[H])=C([H])C1=N2	4349
[H]OC(=O)C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])OC1=C([H])C([H])=C([H])C([H])=C1\C([H])=C1\N([H])C(=O)N(C1=O)C1=C([H])C(Cl)=C([H])C([H])=C1[H]	2749
[H]C1=C([H])C(=C([H])C([H])=C1Cl)C(=O)C([H])([H])OC1=NC(=C2C(=C1C#N)C([H])([H])C(OC2([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]	5918
[H]OC1=C([H])C([H])=C([H])C([H])=C1C(=O)N([H])\N=C1/C(=O)N(C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C(=O)N([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	2000
[H]OC1=C([H])C([H])=C([H])C([H])=C1C(=O)N([H])\N=C1/C(=O)N(C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C(=O)N([H])C1=C([H])C([H])=C([H])C(=C1[H])C([H])([H])[H]	1988
[H]N(C1=NC(=NC(OC2=NN([H])C(=O)C([H])=C2[H])=N1)N(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]	4667
[H]C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[N+]1(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	6361
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N1C(=S)S\C(=C(\[H])C2=NC3=C([H])C([H])=C([H])C([H])=C3N2[H])C1=O	6087
