smile	binding.affinity
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C#N)=C([H])C([H])=C3N([H])C2=N1	390
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])[C@@]([H])(O[H])C([H])([H])O[H])=C([H])C([H])=C3N([H])C2=N1	6065
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])[H])=C([H])C([H])=C3N([H])C2=N1	4840
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])O[H])=C([H])C([H])=C3N([H])C2=N1	12
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])[C@@]([H])(O[H])C([H])([H])[H])=C([H])C([H])=C3N([H])C2=N1	100
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C(=O)N4C([H])([H])C([H])([H])C([H])(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])C4([H])[H])=C([H])C([H])=C3N([H])C2=N1	150
[H]OC1=NC2=C([H])C3=C([H])C(=C([H])C([H])=C3N([H])C2=N1)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)N([H])[C@]12C([H])([H])[C@@]3([H])C([H])([H])[C@]([H])(C([H])([H])[C@]([H])(C3([H])[H])C1([H])[H])C2([H])[H]	3110
[H]OC1=NC2=C([H])C3=C([H])C(=C([H])C([H])=C3N([H])C2=N1)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)N(C([H])([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	760
[H]OC1=NC2=NC3=C(C([H])=C2N1C([H])([H])[H])C([H])=C(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)N(C([H])([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])=C3[H]	340
[H]OC1=NC2=NC3=C(C([H])=C2N1C([H])([H])[H])C([H])=C(OC([H])([H])C([H])([H])C([H])([H])C(=O)N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])=C3[H]	4010
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)N(C([H])([H])[H])C4([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])=C([H])C([H])=C3N([H])C2=N1	280
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])[H])=C([H])C([H])=C3N([H])C2=N1	950
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])S(=O)(=O)C4=C([H])C([H])=C([H])C([H])=C4[H])=C([H])C([H])=C3N([H])C2=N1	95
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])OC(=O)C([H])([H])[H])=C([H])C([H])=C3N([H])C2=N1	870
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])O[H])=C([H])C([H])=C3N([H])C2=N1	72.5
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])[H])C([H])([H])[H])=C([H])C([H])=C3N([H])C2=N1	314
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H])=C([H])C([H])=C3N([H])C2=N1	950
[H]OC1=NC2=C([H])C3=C([H])C(=C([H])C([H])=C3N([H])C2=N1)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])[H]	1715
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C(=O)N([H])[C@]45C([H])([H])[C@@]6([H])C([H])([H])[C@]([H])(C([H])([H])[C@]([H])(C6([H])[H])C4([H])[H])C5([H])[H])=C([H])C([H])=C3N([H])C2=N1	70
[H]OC1=NC2=NC3=C(C([H])=C2N1C([H])([H])[H])C([H])=C(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)N(C([H])([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])=C3[H]	150
[H]OC1=NC2=NC3=C(C([H])=C2N1C([H])([H])[H])C([H])=C(OC([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])[H])C([H])=C3[H]	1900
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C#N)=C([H])C([H])=C3N([H])C2=N1	1320
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C(=O)N([H])[H])=C([H])C([H])=C3N([H])C2=N1	4530
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C(=O)N4C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])=C([H])C([H])=C3N([H])C2=N1	280
[H]OC1=NC2=NC3=C(C([H])=C2N1C([H])([H])[H])C([H])=C(OC([H])([H])C([H])([H])C([H])([H])C(=O)N(C([H])([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])=C3[H]	645
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C4=NN=NN4C4([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])=C([H])C([H])=C3N([H])C2=N1	250
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])[H])=C([H])C([H])=C3N([H])C2=N1	74.5
[H]OC1=NC2=C([H])C3=C([H])C(=C([H])C([H])=C3N([H])C2=N1)C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])[H]	440
[H]N1C2=NC3=C([H])C([H])=C(OC([H])([H])C([H])([H])C([H])([H])C(=O)N(C([H])([H])[H])C4([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])C([H])=C3C([H])([H])N2C([H])([H])C1=O	270
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C(=O)N(C([H])([H])[H])C4([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])=C([H])C([H])=C3N([H])C2=N1	60
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C(=O)N(C([H])([H])[H])C4([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])=C([H])C([H])=C3N([H])C2=N1	6
[H]OC1=NC2=C([H])C3=C(C(=C([H])C([H])=C3N([H])C2=N1)C([H])([H])[H])C([H])([H])[H]	205
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C(=O)N(C([H])([H])C(=O)OC([H])([H])C([H])([H])[H])C4([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])=C([H])C([H])=C3N([H])C2=N1	50
[H]OC(=O)C([H])([H])OC1=C([H])C([H])=C2N([H])C3=NC(O[H])=NC3=C([H])C2=C1[H]	1910
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])[H])=C([H])C([H])=C3N([H])C2=N1	330
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C(=O)N([H])C4([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])=C([H])C([H])=C3N([H])C2=N1	203
[H]OC1=NC2=NC3=C(C([H])=C2N1C([H])([H])[H])C([H])=C(OC([H])([H])C([H])([H])C([H])([H])C(=O)N(C([H])([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])=C3[H]	50
[H]OC1=NC2=C([H])C3=C([H])C(=C([H])C([H])=C3N([H])C2=N1)C([H])([H])C([H])([H])C([H])([H])O[H]	2470
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C(=O)N(C([H])([H])C(=O)OC([H])([H])[H])C4([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])=C([H])C([H])=C3N([H])C2=N1	3.35
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C(=O)N(C([H])([H])[H])C([H])([H])[H])=C([H])C([H])=C3N([H])C2=N1	190
[H]N1C2=NC3=C([H])C([H])=C(Cl)C(Cl)=C3C([H])([H])N2C([H])([H])C1=O	1050
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])OC1=C([H])C([H])=C2N([H])C3=NC(O[H])=NC3=C([H])C2=C1[H]	8005
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)N(C([H])([H])[H])C4([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])=C([H])C([H])=C3N([H])C2=N1	4.5
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C(=O)N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])=C([H])C([H])=C3N([H])C2=N1	120
[H]OC(=O)C([H])([H])N(C(=O)C([H])([H])C([H])([H])C([H])([H])OC1=C([H])C([H])=C2N([H])C3=NC(O[H])=NC3=C([H])C2=C1[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	5255
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC1=C([H])C([H])=C2N([H])C3=NC(O[H])=NC3=C([H])C2=C1[H]	3170
[H]OC1=NC2=C([H])C3=C([H])C(\C([H])=C(/[H])\C(\[H])=C(/[H])C(=O)OC([H])([H])[H])=C([H])C([H])=C3N([H])C2=N1	2690
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])[H])=C([H])C([H])=C3N([H])C2=N1	90
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)N(C([H])([H])[H])C4([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])=C([H])C([H])=C3N([H])C2=N1	3
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C(=O)N([H])C4([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])=C([H])C([H])=C3N([H])C2=N1	420
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])S(=O)(=O)C4=C([H])C([H])=C([H])C([H])=C4[H])=C([H])C([H])=C3N([H])C2=N1	390
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])O[H])=C([H])C([H])=C3N([H])C2=N1	770
[H]OC1=NC2=C([H])C3=C([H])C(=C([H])C([H])=C3N([H])C2=N1)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])O[H]	2950
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C(=O)C([H])([H])[H])=C([H])C([H])=C3N([H])C2=N1	1400
[H]OC1=NC2=C([H])C3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C(=O)N([H])C4([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])=C([H])C([H])=C3N([H])C2=N1	40
[H]OC1=NC2=C([H])C3=C([H])C(\C([H])=C(/[H])C(=O)OC([H])([H])C([H])([H])[H])=C([H])C([H])=C3N([H])C2=N1	440
[H]OC1=NC2=NC3=C(C([H])=C2N1C([H])([H])[H])C([H])=C(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])[H])C([H])=C3[H]	9110
[H]C1=C(OC([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C(=C2OC(=C([H])C(=O)C2=C1[H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])[H]	3000
[H]C1=C(OC([H])([H])C2=NN=NN2C([H])([H])[H])C(=C2OC(=C([H])C(=O)C2=C1[H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])[H]	2800
[H]C1=C(OC([H])([H])C([H])([H])N2C([H])([H])C([H])([H])SC([H])([H])C2([H])[H])C(=C2OC(=C([H])C(=O)C2=C1[H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])[H]	4300
[H]C([H])=C([H])C1=C2OC(=C([H])C(=O)C2=C([H])C([H])=C1OC([H])([H])C([H])([H])N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H]	3000
[H]C([H])=C([H])C([H])([H])C1=C2OC(=C([H])C(=O)C2=C([H])C([H])=C1OC([H])([H])C([H])([H])N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H]	8900
[H]C1=C(OC([H])([H])C([H])([H])N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])C(=C2OC(=C([H])C(=O)C2=C1[H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])[H]	850
[H]N1C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])OC2=C([H])C([H])=C3C(=O)C([H])=C(OC3=C2C([H])([H])[H])N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])C([H])([H])C1([H])[H]	4000
[H]C1=C(OC([H])([H])C([H])([H])N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])C(=C2OC(=C([H])C(=O)C2=C1[H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])C([H])([H])[H]	4000
[H]C1=C(OC([H])([H])C([H])([H])N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])C(=C2OC(=C([H])C(=O)C2=C1[H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])[H]	3300
[H]C1=C(OC([H])([H])C([H])([H])OC([H])([H])[H])C(=C2OC(=C([H])C(=O)C2=C1[H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])[H]	7000
[H]C1=C(OC([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C(=C2OC(=C([H])C(=O)C2=C1[H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])[H]	4000
[H]C1=C(OC([H])([H])C2=NN=NN2C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(=C2OC(=C([H])C(=O)C2=C1[H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])[H]	2000
[H]C1=C(OC2=C(C(OC([H])([H])C([H])([H])N3C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C3([H])[H])=C(C([H])=C2C1=O)C([H])([H])[H])C([H])([H])[H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H]	1400
[H]C1=C([H])C([H])=C(C([H])=C1[H])N1N=NN=C1C([H])([H])OC1=C([H])C([H])=C2C(=O)C([H])=C(OC2=C1C([H])([H])[H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H]	8000
[H]C1=C(OC([H])([H])C(=O)OC([H])([H])[H])C(=C2OC(=C([H])C(=O)C2=C1[H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])[H]	9000
[H]C1=C([H])C([H])=C(C([H])=N1)C([H])([H])OC1=C([H])C([H])=C2C(=O)C([H])=C(OC2=C1C([H])([H])[H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H]	4000
[H]C1=C(OC([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C(=C2OC(=C([H])C(=O)C2=C1[H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])[H]	5000
[H]OC1=C(C(=O)C([H])([H])S(=O)(=O)N([H])C2=NC3=C(S2)C([H])=C(OC([H])([H])[H])C([H])=C3[H])S(=O)(=O)N=C2SC3=C([H])C(OC([H])([H])[H])=C([H])C([H])=C3N12	800
[H]OC1=C(C(=O)C([H])([H])S(=O)(=O)N([H])C2=NC3=C(S2)C([H])=C(OC([H])([H])C([H])([H])[H])C([H])=C3[H])S(=O)(=O)N=C2SC3=C([H])C(OC([H])([H])C([H])([H])[H])=C([H])C([H])=C3N12	105
[H]OC1=C(C(=O)C([H])([H])S(=O)(=O)N([H])C2=NC3=C(S2)C([H])=C(C([H])=C3[H])S(=O)(=O)C([H])([H])[H])S(=O)(=O)N=C2SC3=C([H])C(=C([H])C([H])=C3N12)S(=O)(=O)C([H])([H])[H]	1100
[H]OC1=C(C(=O)C([H])([H])S(=O)(=O)N([H])C2=NC3=C(S2)C([H])=C(C([H])=C3[H])C(=O)OC([H])([H])C([H])([H])[H])S(=O)(=O)N=C2SC3=C([H])C(=C([H])C([H])=C3N12)C(=O)OC([H])([H])C([H])([H])[H]	1800
[H]N(C(=O)C([H])([H])S(=O)(=O)N([H])C1=NC2=C([H])C([H])=C(OC([H])([H])C([H])([H])[H])C([H])=C2S1)C1=NC2=C(S1)C([H])=C(OC([H])([H])C([H])([H])[H])C([H])=C2[H]	170
[H]O[C@@]1([H])[C@@]([H])(O[C@]([H])(C([H])([H])O[P@](=O)(O[H])O[P@](=O)(O[H])C(Cl)(Cl)P(=O)(O[H])O[H])[C@@]1([H])O[H])N1C([H])=NC2=C(N=C(SC([H])([H])C([H])([H])C([H])([H])[H])N=C12)N([H])[H]	1.3
[H]O[C@@]1([H])[C@@]([H])(O[C@]([H])(C([H])([H])O[P@](=O)(O[H])O[P@](=O)(O[H])C(Cl)(Cl)P(=O)(O[H])O[H])[C@@]1([H])O[H])N1C([H])=NC2=C(N=C(SC([H])([H])C([H])([H])C(F)(F)F)N=C12)N([H])C([H])([H])C([H])([H])SC([H])([H])[H]	0.55
