smile	binding.affinity
[H]N([H])C1=NN([H])C2=C([H])C([H])=C([H])C(=C12)C1=C([H])C([H])=C(N([H])C(=O)N([H])C2=C(F)C([H])=C([H])C(=C2[H])C([H])([H])[H])C([H])=C1[H]	1600
[H]N(C(=O)N([H])C1=C([H])C(=C(C([H])=C1[H])C([H])([H])N1C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H])C(F)(F)F)C1=C([H])C([H])=C(OC2=NC([H])=NC(N([H])C([H])([H])[H])=C2[H])C([H])=C1[H]	290
[H]N(C(=O)C1([H])C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H])C1=NC([H])=C(SC([H])([H])C2=NC([H])=C(O2)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])S1	800
[H]N(C(=O)C(\[H])=C(/[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C1=C(OC([H])([H])C([H])([H])[H])C([H])=C2N=C([H])C(C#N)=C(N([H])C3=C([H])C(Cl)=C(F)C([H])=C3[H])C2=C1[H]	3900
[H]N(C(=O)C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H])C1=C([H])C(N([H])C2=NC([H])=C([H])C(=N2)C2=C([H])N=C([H])C([H])=C2[H])=C(C([H])=C1[H])C([H])([H])[H]	3150
[H]N1C(=O)C2=C(C1=O)C1=C([H])N(C3=C([H])C([H])=C([H])C([H])=C13)C([H])([H])C([H])([H])[C@]([H])(OC([H])([H])C([H])([H])N1C([H])=C2C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])N(C([H])([H])[H])C([H])([H])[H]	5100
[H]N(C(=O)N1C([H])([H])C([H])([H])N(C2=NC([H])=NC3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])=C(OC([H])([H])[H])C([H])=C23)C([H])([H])C1([H])[H])C1=C([H])C([H])=C(OC([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C1[H]	1600
[H]O[C@@]([H])(C([H])([H])N([H])C(=O)C1=C(N([H])C(\C([H])=C2/C(=O)N([H])C3=C2C([H])=C(F)C([H])=C3[H])=C1C([H])([H])[H])C([H])([H])[H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H]	250
[H]N(C([H])([H])[H])[C@@]1([H])C([H])([H])[C@]2([H])O[C@](N3C4=C([H])C([H])=C([H])C([H])=C4C4=C5C(C(=O)N([H])C5([H])[H])=C5C6=C([H])C([H])=C([H])C([H])=C6N2C5=C34)(C([H])([H])[H])[C@@]1([H])OC([H])([H])[H]	12.3
[H]N(C(=O)C1=C(N([H])C(\C([H])=C2/C(=O)N([H])C3=C([H])C([H])=C(F)C([H])=C23)=C1C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]	54.5
