smile	binding.affinity
[H]\C(=C(\[H])C1=C([H])C([H])=C(OC([H])([H])C([H])([H])[N+](C([H])([H])C([H])([H])[H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])=C1[H])C1=C([H])C([H])=C([H])C([H])=C1[H]	2570
[H]N(C(=O)C1=C([H])C2=C(OC([H])([H])C([H])([H])O2)C([H])=C1[H])C1=C([H])C(=C(C([H])=C1[H])N1C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])[H]	4120
[H]N(C(=O)C1=C(OC([H])([H])C([H])([H])[H])C([H])=C([H])C(=C1[H])C([H])([H])N1C(=O)C2=C([H])C([H])=C([H])C([H])=C2C1=O)C1([H])C([H])([H])C(N([H])C(C([H])([H])[H])(C([H])([H])[H])C1([H])[H])(C([H])([H])[H])C([H])([H])[H]	3180
[H]N([H])S(=O)(=O)C1=C(Cl)C([H])=C([H])C(=C1[H])C(=O)OC([H])([H])C(=O)N([H])C1=C([H])C2=C(N([H])C(=O)N2[H])C([H])=C1[H]	8990
[H]N(C(=O)C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1OC([H])([H])[H])C1=C([H])C(=C(C([H])=C1[H])N1C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])[H]	6670
[H]N(C(=O)C1=C([H])N2C(=NS(=O)(=O)C([H])([H])C2([H])[H])C([H])=C1[H])C1=C([H])C([H])=C(C([H])=C1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]	8510
[H]N(C(=O)C([H])([H])N([H])C(=O)OC([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C1=C([H])C([H])=C(F)C([H])=C1[H]	5010
[H]N(C(=O)C1=C([H])C([H])=C([H])C([H])=C1N1C(=O)C([H])([H])C([H])([H])C1([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	4580
[H]N(C1=N[C@@]([H])(C2=C([H])C([H])=C([H])C([H])=C2[H])C(C(=O)OC([H])([H])[H])=C(N1C([H])([H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C1([H])[H]	8560
[H]N(C1=N[C@@]([H])(C2=C([H])C([H])=C([H])C([H])=C2[H])C(C(=O)OC([H])([H])[H])=C(N1C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])OC([H])(C([H])([H])[H])C([H])([H])[H]	5120
[H]N(C1=N[C@@]([H])(C2=C([H])C([H])=C([H])C([H])=C2[H])[C@]([H])(C(=O)OC([H])([H])[H])[C@]([H])(N1C([H])([H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C1([H])[H]	3840
[H]N(C1=N[C@@]([H])(C2=C([H])C(=C([H])C([H])=C2[H])C(F)(F)F)C(C(=O)OC([H])([H])[H])=C(N1C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]	4220
[H]N(C1=N[C@@]([H])(C2=C([H])C([H])=C(Br)C([H])=C2[H])C(C(=O)OC([H])([H])[H])=C(N1C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])[H])C([H])([H])C([H])([H])C1=C([H])N=C([H])C([H])=C1[H]	4680
[H]N(C1=N[C@@]([H])(C2=C([H])C([H])=C([H])C([H])=C2[H])[C@]([H])(C(=O)OC([H])([H])[H])[C@]([H])(N1C([H])([H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])OC([H])([H])[H]	4280
