smile	binding.affinity
[H]N([H])[C@]([H])(C([H])([H])[H])[C@]([H])(C1=C([H])N([H])C([H])=N1)C([H])([H])[H]	5.9
[H]N([H])[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@]1([H])C1=C([H])N([H])C([H])=N1	740
[H]N1C([H])=NC(=C1[H])[C@@]1([H])C([H])([H])C([H])([H])N([H])[C@]1([H])C([H])([H])[H]	8.7
[H]N([H])[C@]1(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]1([H])C1=C([H])N([H])C([H])=N1	2000
[H]N([H])[C@]([H])(C([H])([H])[H])C([H])([H])C1=C([H])N([H])C([H])=N1	8.675
[H]N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1=C([H])N=C([H])N1[H]	19.95
[H]N=C(SC([H])([H])C([H])([H])C([H])([H])C1=C([H])N([H])C([H])=N1)N([H])[H]	10
[H]N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1=C([H])N=C([H])N1[H]	3.98
[H]N([H])C([H])([H])C([H])([H])C([H])([H])C1=C([H])N=C([H])N1[H]	1258.93
[H]N([H])[C@@]([H])(C(=O)N1C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C([H])([H])OC2=C([H])C([H])=C(C([H])=C2[H])C(=O)C2([H])C([H])([H])C2([H])[H])C([H])([H])C1([H])[H])C([H])([H])[H]	104.71
[H]N(C1=C([H])C([H])=NC2=C1C([H])=C([H])C([H])=C2[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C(OC([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])=C1[H]	15.85
[H]N(C1=C([H])C([H])=NC2=C([H])C(Cl)=C([H])C([H])=C12)C([H])([H])C([H])([H])C1=C([H])C([H])=C(OC([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])=C1[H]	25.12
[H]N(C1=C2C(=NC3=C([H])C([H])=C([H])C([H])=C13)C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C(OC([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])=C1[H]	10
[H]N(C1=C([H])C([H])=C(OC([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])=C1[H])C1=C([H])C([H])=NC2=C([H])C([H])=C([H])C([H])=C12	3.16
[H]N(C1=C([H])C([H])=NC2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C(OC([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])=C1[H]	79.43
[H]N(C1=C([H])C([H])=C(OC([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])=C1[H])C1=C([H])C([H])=NC2=C1C([H])=C([H])C(Cl)=C2[H]	3.16
[H]N(C1=C2C(=NC3=C([H])C([H])=C([H])C([H])=C13)C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C(OC([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])=C1[H]	31.62
[H]N(C1=C2C(=NC3=C([H])C([H])=C([H])C([H])=C13)C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C(OC([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])=C1[H]	63.1
[H]N(C1=C([H])C([H])=NC2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C(OC([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])=C1[H]	25.12
[H]N1C([H])=NC(=C1[H])C([H])([H])C([H])([H])C([H])([H])OC([H])([H])C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]	44.11
[H]N(C(=O)OC([H])([H])C([H])([H])C([H])([H])C1=C([H])N([H])C([H])=N1)[C@]([H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]	12.59
[H]N(C(=O)OC([H])([H])C([H])([H])C([H])([H])C1=C([H])N([H])C([H])=N1)C([H])(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]	12.59
[H]N1C([H])=NC(=C1[H])C([H])([H])C([H])([H])C([H])([H])OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]	39.81
[H]N(C(=O)OC([H])([H])C([H])([H])C([H])([H])C1=C([H])N([H])C([H])=N1)[C@]([H])(C([H])([H])[H])C1(C([H])([H])[H])C([H])([H])C1([H])[H]	17.9
[H]N(C(=O)OC([H])([H])C([H])([H])C([H])([H])C1=C([H])N([H])C([H])=N1)[C@]([H])(C([H])([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	26.475
[H]C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])OC([H])([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	316.23
[H]N(C(=O)OC([H])([H])C([H])([H])C([H])([H])C1=C([H])N([H])C([H])=N1)[C@]([H])(C1=C([H])C([H])=C([H])C([H])=C1[H])C1([H])C([H])([H])C1([H])[H]	19.95
[H]N(C(=O)OC([H])([H])C([H])([H])C([H])([H])C1=C([H])N([H])C([H])=N1)C([H])(C1([H])C([H])([H])C1([H])[H])C1([H])C([H])([H])C1([H])[H]	1
