smile	binding.affinity
[H]N(C1=NC(=NC2=C([H])C([H])=C([H])C([H])=C12)C1=C([H])C([H])=C(C([H])=C1[H])N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H]	20
[H]C1=C([H])C([H])=C2C(OC([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])=NC(=NC2=C1[H])C1=C([H])C([H])=C(C([H])=C1[H])N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H]	2400
[H]N(C1=NC(=NC2=C([H])C([H])=C([H])C([H])=C12)C1=C([H])C([H])=C(C([H])=C1[H])N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]	30
[H]N(C1=NC(=NC2=C([H])C([H])=C([H])C([H])=C12)C1=C([H])C([H])=C(C([H])=C1[H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]	5200
[H]OC1=C(OC([H])([H])[H])C([H])=C(\C([H])=C(/[H])C(=O)C([H])([H])C(=O)C(\[H])=C(/[H])C2=C([H])C(OC([H])([H])[H])=C(O[H])C([H])=C2[H])C([H])=C1[H]	8362
[H]N([H])C1=C([H])C2=C(C([H])=C1[H])C(=C([H])C(=O)O2)C(F)(F)F	8421
[H]N([H])C1=C(SC2=C1C(=C([H])C(=N2)C1=C([H])C([H])=C([H])C([H])=C1[H])C1=C([H])C([H])=C([H])O1)C#N	8358
[H]C1=C([H])C([H])=C2C(=O)N(SC2=C1[H])C1=C([H])C([H])=C(C([H])=C1[H])C(=O)OC([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]	7227
[H]\C(C(=O)C1=NC(=NC([H])=C1Cl)S(=O)(=O)C([H])([H])[H])=C1/N(C2=C([H])C([H])=C([H])C([H])=C2C1(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]	5915
[H]C1=C([H])C([H])=C(C([H])=C1[H])C1=C([H])C(=NC(=N1)S(=O)(=O)C([H])([H])[H])C(F)(F)F	9605
[H]C1=C([H])C(=C([H])C([H])=C1F)C1=C([H])C(=NC(=N1)S(=O)(=O)C([H])([H])C(=O)OC([H])([H])C([H])([H])[H])C(F)(F)F	8907
[H]N(C1=C(N=C2C([H])=NC([H])=C([H])N12)C1=C([H])C([H])=C(C([H])=C1[H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	7024
[H]C1=C([H])C(=C([H])C(SC2=C(C3=C([H])C([H])=C(OC([H])([H])[H])C([H])=C3[H])[S@@](=O)C3=C2C([H])=C([H])C(OC([H])([H])[H])=C3[H])=C1[H])C(F)(F)F	4061
[H]N(C(=O)C(\Cl)=C(\Cl)[S@@](=O)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C1=C([H])N=C(OC([H])([H])[H])C([H])=C1[H]	5840
[H]N(\N=C(/[H])C1=C(N(C(=C1[H])C([H])([H])[H])C1=C(C([H])=C([H])C([H])=C1C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C1=NC([H])=C(C([H])=C1[H])[N+]([O-])=O	3914
[H]C1=C([H])C(=C([H])C(=C1[H])C([H])([H])N1C([H])=C2C(=NN=C2C2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C([H])=C12)C1=C([H])C([H])=C(F)C([H])=C1[H])C([H])([H])[H]	5428
[H]N1N=C(C(=C1C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])OC1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H])C([H])([H])[H]	8147
