smile	binding.affinity
[H]N([H])C(=O)[C@]([H])(SC1=NC2=C(C([H])=NN2C2=C([H])C(Cl)=C([H])C([H])=C2[H])C(=O)N1[H])C([H])([H])[H]	1400
[H]C([H])=C([H])C([H])([H])N1C(=NC2=C1C([H])=C([H])C([H])=C2[H])N([H])C(=O)C1=C([H])C([H])=C([H])C(=C1[H])[N+]([O-])=O	1000
[H]OC([H])([H])C([H])([H])C([H])([H])N1C(=NC2=C([H])C([H])=C([H])C([H])=C12)N([H])C(=O)C1=C([H])C([H])=C([H])C(=C1[H])[N+]([O-])=O	150
[H]N(C(=O)C1=C([H])C([H])=C([H])C(=C1[H])[N+]([O-])=O)C1=NC2=C(C([H])=C([H])C([H])=C2[H])N1C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])[H]	1000
[H]OC([H])([H])C([H])([H])N1C(=NC2=C([H])C([H])=C([H])C([H])=C12)N([H])C(=O)C1=C([H])C([H])=C([H])C(=C1[H])[N+]([O-])=O	400
[H]N(C(=O)C1=C([H])C([H])=C(Cl)C(Cl)=C1[H])C1=NC2=C(C([H])=C([H])C([H])=C2[H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]	3000
[H]N(C(=O)C1=C([H])C([H])=C([H])C(=C1[H])[N+]([O-])=O)C1=NC2=C(C([H])=C([H])C([H])=C2[H])N1C([H])([H])C(=O)OC([H])([H])C([H])([H])[H]	400
[H]N(C(=O)C1=C([H])C([H])=C([H])C(=C1[H])[N+]([O-])=O)C1=NC2=C(C([H])=C([H])C([H])=C2[H])N1C([H])([H])C([H])([H])OC([H])([H])[H]	1000
[H]N(C(=O)C1=C([H])C([H])=C([H])C(=C1[H])[N+]([O-])=O)C1=NC2=C(N1[H])C([H])=C([H])C(=C2[H])S(=O)(=O)C([H])([H])C([H])([H])C([H])([H])[H]	4000
[H]N(C(=O)C1=C([H])C([H])=C([H])C(=C1[H])[N+]([O-])=O)C1=NC2=C(N1[H])C([H])=C([H])C([H])=C2[H]	4000
[H]N(C(=O)C1=C([H])C([H])=C([H])C(=C1[H])[N+]([O-])=O)C1=NC2=C(C([H])=C([H])C([H])=C2[H])N1[C@@]1([H])C(=O)OC([H])([H])C1([H])[H]	550
[H]N(C(=O)C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H])C1=NC2=C(C([H])=C([H])C([H])=C2[H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]	6500
[H]N(C(=O)C1=C([H])C([H])=C([H])C(=C1[H])[N+]([O-])=O)C1=NC2=C(N1[H])C([H])=C([H])C(=C2[H])C([H])([H])[H]	800
[H]N(C(=O)C1=C([H])C([H])=C([H])C(=C1[H])[N+]([O-])=O)C1=NC2=C(C([H])=C([H])C([H])=C2[H])N1C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])[H]	2000
[H]N(C(=O)C1=C([H])C([H])=C([H])C(=C1[H])[N+]([O-])=O)C1=NC2=C(C([H])=C([H])C([H])=C2[H])N1C([H])([H])[C@]1([H])OC([H])([H])C([H])([H])C1([H])[H]	500
[H]N(C(=O)C1=C([H])C([H])=C([H])C(=C1[H])[N+]([O-])=O)C1=NC2=C(C([H])=C([H])C([H])=C2[H])N1C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H]	200
[H]N(C(=O)C1=C([H])C([H])=C([H])C(=C1[H])[N+]([O-])=O)C1=NC2=C(C([H])=C([H])C([H])=C2[H])N1C([H])(C([H])([H])[H])C([H])([H])[H]	1000
[H]N(C(=O)C1=C([H])C([H])=C([H])C(=C1[H])[N+]([O-])=O)C1=NC2=C(C([H])=C([H])C([H])=C2[H])N1C([H])([H])C([H])([H])[H]	2000
[H]N(C(=O)C1=C([H])C([H])=C([H])C(=C1[H])[N+]([O-])=O)C1=NC2=C(C([H])=C([H])C([H])=C2[H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]	2000
[H]N(C(=O)C1=C([H])C([H])=C(F)C(=C1[H])[N+]([O-])=O)C1=NC2=C(N1[H])C([H])=C([H])C([H])=C2[H]	6500
[H]N(C(=O)C1=C([H])C([H])=C([H])C(=C1[H])[N+]([O-])=O)C1=NC2=C(N1[H])C([H])=C(C(=C2[H])C([H])([H])[H])C([H])([H])[H]	8000
[H]N(C(=O)C1=C([H])C([H])=C([H])C(=C1[H])[N+]([O-])=O)C1=NC2=C(C([H])=C([H])C([H])=C2[H])N1C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H]	4000
[H]N(C(=O)C1=C([H])C([H])=C([H])C(=C1[H])[N+]([O-])=O)C1=NC2=C(N1[H])C([H])=C([H])C(OC([H])([H])[H])=C2[H]	1500
