smile	binding.affinity
[H]C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])OC([H])([H])C([H])([H])N1OC(=O)C2=C1N(C1=C(C([H])=C(F)C(Cl)=C1[H])C2=O)C([H])([H])C([H])([H])[H]	1424
[H]OC([H])([H])C([H])([H])N1OC(=O)C2=C1N(C1=C(C([H])=C(F)C(Cl)=C1[H])C2=O)C([H])([H])C([H])([H])[H]	1424
[H]OC(=O)C(\[H])=C(/[H])C1=C([H])C(=C([H])C([H])=C1[H])C1=C([H])N=C([H])C(=N1)N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H]	40
[H]N1C(=O)S\C(=C(\[H])C2=C([H])C([H])=C(C([H])=C2[H])C(F)(F)F)C1=O	80
[H]N1C(=O)S\C(=C(\[H])C2=C([H])C([H])=C([H])C(=C2[H])C(F)(F)F)C1=O	100
[H]N1OC(=O)C2=C1N(C1=C(C([H])=C(OC([H])([H])[H])C(Cl)=C1[H])C2=O)C([H])([H])C([H])([H])[H]	1424
[H]N1C(=O)S\C(=C(\[H])C2=C([H])C([H])=C(OC(F)(F)F)C([H])=C2[H])C1=O	500
[H]OC1=C([H])C([H])=C([H])C(=C1[H])C([H])([H])N1OC(=O)C2=C1N(C1=C(C([H])=C(F)C(Cl)=C1[H])C2=O)C([H])([H])C([H])([H])[H]	1424
[H]N1C(=O)S\C(=C(\[H])C2=C([H])C(Br)=C([H])C([H])=C2[H])C1=O	100
[H]N1OC(=O)C2=C1N(C1=C(C([H])=C(F)C(Cl)=C1[H])C2=O)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	558
[H]N1C(=O)S\C(=C(\[H])C2=C([H])C([H])=C(OC([H])([H])C([H])([H])C([H])([H])[H])C([H])=C2[H])C1=O	20
[H]N1C(=O)S\C(=C(\[H])C2=C([H])C([H])=C(C([H])=C2[H])N(C([H])([H])[H])C([H])([H])[H])C1=O	100
[H]N1C(=O)S\C(=C(\[H])C2=C([H])C([H])=C(F)C([H])=C2[H])C1=O	2300
[H]N1C(=O)S\C(=C(\[H])C2=C([H])C(F)=C([H])C([H])=C2[H])C1=O	400
[H]N1C(=O)S\C(=C(\[H])C2=C([H])C([H])=C(Cl)C([H])=C2[H])C1=O	200
[H]N1OC(=O)C2=C1N(C1=C([H])C(Cl)=C(F)C([H])=C1C2=O)C([H])(C([H])([H])[H])C([H])([H])[H]	62.8
