smile	binding.affinity
[H]C1=NC2=C(C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(=N1)N1C([H])([H])C([H])([H])[C@@]([H])(OC2=C([H])C([H])=C3C([H])=C([H])C([H])=C([H])C3=C2[H])C1([H])[H]	17.5
[H]C1=NC2=C(C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(=N1)N1C([H])([H])C([H])([H])[C@@]([H])(OC2=C([H])C([H])=C3N=C([H])C([H])=C([H])C3=C2[H])C1([H])[H]	12
[H]C1=NC2=C(C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(=N1)N1C([H])([H])C([H])([H])[C@@]([H])(OC2=C([H])C([H])=C3N=C(C([H])=C([H])C3=C2[H])C([H])([H])[H])C1([H])[H]	18
[H]C1=NC2=C(C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(=N1)N1C([H])([H])C([H])([H])[C@@]([H])(OC2=C([H])C([H])=C3C([H])=C([H])C([H])=NC3=C2[H])C1([H])[H]	12
[H]C1=NC2=C(C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(=N1)N1C([H])([H])C([H])([H])[C@@]([H])(OC2=NC([H])=C3C([H])=C([H])C([H])=C([H])C3=C2[H])C1([H])[H]	19
[H]C1=NC2=C(C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(=N1)N1C([H])([H])C([H])([H])[C@@]([H])(OC2=C([H])N=C3C([H])=C([H])C([H])=C([H])C3=N2)C1([H])[H]	4
[H]C1=NC2=C(C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(=N1)N1C([H])([H])C([H])([H])[C@@]([H])(OC2=C(C([H])=C([H])C([H])=C2[H])C(F)(F)F)C1([H])[H]	811
[H]C1=NC2=C(C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(=N1)N1C([H])([H])C([H])([H])[C@@]([H])(OC2=C(C([H])=C([H])C([H])=C2[H])C([H])([H])[H])C1([H])[H]	326
[H]C1=NC2=C(C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(=N1)N1C([H])([H])C([H])([H])[C@@]([H])(OC2=C(OC([H])([H])[H])C([H])=C([H])C([H])=C2[H])C1([H])[H]	440.5
[H]C1=NC2=C(C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(=N1)N1C([H])([H])C([H])([H])[C@@]([H])(OC2=C(Cl)C([H])=C([H])C([H])=C2[H])C1([H])[H]	198
[H]C1=NC2=C(C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(=N1)N1C([H])([H])C([H])([H])[C@@]([H])(OC2=C(C#N)C([H])=C([H])C([H])=C2[H])C1([H])[H]	130
[H]C1=NC2=C(C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(=N1)N1C([H])([H])C([H])([H])[C@@]([H])(OC2=C([H])C([H])=C(C#N)C([H])=C2[H])C1([H])[H]	56
[H]C1=NC2=C(C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(=N1)N1C([H])([H])C([H])([H])[C@@]([H])(OC2=C([H])C([H])=C(OC(F)(F)F)C([H])=C2[H])C1([H])[H]	185
[H]C1=NC2=C(C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(=N1)N1C([H])([H])C([H])([H])[C@@]([H])(OC2=C([H])C([H])=C(C([H])=C2[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C1([H])[H]	100
[H]C1=NC2=C(C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(=N1)N1C([H])([H])C([H])([H])[C@@]([H])(OC2=C([H])C([H])=C(OC([H])([H])C([H])([H])[H])C([H])=C2[H])C1([H])[H]	54
[H]C1=NC2=C(C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(=N1)N1C([H])([H])C([H])([H])[C@@]([H])(OC2=C([H])C([H])=C([H])C(=C2[H])C([H])(C([H])([H])[H])C([H])([H])[H])C1([H])[H]	171
[H]C1=NC2=C(C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(=N1)N1C([H])([H])C([H])([H])[C@@]([H])(OC2=C([H])C([H])=C([H])C(=C2[H])C2=C([H])C([H])=C([H])C([H])=C2[H])C1([H])[H]	136
[H]C1=NC2=C(C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(=N1)N1C([H])([H])C([H])([H])[C@@]([H])(OC2=C([H])C([H])=NC([H])=C2[H])C1([H])[H]	112
[H]C1=NC2=C(C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(=N1)N1C([H])([H])C([H])([H])[C@@]([H])(OC2=C([H])C([H])=C([H])N=C2[H])C1([H])[H]	128
[H]C1=NC2=C(C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(=N1)N1C([H])([H])C([H])([H])[C@@]([H])(OC2=C([H])C([H])=C([H])C(OC([H])([H])C([H])([H])[H])=C2[H])C1([H])[H]	94
[H]C1=NC2=C(C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(=N1)N1C([H])([H])C([H])([H])[C@@]([H])(OC2=C([H])C([H])=C3C(=C2[H])C([H])([H])C([H])([H])C3([H])[H])C1([H])[H]	68
[H]C1=NC2=C(C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(=N1)N1C([H])([H])C([H])([H])[C@@]([H])(OC2=C([H])C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C1([H])[H]	67
[H]C1=C([H])C2=C(C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(=N1)C([H])([H])C1=C([H])C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C1[H]	26.5
[H]C1=NC2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C([H])=C2C(=N1)N1C([H])([H])C2=C(C([H])=C([H])C([H])=C2S(=O)(=O)N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])C([H])([H])C1([H])[H]	25
[H]C1=NC2=C(C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(=N1)N1C([H])([H])C([H])([H])[C@@]([H])(OC2=NC([H])=C(Cl)C([H])=N2)C1([H])[H]	44
[H]C1=NC2=C(C([H])=C(OC([H])([H])[H])C(OC([H])([H])[H])=C2[H])C(=N1)N1C([H])([H])C([H])([H])[C@@]([H])(OC2=C([H])C([H])=C([H])C([H])=N2)C1([H])[H]	123
[H]N1N=C([H])C(=C1C1=C([H])C([H])=C(OC([H])([H])C2=NC3=C([H])C([H])=C([H])C([H])=C3C([H])=C2[H])C([H])=C1[H])C1=NC([H])=C([H])C([H])=C1[H]	371
[H]N1N=C([H])C(C2=C([H])C(=NO2)C([H])([H])[H])=C1C1=C([H])C([H])=C(OC([H])([H])C2=NC3=C([H])C([H])=C([H])C([H])=C3C([H])=C2[H])C([H])=C1[H]	413
[H]C1=C(C(=NN1C([H])([H])[H])C1=C([H])C([H])=C(OC([H])([H])C2=NC3=C([H])C([H])=C([H])C([H])=C3N=C2[H])C([H])=C1[H])C1=C([H])C([H])=NC([H])=C1[H]	5.09
[H]C1=C(C(=NN1C([H])([H])[H])C1=C([H])C([H])=C(OC([H])([H])C2=NC3=C(C([H])=C([H])C([H])=C3[H])N2C([H])([H])[H])C([H])=C1[H])C1=C([H])C([H])=NC([H])=C1[H]	1.29
[H]C1=NN(C(=C1C1=C([H])C([H])=NC([H])=C1[H])C1=C([H])C([H])=C(OC([H])([H])C2=NC3=C([H])C([H])=C([H])C([H])=C3C([H])=C2[H])C([H])=C1[H])C([H])([H])[H]	1.54
[H]C1=C(C(=NN1C([H])([H])C([H])([H])[H])C1=C([H])C([H])=C(OC([H])([H])C2=NC3=C([H])C([H])=C([H])C([H])=C3C([H])=C2[H])C([H])=C1[H])C1=C([H])C([H])=NC([H])=C1[H]	0.92
[H]C1=NN(C(=C1C1=C([H])C([H])=NC([H])=C1[H])C1=C([H])C([H])=C(OC([H])([H])C2=NC3=C([H])C([H])=C([H])C([H])=C3C([H])=C2[H])C([H])=C1[H])C([H])([H])C([H])([H])[H]	4.76
[H]C1=C(C(=NN1C([H])([H])C(F)(F)F)C1=C([H])C([H])=C(OC([H])([H])C2=NC3=C([H])C([H])=C([H])C([H])=C3C([H])=C2[H])C([H])=C1[H])C1=C([H])C([H])=NC([H])=C1[H]	0.855
[H]C1=NOC(=C1C1=C([H])C([H])=NC([H])=C1[H])C1=C([H])C([H])=C(OC([H])([H])C2=NC3=C([H])C([H])=C([H])C([H])=C3C([H])=C2[H])C([H])=C1[H]	11.7
[H]N1C(=NC(=C1C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H])C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H])C1=C([H])C([H])=C([H])S1	35
[H]N1N=C([H])C(=C1C1=C([H])C([H])=C(OC([H])([H])C2=NC3=C([H])C([H])=C([H])C([H])=C3C([H])=C2[H])C([H])=C1[H])C([H])([H])C1=C([H])C([H])=NC([H])=C1[H]	11.5
[H]C1=NC([H])=C([H])C(=C1[H])C1=C([H])N=C(N=C1C1=C([H])C([H])=C(OC([H])([H])C2=NC3=C([H])C([H])=C([H])C([H])=C3C([H])=C2[H])C([H])=C1[H])C([H])([H])[H]	1690
[H]N1N=C([H])C(=C1C1=C([H])C([H])=C(OC([H])([H])C2=NC3=C([H])C([H])=C([H])C([H])=C3C([H])=C2[H])C([H])=C1[H])C1=NC([H])=NC([H])=C1[H]	27.2
[H]N1N=C([H])C(=C1C1=C([H])C([H])=C(OC([H])([H])C2=NC3=C([H])C([H])=C([H])C([H])=C3C([H])=C2[H])C([H])=C1[H])C1=C([H])N=NC([H])=C1[H]	11.9
[H]N1N=C([H])C(=C1C1=C([H])C([H])=C(OC([H])([H])C2=NC3=C([H])C([H])=C([H])C([H])=C3C([H])=C2[H])C([H])=C1[H])C1=C([H])C([H])=NC([H])=C1[H]	0.42
[H]C1=C(C(=NN1C([H])([H])[H])C1=C([H])C([H])=C(OC([H])([H])C2=NC3=C([H])C([H])=C([H])C([H])=C3C([H])=C2[H])C([H])=C1[H])C1=C([H])C([H])=NC([H])=C1[H]	0.3025
[H]N1N=C([H])C(=C1C1=C([H])C([H])=C(OC([H])([H])C2=NC3=C([H])C([H])=C([H])C([H])=C3C([H])=C2[H])C([H])=C1[H])C1=C([H])C([H])=C([H])C([H])=C1[H]	258
[H]C1=C(N=C2C([H])=C([H])C([H])=C([H])N12)C([H])([H])OC1=C([H])C([H])=C(C([H])=C1[H])C1=NN(C([H])=C1C1=C([H])C([H])=NC([H])=C1[H])C([H])([H])[H]	0.79
[H]C1=C(C(=NN1C([H])([H])[H])C1=C([H])C([H])=C(OC([H])([H])C2=NN3C([H])=C([H])C([H])=C([H])C3=N2)C([H])=C1[H])C1=C([H])C([H])=NC([H])=C1[H]	3.4
[H]C1=NC2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C([H])=C2C(=N1)[C@]1([H])C([H])([H])C([H])([H])[C@]([H])(OC2=NC3=C([H])C([H])=C([H])C([H])=C3N=C2[H])C1([H])[H]	6
[H]C1=NC2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])C3=C([H])C([H])=NC([H])=C3[H])C([H])=C2C(=N1)N1C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C2=C([H])C([H])=C([H])C([H])=C2[H])C1([H])[H]	3200
[H]C1=NC2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])C3=NC4=C([H])C([H])=C([H])C([H])=C4C([H])=C3[H])C([H])=C2C(=N1)N1C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C2=C([H])C([H])=C([H])C([H])=C2[H])C1([H])[H]	3200
[H]C1=NC2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])C([H])([H])C3=C([H])C([H])=C([H])C([H])=C3[H])C([H])=C2C(=N1)N1C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C2=C([H])C([H])=C([H])C([H])=C2[H])C1([H])[H]	1665
[H]C1=NC2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])C([H])([H])C3=C([H])N=C([H])C([H])=C3[H])C([H])=C2C(=N1)N1C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C2=C([H])C([H])=C([H])C([H])=C2[H])C1([H])[H]	2338
[H]C1=NC2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])C([H])([H])C3=C([H])C([H])=NC([H])=C3[H])C([H])=C2C(=N1)N1C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C2=C([H])C([H])=C([H])C([H])=C2[H])C1([H])[H]	3200
[H]C1=NC2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])C([H])([H])C([H])([H])C3=NC4=C(C([H])=C([H])C([H])=C4[H])N3C([H])([H])[H])C([H])=C2C(=N1)N1C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C2=C([H])C([H])=C([H])C([H])=C2[H])C1([H])[H]	10
[H]C1=NC2=C([H])C(OC([H])([H])C([H])([H])C3=NC4=C([H])C([H])=C([H])C([H])=C4C([H])=C3[H])=C(OC([H])([H])[H])C([H])=C2C([H])=N1	17
[H]C1=NC2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])C([H])([H])C3=C([H])C([H])=C4C([H])=C([H])C([H])=C([H])C4=N3)C([H])=C2C(=N1)N(C([H])([H])[H])C([H])([H])[H]	14
[H]C1=NC2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])C([H])([H])C3=C([H])C([H])=C4C([H])=C([H])C([H])=C([H])C4=N3)C([H])=C2C(=N1)C1=C([H])N=C([H])C([H])=C1[H]	5
[H]C1=NC2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])C([H])([H])C3=C([H])C([H])=C4C([H])=C([H])C([H])=C([H])C4=N3)C([H])=C2C(=O)N1C([H])([H])[H]	12
[H]C1=NC2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C([H])=C2C(=N1)N1C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C2=C([H])C([H])=C([H])C([H])=C2[H])C1([H])[H]	146
[H]C1=NC2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])C([H])([H])C3=C([H])C([H])=C4C([H])=C([H])C([H])=C([H])C4=N3)C([H])=C2C(=N1)N1C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C2=C([H])C([H])=C([H])C([H])=C2[H])C1([H])[H]	12
[H]C1=NC2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])C([H])([H])C3=NC([H])=C([H])C([H])=C3[H])C([H])=C2C(=N1)N1C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C2=C([H])C([H])=C([H])C([H])=C2[H])C1([H])[H]	247
[H]C1=NC2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])C([H])([H])C([H])([H])[H])C([H])=C2C(=N1)N1C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C2=C([H])C([H])=C([H])C([H])=C2[H])C1([H])[H]	1040
[H]C1=NC2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])C3=NC([H])=C([H])C([H])=C3[H])C([H])=C2C(=N1)N1C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C2=C([H])C([H])=C([H])C([H])=C2[H])C1([H])[H]	3200
