smile	binding.affinity
[H]N1C(=C([H])C2=C([H])C(Cl)=C([H])C([H])=C12)C(=O)N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H]	1445
[H]C1=C2C([H])([H])[C@@]([H])(N(C(=O)N(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])[C@@]2([H])C([H])([H])C([H])([H])[C@]34C([H])([H])N(C([H])([H])[H])[C@@]([H])(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@@]4([H])[C@]2([H])C1([H])[H]	295
[H]N([H])[C@]([H])(C(=O)N(C([H])([H])[H])[C@]1([H])C([H])([H])C2=C([H])C([H])([H])[C@@]3([H])[C@]4([H])C([H])([H])C([H])([H])[C@]5([H])[C@@]([H])(N(C([H])([H])[H])C([H])([H])[C@]45C([H])([H])C([H])([H])[C@]3([H])[C@@]2(C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]	1.685
[H]N(C(=S)N1C([H])([H])C([H])([H])C([H])(C2=C([H])N=C([H])N2[H])C([H])([H])C1([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	3.98
[H]C1=C2C([H])([H])[C@@]([H])(N(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])[C@@]2([H])C([H])([H])C([H])([H])[C@]34C([H])([H])N(C([H])([H])[H])[C@@]([H])(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@@]4([H])[C@]2([H])C1([H])[H]	25
[H]N(C([H])([H])[H])[C@]1([H])C([H])([H])C2=C([H])C([H])([H])[C@@]3([H])[C@]4([H])C([H])([H])C([H])([H])[C@]5([H])[C@@]([H])(N(C([H])([H])[H])C([H])([H])[C@]45C([H])([H])C([H])([H])[C@]3([H])[C@@]2(C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])[H]	302
[H]C1=C2C([H])([H])[C@@]([H])(N(C(=O)C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])[C@@]2([H])C([H])([H])C([H])([H])[C@]34C([H])([H])N(C([H])([H])[H])[C@@]([H])(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@@]4([H])[C@]2([H])C1([H])[H]	257
[H]C1=C2C([H])([H])[C@@]([H])(N(C(=O)C3([H])C([H])([H])C3([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])[C@@]2([H])C([H])([H])C([H])([H])[C@]34C([H])([H])N(C([H])([H])[H])[C@@]([H])(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@@]4([H])[C@]2([H])C1([H])[H]	380
[H]C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N(C([H])([H])[H])[C@]1([H])C([H])([H])C2=C([H])C([H])([H])[C@@]3([H])[C@]4([H])C([H])([H])C([H])([H])[C@]5([H])[C@@]([H])(N(C([H])([H])[H])C([H])([H])[C@]45C([H])([H])C([H])([H])[C@]3([H])[C@@]2(C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])[H]	38
[H]C1=C([H])C(=C([H])C([H])=C1C#N)C(=O)N(C([H])([H])[H])[C@]1([H])C([H])([H])C2=C([H])C([H])([H])[C@@]3([H])[C@]4([H])C([H])([H])C([H])([H])[C@]5([H])[C@@]([H])(N(C([H])([H])[H])C([H])([H])[C@]45C([H])([H])C([H])([H])[C@]3([H])[C@@]2(C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])[H]	195
[H]C1=NC([H])=C([H])C(=C1[H])C(=O)N(C([H])([H])[H])[C@]1([H])C([H])([H])C2=C([H])C([H])([H])[C@@]3([H])[C@]4([H])C([H])([H])C([H])([H])[C@]5([H])[C@@]([H])(N(C([H])([H])[H])C([H])([H])[C@]45C([H])([H])C([H])([H])[C@]3([H])[C@@]2(C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])[H]	155
[H]C1=C([H])C([H])=C(S1)C([H])([H])C(=O)N(C([H])([H])[H])[C@]1([H])C([H])([H])C2=C([H])C([H])([H])[C@@]3([H])[C@]4([H])C([H])([H])C([H])([H])[C@]5([H])[C@@]([H])(N(C([H])([H])[H])C([H])([H])[C@]45C([H])([H])C([H])([H])[C@]3([H])[C@@]2(C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])[H]	11.2
[H]N([H])C1=NC2=C(C(=N1)N1C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H])C([H])([H])C([H])([H])C1=C2[C@]2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])O1	13.5
[H]N([H])C1=NC(=C([H])C(=N1)N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H])C1=C([H])C([H])=C(C#N)C([H])=C1[H]	245
[H]N([H])C1=NC(=C([H])C(=N1)N1C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H])C1=C([H])C([H])=C(C#N)C([H])=C1[H]	120
[H]C1=C2C([H])([H])[C@@]([H])(N(C(=O)OC([H])([H])C(Cl)(Cl)Cl)C([H])([H])[H])C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])[C@@]2([H])C([H])([H])C([H])([H])[C@]34C([H])([H])N(C([H])([H])[H])[C@@]([H])(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@@]4([H])[C@]2([H])C1([H])[H]	7.91
[H]C1=C2C([H])([H])[C@@]([H])(N(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])[C@@]2([H])C([H])([H])C([H])([H])[C@]34C([H])([H])N(C(=O)[C@@]3([H])C([H])([H])C([H])([H])[C@@]4([H])[C@]2([H])C1([H])[H])C([H])([H])[H]	1000
[H]N(C(=O)C([H])([H])[H])[C@]([H])(C(=O)N(C([H])([H])[H])[C@]1([H])C([H])([H])C2=C([H])C([H])([H])[C@@]3([H])[C@]4([H])C([H])([H])C([H])([H])[C@]5([H])[C@@]([H])(N(C([H])([H])[H])C([H])([H])[C@]45C([H])([H])C([H])([H])[C@]3([H])[C@@]2(C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	2.29
[H]N1C([H])=NC(=C1[H])C([H])([H])C([H])([H])C([H])([H])OC1=C([H])C([H])=C(C([H])=C1[H])C(=O)C1([H])C([H])([H])C1([H])[H]	0.5
