smile	binding.affinity
[H]N1[C@@]([H])(C([H])([H])[H])C([H])([H])N(C([H])([H])C([H])([H])C([H])([H])N2C3=C(C([H])=C([H])C([H])=C3[H])C3=C2C([H])=C([H])C([H])=C3[H])C([H])([H])[C@@]1([H])C([H])([H])[H]	496
[H]C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])OC([H])(C2=C([H])C([H])=C(F)C([H])=C2[H])C2=C([H])C([H])=C(F)C([H])=C2[H])C([H])([H])C1([H])[H]	116
[H]C1=C([H])C([H])=C(C([H])=C1[H])[C@]1([H])N(C([H])([H])C([H])([H])OC([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C12	5400
[H]N1C([H])([H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[C@]1([H])C([H])(C([H])([H])[H])C([H])([H])[H]	2500
[H]N1C([H])([H])C2=C(C([H])=C([H])C([H])=C2C([H])([H])C1([H])[H])C1=C(OC([H])([H])[H])C([H])=C([H])C([H])=C1[H]	1800
[H]C([H])=C([H])C([H])([H])N1C([H])([H])C([H])([H])[C@@]2(C3=C([H])C([H])=C([H])C([H])=C3C([H])([H])[C@@]1([H])[C@]2([H])C([H])([H])[H])C([H])([H])[H]	50
[H]C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])N1C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])([H])C1([H])[H]	7800
[H]C1=C([H])C([H])=C2C(=C1[H])C([H])([H])N(C([H])([H])[H])[C@]([H])(C([H])([H])[H])C2([H])[H]	2600
[H]C1=C([H])C2=C(S1)[C@@]([H])(N(C([H])([H])[H])C([H])([H])C2([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H]	7800
[H]N1C([H])([H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[C@@]1([H])C1=C([H])C([H])=C(F)C([H])=C1[H]	1800
