smile	binding.affinity
[H][C@@](N)(C(C)C)C(=O)N1CCC[C@@H]1B(O)O	38
[H][C@]1(CCCN1)C(=O)N1CCC[C@H]1B(O)O	770
[H][C@](N)([C@@H](C)O)C(=O)N1CCC[C@H]1B(O)O	730
C[C@H](N)C(=O)N1CCC[C@H]1B(O)O	79.075
CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O	79.5
[H]N([H])[C@@]([H])(C(=O)N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])C1=C([H])N([H])C([H])=N1	1200
[H]N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(N([H])C(=O)OC([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	2100
[H]N([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(N([H])[H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	450
[H]N([H])[C@@]([H])(C(=O)N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])C1=C([H])N([H])C([H])=N1	329
[H]N([H])[C@]([H])(C(=S)N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[H]	1430
[H]N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(N([H])[H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	9900
[H]N([H])C([H])([H])C([H])([H])[C@]([H])(N([H])[H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	163
[H]N([H])C([H])([H])[C@]([H])(N([H])[H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	1840
[H]N([H])[C@]([H])(C(=S)N1C([H])([H])SC([H])([H])C1([H])[H])C([H])([H])[H]	277
[H]N([H])[C@]([H])(C(=O)N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@]([H])(N([H])C(=O)C2=C([H])C(F)=C(F)C([H])=C2[H])C([H])([H])C1([H])[H]	5000
