smile	binding.affinity
[H]N([H])S(=O)(=O)C1=NN=C(S1)N([H])C(=O)C([H])([H])[H]	41
[H]N([H])S(=O)(=O)C1=NN(\C(S1)=N\C(=O)C([H])([H])[H])C([H])([H])[H]	43
[H]N([H])S(=O)(=O)C1=NC2=C(S1)C([H])=C(OC([H])([H])C([H])([H])[H])C([H])=C2[H]	25
[H]N([H])S(=O)(=O)C1=C([H])C(=C(Cl)C(Cl)=C1[H])S(=O)(=O)N([H])[H]	345
[H]N([H])S(=O)(=O)C1=C([H])C2=C(S1)S(=O)(=O)[C@]([H])(C([H])([H])[H])C([H])([H])[C@@]2([H])N([H])C([H])([H])C([H])([H])[H]	27
[H]N([H])S(=O)(=O)C1=C([H])C2=C(S1)S(=O)(=O)N(C([H])([H])C([H])([H])C([H])([H])OC([H])([H])[H])C([H])([H])[C@@]2([H])N([H])C([H])([H])C([H])([H])[H]	24
[H]N([H])S(=O)(=O)OC([H])([H])[C@]12OC(O[C@@]1([H])[C@]1([H])OC(O[C@]1([H])C([H])([H])O2)(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]	1460
[H]N([H])S(=O)(=O)N([H])C([H])([H])[C@]12OC(O[C@@]1([H])[C@]1([H])OC(O[C@]1([H])C([H])([H])O2)(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]	25
[H]N([H])S(=O)(=O)C1=C(Cl)C([H])=C2N([H])[C@]([H])(N(C(=O)C2=C1[H])C1=C([H])C([H])=C([H])C([H])=C1C([H])([H])[H])C([H])([H])[H]	5432
[H]O[C@@]1(N([H])C(=O)C2=C([H])C([H])=C([H])C([H])=C12)C1=C([H])C(=C(Cl)C([H])=C1[H])S(=O)(=O)N([H])[H]	4130
[H]N([H])S(=O)(=O)C1=C(Cl)C([H])=C([H])C(=C1[H])C(=O)N([H])N1C2=C([H])C([H])=C([H])C([H])=C2C([H])([H])[C@@]1([H])C([H])([H])[H]	4950
[H]N([H])N([H])C(=O)C1=C(C2=C(N1[H])C([H])=C([H])C(=C2[H])S(=O)(=O)N([H])[H])C1=C([H])C([H])=C(F)C([H])=C1[H]	7.8
[H]N([H])N([H])C(=O)C1=C(C2=C(N1[H])C([H])=C([H])C(=C2[H])S(=O)(=O)N([H])[H])C1=C(Cl)C([H])=C([H])C([H])=C1[H]	9.5
[H]N([H])N([H])C(=O)C1=C(C2=C(N1[H])C([H])=C([H])C(=C2[H])S(=O)(=O)N([H])[H])C1=C([H])C(Cl)=C([H])C([H])=C1[H]	8.5
[H]N([H])S(=O)(=O)C1=C([H])C2=C(N([H])[C@]([H])(N([H])S2(=O)=O)C([H])(Cl)Cl)C([H])=C1Cl	3450
[H]N([H])N([H])C(=O)C1=C(C2=C(N1[H])C([H])=C([H])C(=C2[H])S(=O)(=O)N([H])[H])C1=C([H])C([H])=C([H])C([H])=C1[H]	48
[H]N([H])N([H])C(=O)C1=C(C2=C(N1[H])C([H])=C([H])C(=C2[H])S(=O)(=O)N([H])[H])C1=C(C([H])=C([H])C([H])=C1[H])C([H])([H])[H]	9.3
[H]N([H])N([H])C(=O)C1=C(C2=C(N1[H])C([H])=C([H])C(=C2[H])S(=O)(=O)N([H])[H])C1=C([H])C(=C([H])C([H])=C1[H])C([H])([H])[H]	8.5
[H]N([H])N([H])C(=O)C1=C(C2=C(N1[H])C([H])=C([H])C(=C2[H])S(=O)(=O)N([H])[H])C1=C([H])C([H])=C(Cl)C([H])=C1[H]	7.4
[H]N([H])N([H])C(=O)C1=C(C2=C(N1[H])C([H])=C([H])C(=C2[H])S(=O)(=O)N([H])[H])C1=C(Br)C([H])=C([H])C([H])=C1[H]	9.3
[H]N([H])N([H])C(=O)C1=C(C2=C(N1[H])C([H])=C([H])C(=C2[H])S(=O)(=O)N([H])[H])C1=C([H])C(Br)=C([H])C([H])=C1[H]	8.5
[H]N([H])N([H])C(=O)C1=C(C2=C(N1[H])C([H])=C([H])C(=C2[H])S(=O)(=O)N([H])[H])C1=C([H])C([H])=C(Br)C([H])=C1[H]	7
[H]N([H])N([H])C(=O)C1=C(C2=C(N1[H])C([H])=C([H])C(=C2[H])S(=O)(=O)N([H])[H])C1=C([H])C(OC([H])([H])[H])=C([H])C([H])=C1[H]	8.8
[H]N([H])N([H])C(=O)C1=C(C2=C(N1[H])C([H])=C([H])C(=C2[H])S(=O)(=O)N([H])[H])C1=C(F)C(F)=C(F)C(F)=C1F	8.7
[H]OC(=O)C1=C([H])C(=C(Cl)C([H])=C1N([H])C([H])([H])C1=C([H])C([H])=C([H])O1)S(=O)(=O)N([H])[H]	52
[H]OC(=O)C1=C([H])C(=C(OC2=C([H])C([H])=C([H])C([H])=C2[H])C(N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])=C1[H])S(=O)(=O)N([H])[H]	250
[H]N([H])S(=O)(=O)OC1=C([H])C([H])=C2C([H])=C(C([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])S(=O)(=O)C2=C1[H]	13
[H]N([H])S(=O)(=O)C1=NN=C(S1)N([H])S(=O)(=O)C1=C([H])C([H])=C([H])C([H])=C1[H]	33
[H]N([H])S(=O)(=O)C1=C([H])C2=C(N([H])C([H])([H])N([H])S2(=O)=O)C([H])=C1Cl	4105
[H]N([H])S(=O)(=O)OC1=C([H])C2=C(C([H])=C1[H])C1=C(C(=O)O2)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	755
[H]N([H])S(=O)(=O)C1=C(C([H])=C2N([H])C([H])([H])N([H])S(=O)(=O)C2=C1[H])C(F)(F)F	360
[H]N([H])N([H])C(=O)C1=C(C2=C(N1[H])C([H])=C([H])C(=C2[H])S(=O)(=O)N([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[H]	7.6
[H]N([H])N([H])C(=O)C1=C(C2=C(N1[H])C([H])=C([H])C(=C2[H])S(=O)(=O)N([H])[H])C1=C(F)C([H])=C([H])C([H])=C1[H]	9.2
[H]N([H])N([H])C(=O)C1=C(C2=C(N1[H])C([H])=C([H])C(=C2[H])S(=O)(=O)N([H])[H])C1=C([H])C(F)=C([H])C([H])=C1[H]	8.4
[H]N([H])S(=O)(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])OS(=O)(=O)N([H])[H]	658
[H]N([H])C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)N([H])[H]	76
[H]N([H])C1=C(Cl)C([H])=C(C([H])=C1[H])S(=O)(=O)N([H])[H]	21
[H]N([H])C1=C(C([H])=C([H])C([H])=C1[H])S(=O)(=O)N([H])[H]	6500
[H]OC([H])([H])C([H])([H])C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)N([H])[H]	3255
[H]OC(=O)C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)N([H])[H]	780
[H]N([H])C1=C([H])C([H])=C([H])C(=C1[H])S(=O)(=O)N([H])[H]	4800
[H]OC([H])([H])C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)N([H])[H]	3840
[H]N([H])C([H])([H])C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)N([H])[H]	3200
[H]N([H])C1=C(C([H])=C(C(Cl)=C1[H])S(=O)(=O)N([H])[H])S(=O)(=O)N([H])[H]	570
[H]N([H])C1=C(I)C([H])=C(C([H])=C1[H])S(=O)(=O)N([H])[H]	79
[H]N=C1SC(=NN1C([H])([H])[H])S(=O)(=O)N([H])[H]	245
[H]N([H])N([H])C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)N([H])[H]	1450
[H]N([H])C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)N([H])C1=NN=C(S1)S(=O)(=O)N([H])[H]	13
[H]N([H])C1=NC(N([H])C2=C([H])C([H])=C(C([H])=C2[H])S(=O)(=O)N([H])[H])=C([H])C([H])=N1	89
[H]N([H])C1=C(C([H])=C(C(=C1[H])C(F)(F)F)S(=O)(=O)N([H])[H])S(=O)(=O)N([H])[H]	680
[H]N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)N([H])[H]	2900
[H]N([H])C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)N([H])[H]	5400
[H]N([H])C1=C(Br)C([H])=C(C([H])=C1[H])S(=O)(=O)N([H])[H]	15
[H]OC1=C([H])C2=C(N=C(S2)S(=O)(=O)N([H])[H])C([H])=C1[H]	48
[H]N([H])S(=O)(=O)C([H])([H])C1=NOC2=C([H])C([H])=C([H])C([H])=C12	5250
[H]N([H])C1=C(F)C([H])=C(C([H])=C1[H])S(=O)(=O)N([H])[H]	180
[H]N([H])C1=NN=C(S1)S(=O)(=O)N([H])[H]	280
