smile	binding.affinity
[H]N(C1=NC(N([H])C2=C([H])C([H])=C([H])C([H])=C2S(=O)(=O)C([H])(C([H])([H])[H])C([H])([H])[H])=C(Cl)C([H])=N1)C1=C([H])C([H])=C(C([H])=C1OC([H])([H])[H])N1C([H])([H])C([H])([H])C([H])(N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])C([H])([H])C1([H])[H]	2.05
[H]N([H])C1=NC2=C(C([H])=N1)C([H])([H])N(C(=O)N2C([H])([H])[H])C1=C(C([H])=C([H])C(N([H])C(=O)C2=C([H])C([H])=C([H])C(=C2[H])C(F)(F)F)=C1[H])C([H])([H])[H]	2000
[H]N([H])C(=O)C1=C(N([H])C2=C3C([H])=C([H])N([H])C3=NC(=N2)N([H])C2=C(OC([H])([H])[H])C([H])=C3C(=C2[H])N(C(=O)C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C([H])([H])C3([H])[H])C([H])=C([H])S1	0.4
[H]N1C(=O)\C(=C(\[H])C2=C(C(C(=O)OC([H])([H])C([H])([H])[H])=C(N2[H])C([H])([H])[H])C([H])([H])[H])C2=C([H])C([H])=C([H])C([H])=C12	5400
[H]N1C(=O)\C(=C(\[H])C2=C(C([H])=C(N2[H])C([H])([H])[H])C([H])([H])[H])C2=C([H])C([H])=C([H])C([H])=C12	1200
[H]N([H])C1=C([H])C([H])=C2N([H])C(=O)\C(=C(\[H])C3=C(C([H])=C(N3[H])C([H])([H])[H])C([H])([H])[H])C2=C1[H]	4800
[H]N1C(=O)\C(=C(\[H])C2=C(C([H])=C(N2[H])C([H])([H])[H])C([H])([H])[H])C2=C([H])C(=C([H])C([H])=C12)C1=C([H])C([H])=C([H])N=C1[H]	3800
[H]N([H])C1=NN([H])C2=C([H])C([H])=C([H])C(=C12)C1=C([H])C([H])=C(N([H])C(=O)N([H])C2=C(F)C([H])=C([H])C(=C2[H])C([H])([H])[H])C([H])=C1[H]	1600
[H]N(C(=O)N([H])C1=C([H])C(=C(C([H])=C1[H])C([H])([H])N1C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H])C(F)(F)F)C1=C([H])C([H])=C(OC2=NC([H])=NC(N([H])C([H])([H])[H])=C2[H])C([H])=C1[H]	1400
[H]N([H])C1=C(C2=NC3=C(N2[H])C([H])=C([H])C(=C3[H])N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])C(=O)N([H])C2=C([H])C([H])=C([H])C(F)=C12	3500
[H]C([H])=C([H])C(=O)N([H])C1=C(OC([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])C([H])=C2N=C([H])N=C(N([H])C3=C([H])C(Cl)=C(F)C([H])=C3[H])C2=C1[H]	8850
[H]N1C2=NC([H])=C(C([H])=C2N(C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])C1([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	256
[H]N1C2=NC([H])=C(C([H])=C2N(C(=O)C1([H])[H])C([H])([H])C1=C(Cl)C([H])=C([H])C([H])=C1Cl)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	278
[H]N1C2=NC([H])=C(C([H])=C2N(C([H])([H])C2=C([H])C(F)=C([H])C([H])=C2F)C([H])([H])C1([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	15
[H]N1C2=NC([H])=C(C([H])=C2N(C(=O)C1([H])[H])C([H])([H])C1=C([H])C(F)=C([H])C([H])=C1F)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	145
[H]N1C2=C(C([H])=C(C([H])=N2)C2=C([H])C([H])=C(N=C2[H])N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])N(C([H])([H])C2=C([H])C(F)=C([H])C([H])=C2F)C([H])([H])C1([H])[H]	116.5
[H]N1C2=C(C([H])=C(C([H])=N2)C2=C([H])C([H])=C(N=C2[H])N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])N(C([H])([H])C2=C(C([H])=C([H])C(Cl)=C2[H])C(F)(F)F)C([H])([H])C1([H])[H]	10
[H]N1C2=C(C([H])=C(C([H])=N2)C2=C([H])C([H])=C(N=C2[H])N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])N(C([H])([H])C2=C(C([H])=C([H])C([H])=C2Cl)C(F)(F)F)C([H])([H])C1([H])[H]	506
[H]N1C2=C(C([H])=C(C([H])=N2)C2=C([H])C([H])=C(N=C2[H])N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])N(C([H])([H])C2=C(Cl)C([H])=C([H])C(Cl)=C2[H])C([H])([H])C1([H])[H]	11
[H]N1C2=C(C([H])=C(C([H])=N2)C2=C([H])C([H])=C(N=C2[H])N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])N(C([H])([H])C2=C(Cl)C(F)=C([H])C([H])=C2F)C([H])([H])C1([H])[H]	11
[H]N1C2=C(C([H])=C(C([H])=N2)C2=C([H])C([H])=C(N=C2[H])N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])N(C([H])([H])C1([H])[H])S(=O)(=O)C1=C([H])C(F)=C([H])C([H])=C1F	465
[H]N1C2=C(C([H])=C(C([H])=N2)C2=C([H])C([H])=C(N=C2[H])N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])[C@]([H])(C([H])([H])C2=C([H])C(F)=C([H])C([H])=C2F)C([H])([H])C1([H])[H]	1538
[H]C1=NC(=C([H])C([H])=C1C1=C([H])C2=C(N=C1[H])N(C([H])([H])[H])C([H])([H])C([H])([H])N2C([H])([H])C1=C(Cl)C([H])=C([H])C(Cl)=C1[H])N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H]	3000
[H]N1C2=C(C([H])=C(C([H])=N2)C2=C([H])C([H])=C(C([H])=C2[H])C(=O)N2C([H])([H])C([H])([H])C([H])(OC([H])([H])[H])C([H])([H])C2([H])[H])N(C([H])([H])C2=C([H])C(Cl)=C([H])C([H])=C2C(F)(F)F)C([H])([H])C1([H])[H]	245
[H]N1C2=C(C([H])=C(C([H])=N2)C2=C([H])C([H])=C(C([H])=C2[H])C(=O)N2C([H])([H])C([H])([H])C([H])(N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])N(C([H])([H])C2=C([H])C(Cl)=C([H])C([H])=C2C(F)(F)F)C([H])([H])C1([H])[H]	130
[H]N1C2=C(C([H])=C(C([H])=N2)C2=C([H])C([H])=NC(=C2[H])N2C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])N(C([H])([H])C2=C([H])C(Cl)=C([H])C([H])=C2C(F)(F)F)C([H])([H])C1([H])[H]	80
[H]N1C2=C(C([H])=C(C([H])=N2)C2=C([H])C([H])=NC(=C2[H])N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C2([H])[H])N(C([H])([H])C2=C([H])C(Cl)=C([H])C([H])=C2C(F)(F)F)C([H])([H])C1([H])[H]	133.5
[H]N1C2=C(C([H])=C(C([H])=N2)C2=C([H])C([H])=C(C([H])=C2[H])C(=O)OC([H])([H])C([H])([H])[H])N(C([H])([H])C2=C([H])C(Cl)=C([H])C([H])=C2C(F)(F)F)C([H])([H])C1([H])[H]	3000
[H]OC(=O)C1=C([H])C([H])=C(C([H])=C1[H])C1=C([H])C2=C(N=C1[H])N([H])C([H])([H])C([H])([H])N2C([H])([H])C1=C([H])C(Cl)=C([H])C([H])=C1C(F)(F)F	1302
[H]N1C2=C(C([H])=C(C([H])=N2)C2=C([H])C([H])=C(C([H])=C2[H])C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])N(C([H])([H])C2=C([H])C(Cl)=C([H])C([H])=C2C(F)(F)F)C([H])([H])C1([H])[H]	121
[H]N1C2=NC([H])=C(C([H])=C2N(C([H])([H])C2=C(Cl)C([H])=C([H])C([H])=C2Cl)C([H])([H])C1([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H]	27
[H]N([H])C1=C(N([H])C(=O)C2=C([H])C(N([H])C(=O)N([H])C3=C([H])C([H])=C(Cl)C(=C3[H])C(F)(F)F)=C([H])C([H])=C2C([H])([H])[H])C([H])=NN1C([H])([H])C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H]	2.71
[H]N([H])S(=O)(=O)C1=C([H])C(N([H])C2=NC([H])=C([H])C(=N2)N(C2=C([H])C3=NN(C(=C3C([H])=C2[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])=C([H])C([H])=C1C([H])([H])[H]	2200
[H]O[C@@]([H])(C([H])([H])N([H])C(=O)C1=C(N([H])C(\C([H])=C2/C(=O)N([H])C3=C2C([H])=C(F)C([H])=C3[H])=C1C([H])([H])[H])C([H])([H])[H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H]	490
[H]N1N=C(\C([H])=C(/[H])C2=C([H])C([H])=C(C([H])=C2[H])C(=O)N2C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])C2=C1C([H])=C([H])C([H])=C2[H]	660
[H]OC1=C([H])C2=C(N([H])C(=C2[H])C2=NN(C3=C2C(=NC([H])=N3)N([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C1[H]	1100
