smile	binding.affinity
[H]N(C1=NC(N([H])C2=C([H])C(Cl)=C([H])C([H])=C2[H])=C2C([H])=NN(C2=N1)C([H])([H])[H])C1=C([H])C(Cl)=C([H])C([H])=C1[H]	4500
[H]N(C1=C2C([H])=NN(C2=NC(Cl)=N1)C([H])([H])[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	2600
[H]OC([H])([H])[C@]1([H])O[C@]([H])(O[C@]2([H])[C@]([H])(O[H])[C@@]([H])(O[C@]3([H])[C@@]([H])(O[C@]4([H])[C@@]([H])(O[C@]([H])(O[C@]5([H])C([H])([H])[C@]6([H])C([H])([H])C([H])([H])[C@]7([H])[C@]8([H])[C@@]([H])(O[H])[C@]9([H])O[C@]%10(OC([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])C%10([H])[H])[C@]([H])(C([H])([H])[H])[C@@]9([H])[C@]8(C([H])([H])[H])C([H])([H])C([H])([H])[C@@]7([H])[C@]6(C([H])([H])[H])C([H])([H])[C@@]5([H])O[H])[C@@]([H])(O[H])[C@@]4([H])O[H])C([H])([H])O[H])O[C@@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]3([H])O[C@@]3([H])OC([H])([H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]3([H])O[H])O[C@@]([H])(C([H])([H])O[H])[C@@]2([H])O[H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]	9700
[H]OC1=C([H])C([H])=C(\C([H])=C(/OC([H])([H])[H])C(=O)N([H])C(\[H])=C(/[H])C2=C([H])C(Br)=C(OC([H])([H])[H])C(Br)=C2[H])C([H])=C1[H]	5616.5
[H]OC1=C([H])C([H])=C(\C([H])=C(/OC([H])([H])[H])C(=O)N([H])C(\[H])=C(/[H])C2=C([H])C([H])=C(OC([H])([H])[H])C(Br)=C2[H])C([H])=C1[H]	8208.2
[H]OC1=C([H])C([H])=C(\C([H])=C(/OC([H])([H])[H])C(=O)N([H])C(\[H])=C(/[H])C2=C([H])C([H])=C(OC([H])([H])[H])C([H])=C2[H])C([H])=C1[H]	6400
[H]N1C2=C(C([H])=C([H])C(OC([H])([H])[H])=C2[H])C2=C1[C@]([H])(C([H])=C(C([H])([H])[H])C([H])([H])[H])N1C(=O)[C@@]3([H])N(C(=O)[C@]1([H])C2([H])[H])C([H])([H])C([H])([H])C3([H])[H]	1047.5
[H]OC1=C([H])C([H])=C(\C([H])=C(/[H])N([H])C(=O)C(\OC([H])([H])[H])=C(/[H])C2=C([H])C([H])=C(O[H])C([H])=C2[H])C([H])=C1[H]	8358.35
[H]OC(=O)C1=C([H])C([H])=C(\C([H])=N\N=C2C3=C([H])C([H])=C([H])C([H])=C3C3=C([H])C([H])=C([H])C([H])=C23)C([H])=C1[H]	4300
[H]C1=C([H])C2=C(C3=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C([H])=C13)[N+](=C([H])C1=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C([H])=C21)C([H])([H])[H]	3900
