smile	binding.affinity
[H]N(C(=O)C1=C(OC([H])(C([H])([H])[H])C([H])([H])[H])C2=C([H])C(OC([H])([H])[H])=C([H])C([H])=C2S1)C1=NN([H])N=N1	1200
[H]OC(=O)C1=C([H])C(=O)C2=C(O1)C([H])=C(S[C@]([H])(C(\[H])=C(/[H])\C(\[H])=C(/[H])\C(\[H])=C(\[H])C([H])([H])C(\[H])=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])[C@]([H])(O[H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[H])C([H])=C2[H]	100
[H]N1N=NC(=N1)C([H])([H])C([H])([H])C1=C([H])C([H])=C(OC([H])([H])C2=NC3=C([H])C([H])=C([H])C([H])=C3C([H])=C2[H])C([H])=C1[H]	160
[H]OC(=O)C1=C([H])C(=O)C2=C([H])C([H])=C(OC([H])([H])[C@]([H])(O[H])C([H])([H])OC3=C(C(O[H])=C(C([H])=C3[H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H])C(=C2O1)C([H])([H])C([H])([H])C([H])([H])[H]	800
[H]N1N=NC(=N1)C([H])([H])C([H])([H])C([H])([H])OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])OC([H])([H])C1=C([H])C([H])=C2C([H])=C([H])C([H])=C([H])C2=N1	1200
[H]N1N=NC(=N1)C([H])([H])C([H])([H])C([H])([H])OC1=C([H])C([H])=C([H])C([H])=C1OC([H])([H])C1=NC2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H]	3300
[H]N1N=NC(=N1)C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC1=C([H])C(OC([H])([H])C2=NC3=C([H])C([H])=C([H])C([H])=C3C([H])=C2[H])=C([H])C([H])=C1[H]	75
[H]N1N=NC(=N1)C1=C([H])C(OC([H])([H])C2=NC3=C([H])C([H])=C([H])C([H])=C3C([H])=C2[H])=C([H])C([H])=C1[H]	115
[H]N(C(=O)C([H])([H])C([H])([H])C([H])([H])OC1=C([H])C([H])=C(OC([H])([H])C2=NC3=C([H])C([H])=C([H])C([H])=C3C([H])=C2[H])C([H])=C1[H])S(=O)(=O)C1=C([H])C([H])=C([H])C([H])=C1[H]	31
[H]N1N=NC(=N1)C([H])([H])C([H])([H])C([H])([H])OC1=C([H])C([H])=C(SC([H])([H])C2=C([H])C([H])=C3C([H])=C([H])C([H])=C([H])C3=N2)C([H])=C1[H]	540
[H]C1=C([H])C([H])=C2C([H])=C([H])C(=NC2=C1[H])C([H])([H])OC1=C([H])C([H])=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])=C1[H]	3800
[H]C1=C([H])C([H])=C(OC([H])([H])C2=NC3=C([H])C([H])=C([H])C([H])=C3C([H])=C2[H])C([H])=C1[H]	1000
[H]N1N=NC(=N1)C([H])([H])C([H])([H])C([H])([H])OC1=C([H])C(OC([H])([H])C2=C([H])C([H])=C3C([H])=C([H])C([H])=C([H])C3=N2)=C([H])C(=C1[H])C([H])([H])[H]	640
[H]N1N=NC(=N1)C([H])([H])C([H])([H])C([H])([H])OC1=C([H])C([H])=C(OC([H])([H])C2=NC3=C([H])C([H])=C([H])C([H])=C3C([H])=C2[H])C([H])=C1[H]	69
