smile	binding.affinity
[H]OC(=O)C(=O)N(C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[C@]([H])(N([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC1=C(C(=O)OC([H])([H])[H])C(O[H])=C([H])C([H])=C1[H])C([H])([H])[C@@]([H])(C(=O)O[H])C([H])([H])C([H])([H])[H]	9000
[H]OC(=O)C(=O)N(C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[C@]([H])(N([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC1=C(C(=O)OC([H])([H])[H])C(O[H])=C([H])C([H])=C1[H])[C@@]([H])(C([H])([H])C(=O)O[H])C([H])([H])C([H])([H])[H]	9300
[H]OC(=O)C1=C([H])C(=C([H])C([H])=C1O[C@@]([H])(C(=O)O[H])C([H])([H])[H])C([H])([H])[C@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC1=C(C(=O)OC([H])([H])[H])C(O[H])=C([H])C([H])=C1[H]	1970
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])N1C(=S)S\C(=C(\[H])C2=C([H])C([H])=C(O2)C2=NC3=C([H])C([H])=C([H])C([H])=C3S2)C1=O	4759
[H]N([H])C1=C(C([H])=C(S1)C([H])([H])[H])C(=O)C1=C([H])C([H])=C([H])S1	5304.8865
[H]OC(=O)C([H])([H])OC1=C(OC([H])([H])C([H])([H])[H])C([H])=C(\C([H])=N\N([H])C(=O)C2=C([H])C([H])=C(C([H])=C2[H])C2=C([H])SC(=N2)N([H])C2=C([H])C([H])=C(C([H])=C2[H])C([H])([H])[H])C([H])=C1[H]	4756.0875
[H]OC(=O)C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])OC1=C(Br)C([H])=C(\C([H])=C(\C#N)C2=C([H])C(F)=C([H])C([H])=C2[H])C([H])=C1[H]	6286.5
[H]OC(=O)C1=C([H])C(=C([H])C([H])=C1[H])N1C([H])=C([H])C([H])=C1\C([H])=C1\N([H])C(=O)N(C1=O)C1=C([H])C([H])=C(Cl)C([H])=C1[H]	4471.755
[H]OC(=O)C1=C([H])C([H])=C(N([H])C(=O)C([H])([H])C([H])([H])N2C(=S)S\C(=C(\[H])C3=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C([H])=C3[H])C2=O)C([H])=C1[H]	3349
[H]OC(=O)C1=C([H])C(N([H])C(=O)C(\C#N)=C(/[H])C2=C([H])C([H])=C(OC([H])([H])C3=C([H])C([H])=C(Cl)C([H])=C3[H])C([H])=C2[H])=C([H])C([H])=C1[H]	6482
[H]OC(=O)C1=C(C2=C(S1)N=C(N([H])C2=O)C(\[H])=C(/[H])C1=C([H])C(=C(C([H])=C1[H])C([H])([H])[H])[N+]([O-])=O)C([H])([H])[H]	8648
[H]OC1=C([H])C([H])=C(N([H])C2=NC3=C([H])C([H])=C([H])C([H])=C3C(=N2)N([H])C([H])([H])[C@@]2([H])OC([H])([H])C([H])([H])C2([H])[H])C([H])=C1[H]	1640
[H]OC(=O)C([H])([H])OC1=C([H])C([H])=C(\C([H])=N\N([H])C(=O)C2=C([H])C([H])=C(C([H])=C2[H])C2=C([H])SC(=N2)N([H])C2=C([H])C([H])=C(Cl)C([H])=C2[H])C([H])=C1[H]	1240
[H]C1=C([H])C([H])=C(S1)S(=O)(=O)N(C(=O)C([H])([H])[H])C1=C([H])C2=C(OC(=O)S2)C([H])=C1[H]	5125.039
[H]N(C(=O)C([H])([H])SC1=NC(=NC2=C1C1=C(S2)C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C1([H])C([H])([H])C1([H])[H])C([H])([H])C1=C([H])C2=C(OC([H])([H])O2)C([H])=C1[H]	9900
[H]OC(=O)[C@@]1([H])N([H])C2=C(C([H])=C([H])C(=C2C([H])([H])[H])C([H])([H])[H])[C@@]2([H])C([H])=C([H])C([H])([H])[C@@]12[H]	940
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])[C@@]1([H])C(=O)C([H])=C([H])[C@]1([H])C(\[H])=C(/[H])[C@@]([H])(O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]	6690
[H]C1=C([H])C([H])=C(O1)C([H])([H])N1C2=NC3=C([H])C([H])=C([H])C([H])=C3N=C2C2=C1N=C(N(C2=O)C([H])([H])C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H])C([H])([H])[H]	1780
[H]N([H])C1=C(C(=O)C([H])([H])OC(=O)C2=C([H])C(=NC3=C([H])C([H])=C([H])C([H])=C23)C2=C([H])C([H])=C([H])O2)C(=O)N(C(=O)N1C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]	5810
[H]OC(=O)C1=C([H])C(N([H])C(=O)C(\C#N)=C(/[H])C2=C([H])C([H])=C(OC([H])([H])C3=C([H])C([H])=C(Br)C([H])=C3[H])C([H])=C2[H])=C([H])C([H])=C1[H]	2655
[H]OC(=O)C1=C([H])C(N([H])C(=O)C(\C#N)=C(/[H])C2=C([H])C([H])=C(OC([H])([H])C3=C([H])C([H])=C(F)C([H])=C3[H])C([H])=C2[H])=C([H])C([H])=C1[H]	5395
[H]OC(=O)C1=C([H])C(N([H])C(=O)C(\C#N)=C(/[H])C2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])C3=C([H])C([H])=C(Cl)C([H])=C3[H])C([H])=C2[H])=C([H])C([H])=C1[H]	5685
[H]OC(=O)C1=C([H])C(=C([H])C([H])=C1[H])N1C(=S)S\C(=C(/[H])C2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])C3=C([H])C([H])=C(Cl)C([H])=C3[H])C([H])=C2[H])C1=O	3585
[H]OC(=O)C([H])([H])OC1=C([H])C([H])=C(\C([H])=C2/S\C(=N/C3=C([H])C([H])=C(OC([H])([H])[H])C([H])=C3[H])N(C2=O)C([H])([H])C([H])([H])C2=C([H])N([H])C3=C([H])C([H])=C([H])C([H])=C23)C([H])=C1[H]	1240
[H]OC(=O)C([H])([H])C([H])([H])[C@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=N[H])N([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C(=O)O[H])C([H])([H])C(=O)O[H])C([H])([H])C(=O)N([H])[H])C([H])([H])C([H])([H])C(=O)O[H])C([H])([H])C([H])([H])SN=O)[C@]([H])(O[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=N[H])N([H])[H])C(=O)N([H])C([H])([H])C(=O)N([H])[H]	7000
[H]OC(=O)C([H])([H])SC1=C([H])C(=C([H])N2C(=O)C3=C(SC(C(=O)OC([H])([H])C([H])([H])[H])=C3C([H])([H])[H])N=C12)C(=O)C1=C([H])C([H])=C([H])C([H])=C1O[H]	1240
[H]OC(=O)C([H])([H])OC1=C([H])C([H])=C([H])C([H])=C1\C([H])=N\N([H])C(=O)C1=C([H])C([H])=C(C([H])=C1[H])C1=C([H])SC(=N1)N([H])C1=C([H])C([H])=C(Cl)C([H])=C1[H]	3800
