smile	binding.affinity
[H]N1C([H])=NC(=C1[H])C([H])([H])C1=C([H])C(=C([H])C([H])=C1[H])C1=NC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])O1	10
[H]N([H])C([H])([H])C([H])([H])C([H])([H])C1=C([H])N=C([H])N1[H]	50
[H]N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1=C([H])N=C([H])N1[H]	4
[H]N1C([H])=NC([H])=C1C([H])([H])C([H])([H])C([H])([H])OC([H])([H])C1=C([H])C([H])=C(I)C([H])=C1[H]	0.63
[H]N1C(=C([H])C2=C([H])C(Cl)=C([H])C([H])=C12)C(=O)N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H]	5068.5
[H]N1C([H])=NC(=C1[H])C([H])([H])C1=C([H])C(=C([H])C([H])=C1[H])C1=NC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])O1	2512
[H]N1C([H])=NC(=C1[H])C([H])([H])C1=C([H])C([H])=C(C#N)C([H])=C1[H]	813
[H]N1C([H])=NC(=C1[H])C([H])([H])C1=C([H])C([H])=C(Br)C([H])=C1[H]	524
[H]N1C([H])=NC(=C1[H])C([H])([H])C1=C([H])C([H])=C(C#CC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])=C1[H]	537
[H]N([H])C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C1=C([H])N([H])C([H])=N1	257
[H]N1C([H])=NC(=C1[H])C([H])([H])C1=C([H])C(=C([H])C([H])=C1[H])C1=NC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[C@]([H])(O1)C([H])([H])[H]	1.5
[H]N1C([H])=NC(=C1[H])C([H])([H])C1=C([H])C(=C([H])C([H])=C1[H])C1=NC2(C([H])([H])O1)C([H])([H])C([H])([H])C([H])([H])C2([H])[H]	40
[H]N([H])C([H])([H])C([H])([H])C1=C([H])N([H])C([H])=N1	16.6375
[H]N(C([H])([H])[H])C([H])([H])C([H])([H])C1=C([H])N=C([H])N1[H]	4
[H]N([H])[C@]([H])(C([H])([H])[H])C([H])([H])C1=C([H])N=C([H])N1[H]	34.5
[H]N1C([H])=NC(=C1[H])C([H])([H])C1=C([H])C(C#CC2=C([H])C([H])=C([H])C([H])=C2[H])=C([H])C([H])=C1[H]	2
[H]N1C([H])=NC(=C1[H])C([H])([H])C1=C([H])C(=C([H])C([H])=C1[H])C1=C([H])C([H])=C([H])C([H])=C1[H]	116.5
[H]N1C([H])=NC(=C1[H])C([H])([H])C1=C([H])C(=C([H])C([H])=C1[H])C1=C([H])C([H])=C([H])C([H])=N1	41
[H]N1C([H])=NC(=C1[H])C([H])([H])C1=C([H])C(C#CC2=C3C([H])=C([H])C([H])=C([H])C3=C([H])C([H])=C2[H])=C([H])C([H])=C1[H]	1738
[H]N1C([H])=NC(=C1[H])C([H])([H])C1=C([H])C(C#CC([H])([H])C([H])([H])C([H])([H])[H])=C([H])C([H])=C1[H]	3
[H]N([H])C(\SC([H])([H])C([H])([H])C([H])([H])C1=C([H])N=C([H])N1[H])=N/C([H])([H])C1=C([H])C([H])=C(Cl)C([H])=C1[H]	1.6695
[H]N1C([H])=NC([H])=C1C([H])([H])C1([H])C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H]	0.454
[H]N1C([H])=NC(=C1[H])C([H])([H])C1=C([H])C(=C([H])C([H])=C1[H])C1=C([H])C([H])=NC([H])=C1[H]	427
[H]N1C([H])=NC(=C1[H])C([H])([H])C1=C([H])C(=C([H])C([H])=C1[H])C(=O)C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]	55.5
[H]N1C([H])=NC(=C1[H])C([H])([H])C1=C([H])C(C#CC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])=C([H])C([H])=C1[H]	6
[H]N1C([H])=NC(=C1[H])C([H])([H])C1=C([H])C([H])=C(C([H])=C1[H])C1=NC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])O1	2512
[H]N1C([H])=NC(=C1[H])C([H])([H])C1=C([H])C(C#N)=C([H])C([H])=C1[H]	155
[H]N1C([H])=NC(=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]	162
[H]N1C([H])=NC([H])=C1C([H])([H])C1=C([H])C([H])=NC([H])=C1[H]	0.941
[H]N=C(SC([H])([H])C([H])([H])C1=C([H])N([H])C([H])=N1)N([H])[H]	2.15
[H]N=C(SC([H])([H])C([H])([H])C([H])([H])C1=C([H])N([H])C([H])=N1)N([H])[H]	2.755
[H]N([H])C(\SC([H])([H])C([H])([H])C([H])([H])C1=C([H])N=C([H])N1[H])=N\C([H])([H])C([H])([H])C1=C([H])C([H])=C(I)C([H])=C1[H]	6
[H]N([H])C(=N/C([H])([H])C([H])([H])C([H])([H])C1=C([H])N=C([H])N1[H])\N([H])C([H])([H])C([H])([H])SC([H])([H])C1=C(N([H])C([H])=N1)C([H])([H])[H]	158
[H]N(C(=S)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1=C([H])N=C([H])N1[H])C([H])([H])[H]	13
