smile	binding.affinity
[H]N(C(=O)C1=C([H])C([H])=C([H])C([H])=C1[H])C1=C([H])C([H])=C(C([H])=C1[H])C1=NC2=C([H])C(N([H])C(=O)C3=C(Cl)C([H])=C([H])C([H])=C3[H])=C([H])C([H])=C2N1[H]	440
[H]N(C(=O)C1=C([H])C([H])=C([H])C([H])=C1F)C1=C([H])C([H])=C(C([H])=C1[H])C1=NC2=C([H])C(N([H])C(=O)C3=C(Cl)C([H])=C([H])C([H])=C3[H])=C([H])C([H])=C2N1[H]	220
[H]N(C(=O)C1=C([H])C([H])=C([H])C([H])=C1Cl)C1=C([H])C([H])=C(C([H])=C1[H])C1=NC2=C(N1[H])C([H])=C([H])C(N([H])C(=O)C1([H])C([H])([H])C1([H])[H])=C2[H]	88
[H]N(C(=O)C1=C([H])C([H])=C([H])C([H])=C1Cl)C1=C([H])C([H])=C(C([H])=C1[H])C1=NC2=C([H])C(N([H])C(=O)C3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])=C([H])C([H])=C2N1[H]	2240
[H]N(C(=O)C1=C([H])C([H])=C([H])C([H])=C1Cl)C1=C([H])C([H])=C(C([H])=C1[H])C1=NC2=C([H])C(N([H])C(=O)C3(C([H])([H])[H])C([H])([H])C3([H])[H])=C([H])C([H])=C2N1[H]	2700
[H]N(C(=O)C1=C([H])C([H])=C([H])C([H])=C1C([H])([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])C1=NC2=C([H])C(N([H])C(=O)C3=C(Cl)C([H])=C([H])C([H])=C3[H])=C([H])C([H])=C2N1[H]	295
[H]N(C(=O)C1=C([H])C([H])=C([H])C([H])=C1Cl)C1=C([H])C(=C([H])C([H])=C1[H])C1=NC2=C([H])C(N([H])C(=O)C3=C([H])C([H])=C([H])C([H])=C3Cl)=C([H])C([H])=C2N1[H]	7050
[H]N(C(=O)C1=C([H])C([H])=C([H])C([H])=C1Cl)C1=C([H])C([H])=C(C([H])=C1[H])C1=NC2=C([H])C(N([H])C(=O)C3([H])C([H])([H])C([H])([H])C3([H])[H])=C([H])C([H])=C2N1[H]	1157
[H]N(C(=O)C1=C([H])C([H])=C([H])C([H])=C1Cl)C1=C([H])C([H])=C(C([H])=C1[H])C1=NC2=C([H])C(N([H])C(=O)[C@]3([H])C([H])([H])C3(F)F)=C([H])C([H])=C2N1[H]	1410
[H]N(C(=O)C1=C([H])C([H])=C([H])C([H])=C1Cl)C1=C([H])C([H])=C(C([H])=C1[H])C1=NC2=C([H])C(N([H])C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])=C([H])C([H])=C2N1[H]	4440
