smile	binding.affinity
[H]C1=C([H])C([H])=C(C(=N1)S(=O)(=O)C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C1=C(N(C2=C([H])C([H])=C(F)C([H])=C12)C([H])([H])C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])[H]	2
[H]OC(=O)C([H])([H])N1C2=C([H])C([H])=C(F)C([H])=C2C(=C1C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])N=C1S(=O)(=O)C1=C([H])C([H])=C(F)C([H])=C1[H]	2
[H]OC(=O)C([H])([H])N1C2=C([H])C([H])=C(F)C([H])=C2C(=C1C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])N=C1S(=O)(=O)C1=C([H])C([H])=C(Cl)C([H])=C1[H]	7
[H]OC(=O)C([H])([H])N1C2=C([H])C([H])=C(F)C([H])=C2C(=C1C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)C([H])([H])[H]	7.5
[H]OC(=O)C([H])([H])N1C2=C([H])C([H])=C(F)C([H])=C2C(=C1C([H])([H])[H])C([H])([H])C1=C([H])C([H])=NC([H])=C1S(=O)(=O)C1=C([H])C([H])=C([H])C([H])=C1[H]	1
[H]OC(=O)C([H])([H])N1C2=C([H])C([H])=C(F)C([H])=C2C(=C1C([H])([H])[H])C([H])([H])C1=NC([H])=C([H])C([H])=C1S(=O)(=O)C1=C([H])C([H])=C([H])C([H])=C1[H]	979
[H]OC(=O)C([H])([H])N1C2=C([H])C([H])=C(F)C([H])=C2C(=C1C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])N1S(=O)(=O)C1=C([H])C([H])=C([H])C([H])=C1[H]	1
[H]OC(=O)C([H])([H])N1C2=C([H])C([H])=C(F)C([H])=C2C(=C1C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])N=C1[H]	258
[H]OC(=O)C([H])([H])C([H])([H])N1C2=C(C([H])=C([H])C([H])=C2[H])C2=C1C([H])([H])C([H])([H])[C@@]([H])(N([H])S(=O)(=O)C1=C([H])C([H])=C(F)C([H])=C1[H])C2([H])[H]	28.5
[H]OC(=O)C([H])([H])C([H])([H])N1C2=C([H])C([H])=C([H])C([H])=C2C2=C1C([H])([H])C([H])([H])[C@@]([H])(N(C([H])([H])[H])S(=O)(=O)C1=C([H])C([H])=C(F)C([H])=C1[H])C2([H])[H]	20.5
