Target	UniProt.Name	Comp.1	Comp.2	Comp.3	Comp.4	Comp.5
P55245	Epidermal growth factor receptor	0.834	0.228	0.118	0.168	0.198
P00533	Epidermal growth factor receptor	0.814	0.268	0.154	0.28	0.328
P54760	Ephrin type-B receptor 4	0.72	0.27	0.142	0.234	0.15
Q5S007	Leucine-rich repeat serine/threonine-protein kinase 2	0.702	0.25	0.076	0.444	0.172
P00519	Tyrosine-protein kinase ABL1	0.698	0.272	0.15	0.184	0.05
Q9NR96	Toll-like receptor 9	0.686	0.502	0.362	0.64	0.828
P51452	Dual specificity protein phosphatase 3	0.668	0.472	0.298	0.438	0.41
Q14524	Sodium channel protein type 5 subunit alpha	0.652	0.486	0.498	0.444	0.438
P80457	Xanthine dehydrogenase/oxidase	0.648	0.566	0.728	0.668	0.718
P35869	Aryl hydrocarbon receptor	0.644	0.556	0.528	0.574	0.784
O75116	Rho-associated protein kinase 2	0.632	0.328	0.23	0.456	0.366
O43353	Receptor-interacting serine/threonine-protein kinase 2	0.622	0.49	0.61	0.604	0.788
P05177	Cytochrome P450 1A2	0.618	0.472	0.284	0.534	0.404
Q14432	cGMP-inhibited 3',5'-cyclic phosphodiesterase A	0.6	0.444	0.296	0.518	0.284
P11712	Cytochrome P450 2C9	0.598	0.398	0.326	0.364	0.386
P30305	M-phase inducer phosphatase 2	0.582	0.462	0.524	0.472	0.588
P16234	Platelet-derived growth factor receptor alpha	0.576	0.14	0.122	0.308	0.164
P33261	Cytochrome P450 2C19	0.572	0.49	0.51	0.46	0.722
O95136	Sphingosine 1-phosphate receptor 2	0.57	0.562	0.672	0.534	0.714
P68400	Casein kinase II subunit alpha	0.544	0.538	0.652	0.61	0.8
P08684	Cytochrome P450 3A4	0.536	0.432	0.206	0.32	0.174
P21396	Amine oxidase [flavin-containing] A	0.532	0.476	0.534	0.606	0.522
Q00987	E3 ubiquitin-protein ligase Mdm2	0.522	0.47	0.662	0.58	0.452
Q9Y2R2	Tyrosine-protein phosphatase non-receptor type 22	0.522	0.484	0.592	0.568	0.602
Q9HC97	G-protein coupled receptor 35	0.516	0.56	0.564	0.452	0.492
P06241	Tyrosine-protein kinase Fyn	0.514	0.564	0.75	0.726	0.756
P63001	Ras-related C3 botulinum toxin substrate 1	0.51	0.62	0.444	0.406	0.362
P15144	Aminopeptidase N	0.508	0.56	0.36	0.476	0.526
P16116	Aldose reductase	0.506	0.472	0.34	0.5	0.484
Q9UHL4	Dipeptidyl peptidase 2	0.504	0.386	0.58	0.608	0.534
P63000	Ras-related C3 botulinum toxin substrate 1	0.502	0.58	0.442	0.41	0.306
Q9Y5X4	Photoreceptor-specific nuclear receptor	0.492	0.434	0.388	0.484	0.436
P14174	Macrophage migration inhibitory factor	0.486	0.52	0.512	0.57	0.448
P36888	Receptor-type tyrosine-protein kinase FLT3	0.482	0.3	0.076	0.346	0.164
P12931	Proto-oncogene tyrosine-protein kinase Src	0.48	0.176	0.09	0.214	0.124
P30989	Neurotensin receptor type 1	0.48	0.562	0.398	0.386	0.41
Q96EB6	NAD-dependent protein deacetylase sirtuin-1	0.478	0.422	0.33	0.43	0.262
Q95136	D(1A) dopamine receptor	0.476	0.478	0.28	0.41	0.452
O14965	Aurora kinase A	0.474	0.174	0.016	0.12	0.028
P05979	Prostaglandin G/H synthase 1	0.456	0.52	0.56	0.346	0.41
O60755	Galanin receptor type 3	0.45	0.488	0.442	0.528	0.314
P79208	Prostaglandin G/H synthase 2	0.45	0.428	0.268	0.492	0.724
P29474	Nitric oxide synthase, endothelial	0.448	0.358	0.438	0.532	0.694
P28566	5-hydroxytryptamine receptor 1E	0.442	0.556	0.534	0.496	0.516
P19156	Potassium-transporting ATPase alpha chain 1	0.44	0.1	0.07	0.162	0.028
P29597	Non-receptor tyrosine-protein kinase TYK2	0.44	0.484	0.38	0.456	0.458
Q05397	Focal adhesion kinase 1	0.44	0.4	0.412	0.354	0.354
P29477	Nitric oxide synthase, inducible	0.438	0.394	0.576	0.404	0.388
P16050	Arachidonate 15-lipoxygenase	0.436	0.396	0.412	0.32	0.312
P30530	Tyrosine-protein kinase receptor UFO	0.434	0.186	0.098	0.116	0.08
P17948	Vascular endothelial growth factor receptor 1	0.43	0.222	0.134	0.344	0.198
Q63470	Dual specificity tyrosine-phosphorylation-regulated kinase 1A	0.43	0.398	0.408	0.398	0.32
P15056	Serine/threonine-protein kinase B-raf	0.426	0.22	0.048	0.378	0.148
P23219	Prostaglandin G/H synthase 1	0.422	0.474	0.32	0.528	0.26
P18825	Alpha-2C adrenergic receptor	0.42	0.288	0.11	0.294	0.292
Q06418	Tyrosine-protein kinase receptor TYRO3	0.42	0.188	0.184	0.152	0.12
Q16548	Bcl-2-related protein A1	0.42	0.324	0.518	0.524	0.514
Q05769	Prostaglandin G/H synthase 2	0.418	0.472	0.438	0.386	0.892
P31424	Metabotropic glutamate receptor 5	0.416	0.25	0.068	0.214	0.098
O14746	Telomerase reverse transcriptase	0.414	0.406	0.158	0.32	0.246
P10635	Cytochrome P450 2D6	0.414	0.408	0.166	0.42	0.28
P35398	Nuclear receptor ROR-alpha	0.414	0.25	0.43	0.554	0.394
P53779	Mitogen-activated protein kinase 10	0.41	0.318	0.152	0.212	0.17
P35968	Vascular endothelial growth factor receptor 2	0.408	0.098	0.024	0.172	0.034
P31941	DNA dC->dU-editing enzyme APOBEC-3A	0.402	0.552	0.586	0.344	0.528
P04058	Acetylcholinesterase	0.4	0.518	0.686	0.454	0.618
P24468	COUP transcription factor 2	0.398	0.374	0.64	0.592	0.266
Q04206	Transcription factor p65	0.398	0.448	0.27	0.472	0.484
Q9Y243	RAC-gamma serine/threonine-protein kinase	0.398	0.24	0.316	0.188	0.25
P35916	Vascular endothelial growth factor receptor 3	0.396	0.266	0.188	0.28	0.15
P05121	Plasminogen activator inhibitor 1	0.394	0.29	0.306	0.384	0.422
P19643	Amine oxidase [flavin-containing] B	0.394	0.494	0.48	0.456	0.582
P07949	Proto-oncogene tyrosine-protein kinase receptor Ret	0.39	0.208	0.114	0.19	0.104
Q12809	Potassium voltage-gated channel subfamily H member 2	0.388	0.3	0.074	0.382	0.276
P02550	Tubulin alpha-1A chain	0.386	0.396	0.552	0.44	0.434
P04626	Receptor tyrosine-protein kinase erbB-2	0.386	0.138	0.076	0.13	0.056
P00750	Tissue-type plasminogen activator	0.382	0.352	0.568	0.45	0.454
P21397	Amine oxidase [flavin-containing] A	0.382	0.468	0.366	0.58	0.548
P05186	Alkaline phosphatase, tissue-nonspecific isozyme	0.38	0.394	0.372	0.398	0.448
P51679	C-C chemokine receptor type 4	0.378	0.232	0.122	0.254	0.146
Q14833	Metabotropic glutamate receptor 4	0.378	0.356	0.19	0.368	0.196
Q96RJ0	Trace amine-associated receptor 1	0.376	0.208	0.212	0.322	0.308
Q13627	Dual specificity tyrosine-phosphorylation-regulated kinase 1A	0.374	0.478	0.476	0.446	0.476
P17706	Tyrosine-protein phosphatase non-receptor type 2	0.372	0.454	0.406	0.36	0.426
P21728	D(1A) dopamine receptor	0.372	0.4	0.284	0.442	0.072
P29476	Nitric oxide synthase, brain	0.372	0.418	0.436	0.554	0.456
Q13085	Acetyl-CoA carboxylase 1	0.364	0.356	0.402	0.418	0.324
P00747	Plasminogen	0.362	0.372	0.458	0.312	0.362
P80365	Corticosteroid 11-beta-dehydrogenase isozyme 2	0.362	0.552	0.8	0.464	0.334
P60953	Cell division control protein 42 homolog	0.36	0.484	0.414	0.318	0.268
O14684	Prostaglandin E synthase	0.354	0.342	0.296	0.254	0.202
Q86TI2	Dipeptidyl peptidase 9	0.354	0.394	0.354	0.366	0.262
Q8IXJ6	NAD-dependent protein deacetylase sirtuin-2	0.352	0.332	0.414	0.376	0.252
